NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	147	0.6326808929443359	0.0066881813	No	
row_1	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	329	0.5470459461212158	0.008633663	No	
row_2	EIF3J	eukaryotic translation initiation factor 3 subunit J [Source:HGNC Symbol;Acc:HGNC:3270]	360	0.5385561585426331	0.021100108	No	
row_3	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta [Source:HGNC Symbol;Acc:HGNC:5960]	375	0.5339426398277283	0.03458066	No	
row_4	ETS1	ETS proto-oncogene 1, transcription factor [Source:HGNC Symbol;Acc:HGNC:3488]	495	0.5010941624641418	0.039694585	No	
row_5	ABI1	abl interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320]	568	0.48110970854759216	0.047613036	No	
row_6	BRCA1	BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]	770	0.44173428416252136	0.045279097	No	
row_7	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	776	0.44076085090637207	0.05687391	No	
row_8	DEGS1	delta 4-desaturase, sphingolipid 1 [Source:HGNC Symbol;Acc:HGNC:13709]	783	0.440061092376709	0.068378545	No	
row_9	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	1014	0.4079227149486542	0.06306305	No	
row_10	ACVR2A	activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]	1036	0.4038250744342804	0.07251719	No	
row_11	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	1079	0.3991377055644989	0.080349036	No	
row_12	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	1134	0.3928318917751312	0.08715551	No	
row_13	ELF4	E74 like ETS transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3319]	1349	0.36508187651634216	0.08181763	No	
row_14	EIF3A	eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]	1587	0.3376046419143677	0.07409712	No	
row_15	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	1594	0.336954802274704	0.08280613	No	
row_16	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	1734	0.3228508234024048	0.08166316	No	
row_17	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	1852	0.31252413988113403	0.08180659	No	
row_18	EIF4G3	eukaryotic translation initiation factor 4 gamma 3 [Source:HGNC Symbol;Acc:HGNC:3298]	1964	0.30322760343551636	0.08212515	No	
row_19	IL18RAP	interleukin 18 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5989]	2233	0.27910658717155457	0.070611335	No	
row_20	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	2238	0.2788928151130676	0.07788845	No	
row_21	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	2262	0.277545690536499	0.08377624	No	
row_22	HDAC9	histone deacetylase 9 [Source:HGNC Symbol;Acc:HGNC:14065]	2263	0.27752721309661865	0.09130113	No	
row_23	ELANE	elastase, neutrophil expressed [Source:HGNC Symbol;Acc:HGNC:3309]	2373	0.26997682452201843	0.09086052	No	
row_24	HCLS1	hematopoietic cell-specific Lyn substrate 1 [Source:HGNC Symbol;Acc:HGNC:4844]	3307	0.219456285238266	0.03038154	No	
row_25	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	3762	0.20378194749355316	0.003582224	No	
row_26	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	4054	0.19514212012290955	-0.0118458	No	
row_27	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	4220	0.18983310461044312	-0.01844661	No	
row_28	GLMN	glomulin, FKBP associated protein [Source:HGNC Symbol;Acc:HGNC:14373]	4292	0.18728093802928925	-0.018423844	No	
row_29	DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3 [Source:HGNC Symbol;Acc:HGNC:3094]	4488	0.18053127825260162	-0.027412854	No	
row_30	LCP2	lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]	4580	0.17737595736980438	-0.029082648	No	
row_31	STAB1	stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]	4691	0.17342890799045563	-0.032212257	No	
row_32	TPD52	tumor protein D52 [Source:HGNC Symbol;Acc:HGNC:12005]	4718	0.1722957342863083	-0.029391816	No	
row_33	ACHE	acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]	4808	0.16915462911128998	-0.031142123	No	
row_34	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	4834	0.16808392107486725	-0.02836468	No	
row_35	CD96	CD96 molecule [Source:HGNC Symbol;Acc:HGNC:16892]	4925	0.1639070212841034	-0.030328471	No	
row_36	STAT4	signal transducer and activator of transcription 4 [Source:HGNC Symbol;Acc:HGNC:11365]	5001	0.1611342430114746	-0.03129945	No	
row_37	UBE2N	ubiquitin conjugating enzyme E2 N [Source:HGNC Symbol;Acc:HGNC:12492]	5042	0.15915845334529877	-0.029832007	No	
row_38	CFP	complement factor properdin [Source:HGNC Symbol;Acc:HGNC:8864]	5158	0.15507850050926208	-0.033815168	No	
row_39	PRKCG	protein kinase C gamma [Source:HGNC Symbol;Acc:HGNC:9402]	5173	0.1544741541147232	-0.030623546	No	
row_40	EIF3D	eukaryotic translation initiation factor 3 subunit D [Source:HGNC Symbol;Acc:HGNC:3278]	5199	0.15325675904750824	-0.028248128	No	
row_41	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	5213	0.15282002091407776	-0.025030155	No	
row_42	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	5306	0.1487254500389099	-0.027547978	No	
row_43	CXCR3	C-X-C motif chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:4540]	5341	0.14648042619228363	-0.025997091	No	
row_44	SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	5408	0.1433866173028946	-0.026808482	No	
row_45	SPI1	Spi-1 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:11241]	5449	0.1419650912284851	-0.025807222	No	
row_46	ABCE1	ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69]	5467	0.1409953385591507	-0.023194663	No	
row_47	CCL7	C-C motif chemokine ligand 7 [Source:HGNC Symbol;Acc:HGNC:10634]	5570	0.13635431230068207	-0.026759917	No	
row_48	TRAF2	TNF receptor associated factor 2 [Source:HGNC Symbol;Acc:HGNC:12032]	5708	0.12925846874713898	-0.033009555	No	
row_49	NCR1	natural cytotoxicity triggering receptor 1 [Source:HGNC Symbol;Acc:HGNC:6731]	5991	0.11443135142326355	-0.049985178	No	
row_50	CCL4	C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]	6005	0.1136569008231163	-0.047829077	No	
row_51	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	6040	0.11187741160392761	-0.047216415	No	
row_52	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	6133	0.10823816061019897	-0.050832015	No	
row_53	CD79A	CD79a molecule [Source:HGNC Symbol;Acc:HGNC:1698]	6246	0.10180377960205078	-0.056046072	No	
row_54	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	6252	0.10146420449018478	-0.053650964	No	
row_55	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	6288	0.10001521557569504	-0.05343114	No	
row_56	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	6355	0.0963660255074501	-0.055517446	No	
row_57	ICOSLG	inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087]	6367	0.09572214633226395	-0.053705227	No	
row_58	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	6381	0.09513695538043976	-0.052051276	No	
row_59	CD7	CD7 molecule [Source:HGNC Symbol;Acc:HGNC:1695]	6457	0.09187228977680206	-0.054900225	No	
row_60	IL2RB	interleukin 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6009]	6490	0.090131476521492	-0.054734785	No	
row_61	KLRD1	killer cell lectin like receptor D1 [Source:HGNC Symbol;Acc:HGNC:6378]	6527	0.0883278027176857	-0.054903053	No	
row_62	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	6572	0.08544819802045822	-0.055718992	No	
row_63	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	6749	0.07685006409883499	-0.06616642	No	
row_64	NCK1	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]	7088	0.05750509724020958	-0.088672735	No	
row_65	GZMA	granzyme A [Source:HGNC Symbol;Acc:HGNC:4708]	7170	0.05385933071374893	-0.092979565	No	
row_66	RPS3A	ribosomal protein S3A [Source:HGNC Symbol;Acc:HGNC:10421]	7441	0.03942720592021942	-0.111134455	No	
row_67	F2R	coagulation factor II thrombin receptor [Source:HGNC Symbol;Acc:HGNC:3537]	7540	0.034037552773952484	-0.11718913	No	
row_68	TRAT1	T cell receptor associated transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:30698]	7774	0.02125869318842888	-0.13320225	No	
row_69	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4123]	7804	0.019492607563734055	-0.13473852	No	
row_70	PTPRC	protein tyrosine phosphatase receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]	7829	0.01790616288781166	-0.13596182	No	
row_71	IL16	interleukin 16 [Source:HGNC Symbol;Acc:HGNC:5980]	7924	0.012581901624798775	-0.14231344	No	
row_72	RPL3L	ribosomal protein L3 like [Source:HGNC Symbol;Acc:HGNC:10351]	7993	0.009103190153837204	-0.1469082	No	
row_73	FCGR2B	Fc gamma receptor IIb [Source:HGNC Symbol;Acc:HGNC:3618]	8194	-0.0024082360323518515	-0.16108283	No	
