NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF1B	eukaryotic translation initiation factor 1B [Source:HGNC Symbol;Acc:HGNC:30792]	47	0.7197409272193909	0.018814985	No	
row_1	VPS37B	VPS37B subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:25754]	121	0.6505162715911865	0.033651154	No	
row_2	TSG101	tumor susceptibility 101 [Source:HGNC Symbol;Acc:HGNC:15971]	208	0.595241367816925	0.045861874	No	
row_3	POLR1C	RNA polymerase I and III subunit C [Source:HGNC Symbol;Acc:HGNC:20194]	301	0.5541166067123413	0.056380235	No	
row_4	CANT1	calcium activated nucleotidase 1 [Source:HGNC Symbol;Acc:HGNC:19721]	322	0.549018383026123	0.07185893	No	
row_5	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	512	0.49663251638412476	0.07371368	No	
row_6	GTF2H1	general transcription factor IIH subunit 1 [Source:HGNC Symbol;Acc:HGNC:4655]	555	0.48368391394615173	0.0856176	No	
row_7	SDCBP	syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662]	557	0.4832271337509155	0.100421466	No	
row_8	RALA	RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839]	717	0.45161354541778564	0.10302262	No	
row_9	TAF13	TATA-box binding protein associated factor 13 [Source:HGNC Symbol;Acc:HGNC:11546]	726	0.45093321800231934	0.116334885	No	
row_10	RAD52	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]	789	0.4389914870262146	0.12544161	No	
row_11	ADRM1	ADRM1 26S proteasome ubiquitin receptor [Source:HGNC Symbol;Acc:HGNC:15759]	800	0.4373478293418884	0.13819353	No	
row_12	NFX1	nuclear transcription factor, X-box binding 1 [Source:HGNC Symbol;Acc:HGNC:7803]	921	0.4199135899543762	0.14259073	No	
row_13	BCAM	basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:HGNC:6722]	930	0.4188133776187897	0.15491427	No	
row_14	ERCC8	ERCC excision repair 8, CSA ubiquitin ligase complex subunit [Source:HGNC Symbol;Acc:HGNC:3439]	1138	0.3925454020500183	0.15228565	No	
row_15	DGUOK	deoxyguanosine kinase [Source:HGNC Symbol;Acc:HGNC:2858]	1261	0.3759092390537262	0.15518615	No	
row_16	CLP1	cleavage factor polyribonucleotide kinase subunit 1 [Source:HGNC Symbol;Acc:HGNC:16999]	1381	0.36039993166923523	0.15782245	No	
row_17	STX3	syntaxin 3 [Source:HGNC Symbol;Acc:HGNC:11438]	1444	0.35365667939186096	0.16430233	No	
row_18	DCTN4	dynactin subunit 4 [Source:HGNC Symbol;Acc:HGNC:15518]	1511	0.3455476760864258	0.17024833	No	
row_19	TYMS	thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441]	1896	0.30875375866889954	0.15246043	No	
row_20	RNMT	RNA guanine-7 methyltransferase [Source:HGNC Symbol;Acc:HGNC:10075]	1904	0.30802130699157715	0.16144457	No	
row_21	BRF2	BRF2 RNA polymerase III transcription initiation factor subunit [Source:HGNC Symbol;Acc:HGNC:17298]	1910	0.30717989802360535	0.17054498	No	
row_22	POLR2D	RNA polymerase II subunit D [Source:HGNC Symbol;Acc:HGNC:9191]	2386	0.2688695192337036	0.14506169	No	
row_23	GSDME	gasdermin E [Source:HGNC Symbol;Acc:HGNC:2810]	2608	0.2549271583557129	0.1372018	No	
row_24	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	3017	0.23338356614112854	0.11538806	No	
row_25	HCLS1	hematopoietic cell-specific Lyn substrate 1 [Source:HGNC Symbol;Acc:HGNC:4844]	3307	0.219456285238266	0.101603314	No	
row_26	POLD3	DNA polymerase delta 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:20932]	3425	0.2151813805103302	0.09991157	No	
row_27	ADCY6	adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]	4870	0.16652514040470123	0.0024079222	No	
row_28	SEC61A1	SEC61 translocon subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:18276]	4915	0.16436722874641418	0.004340335	No	
row_29	RAE1	ribonucleic acid export 1 [Source:HGNC Symbol;Acc:HGNC:9828]	5369	0.14519205689430237	-0.023386452	No	
row_30	SRSF6	serine and arginine rich splicing factor 6 [Source:HGNC Symbol;Acc:HGNC:10788]	5593	0.13499312102794647	-0.03508035	No	
row_31	POM121	POM121 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:19702]	5907	0.11960645765066147	-0.05364448	No	
row_32	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3433]	5978	0.11538354307413101	-0.05506781	No	
