NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAG1	STAG1 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:11354]	316	0.5511063933372498	-0.0072773555	No	
row_1	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D [Source:HGNC Symbol;Acc:HGNC:9277]	377	0.5335041880607605	0.003211205	No	
row_2	HMGB2	high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000]	418	0.520671010017395	0.014770587	No	
row_3	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	634	0.46753382682800293	0.0123814875	No	
row_4	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	669	0.46079322695732117	0.022711344	No	
row_5	BRCA1	BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]	770	0.44173428416252136	0.027807795	No	
row_6	LUC7L3	LUC7 like 3 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:24309]	831	0.4323384165763855	0.03549623	No	
row_7	HMGA1	high mobility group AT-hook 1 [Source:HGNC Symbol;Acc:HGNC:5010]	959	0.41458579897880554	0.037916116	No	
row_8	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]	1146	0.3917759656906128	0.035497885	No	
row_9	IPO7	importin 7 [Source:HGNC Symbol;Acc:HGNC:9852]	1148	0.3911278247833252	0.046252444	No	
row_10	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	1271	0.37475621700286865	0.047926407	No	
row_11	TRA2B	transformer 2 beta homolog [Source:HGNC Symbol;Acc:HGNC:10781]	1377	0.3609587252140045	0.0504306	No	
row_12	RAD21	RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]	1481	0.3495241105556488	0.0527609	No	
row_13	ATAD2	ATPase family AAA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30123]	1601	0.3360713720321655	0.05357803	No	
row_14	GSPT1	G1 to S phase transition 1 [Source:HGNC Symbol;Acc:HGNC:4621]	1729	0.3235156834125519	0.053477224	No	
row_15	MLH1	mutL homolog 1 [Source:HGNC Symbol;Acc:HGNC:7127]	1778	0.31920507550239563	0.058889903	No	
row_16	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	1801	0.31677260994911194	0.06608909	No	
row_17	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1833	0.31452319025993347	0.07258431	No	
row_18	CENPE	centromere protein E [Source:HGNC Symbol;Acc:HGNC:1856]	1943	0.3044034540653229	0.073237926	No	
row_19	RBBP7	RB binding protein 7, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:9890]	2241	0.2788555920124054	0.059779778	No	
row_20	DIAPH3	diaphanous related formin 3 [Source:HGNC Symbol;Acc:HGNC:15480]	2314	0.2738876938819885	0.06222691	No	
row_21	CDCA8	cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629]	2487	0.26134416460990906	0.05719673	No	
row_22	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	2538	0.25885090231895447	0.06079629	No	
row_23	POLE	DNA polymerase epsilon, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9177]	2575	0.25671085715293884	0.065334834	No	
row_24	ILF3	interleukin enhancer binding factor 3 [Source:HGNC Symbol;Acc:HGNC:6038]	2650	0.2523491084575653	0.06704321	No	
row_25	CIT	citron rho-interacting serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1985]	2670	0.25106486678123474	0.0726376	No	
row_26	CDKN3	cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]	2777	0.24414798617362976	0.071837336	No	
row_27	PSMC3IP	PSMC3 interacting protein [Source:HGNC Symbol;Acc:HGNC:17928]	3095	0.22932672500610352	0.055582277	No	
row_28	CTPS1	CTP synthase 1 [Source:HGNC Symbol;Acc:HGNC:2519]	3142	0.22678793966770172	0.058579586	No	
row_29	MYBL2	MYB proto-oncogene like 2 [Source:HGNC Symbol;Acc:HGNC:7548]	3202	0.22368837893009186	0.06056419	No	
row_30	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	3205	0.22357286512851715	0.06660976	No	
row_31	MKI67	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]	3410	0.21572057902812958	0.058035146	No	
row_32	POLD3	DNA polymerase delta 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:20932]	3425	0.2151813805103302	0.06299284	No	
row_33	MCM6	minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]	3484	0.21358531713485718	0.06476911	No	
row_34	WDR90	WD repeat domain 90 [Source:HGNC Symbol;Acc:HGNC:26960]	3611	0.20893363654613495	0.061568137	No	
row_35	NOLC1	nucleolar and coiled-body phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:15608]	3749	0.20416536927223206	0.057450872	No	
row_36	CCNB2	cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]	4141	0.19234894216060638	0.034896027	No	
row_37	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	4501	0.18006497621536255	0.014282823	No	
row_38	MSH2	mutS homolog 2 [Source:HGNC Symbol;Acc:HGNC:7325]	4903	0.16491569578647614	-0.009744347	No	
row_39	ING3	inhibitor of growth family member 3 [Source:HGNC Symbol;Acc:HGNC:14587]	4912	0.16448372602462769	-0.0057620816	No	
row_40	BRCA2	BRCA2 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101]	5048	0.159035786986351	-0.010985866	No	
row_41	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	5054	0.15887710452079773	-0.006944881	No	
row_42	PAN2	poly(A) specific ribonuclease subunit PAN2 [Source:HGNC Symbol;Acc:HGNC:20074]	5089	0.15794339776039124	-0.004997475	No	
row_43	SMC3	structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]	5144	0.15552113950252533	-0.004543139	No	
row_44	RRM2	ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]	5371	0.14511457085609436	-0.016640658	No	
row_45	LYAR	Ly1 antibody reactive [Source:HGNC Symbol;Acc:HGNC:26021]	5414	0.14319629967212677	-0.01567184	No	
row_46	CBX5	chromobox 5 [Source:HGNC Symbol;Acc:HGNC:1555]	5529	0.13830602169036865	-0.01997207	No	
row_47	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	5652	0.13167110085487366	-0.025026353	No	
row_48	PPP1R8	protein phosphatase 1 regulatory subunit 8 [Source:HGNC Symbol;Acc:HGNC:9296]	5689	0.1300876885652542	-0.023992555	No	
row_49	GINS3	GINS complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:25851]	5768	0.1268267035484314	-0.026043672	No	
row_50	PDS5B	PDS5 cohesin associated factor B [Source:HGNC Symbol;Acc:HGNC:20418]	5873	0.12125278264284134	-0.030102897	No	
row_51	KIF4A	kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]	5875	0.12115880101919174	-0.026820695	No	
row_52	HMGB3	high mobility group box 3 [Source:HGNC Symbol;Acc:HGNC:5004]	5965	0.11598412692546844	-0.02995623	No	
row_53	PRKDC	protein kinase, DNA-activated, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9413]	6030	0.11234145611524582	-0.03141006	No	
row_54	HUS1	HUS1 checkpoint clamp component [Source:HGNC Symbol;Acc:HGNC:5309]	6148	0.10752622783184052	-0.036776133	No	
row_55	ORC6	origin recognition complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:17151]	6238	0.10216152667999268	-0.04029426	No	
row_56	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]	6277	0.1004713624715805	-0.0402228	No	
row_57	NUP153	nucleoporin 153 [Source:HGNC Symbol;Acc:HGNC:8062]	6346	0.09666028618812561	-0.042395867	No	
row_58	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]	6400	0.09420474618673325	-0.04356738	No	
row_59	MELK	maternal embryonic leucine zipper kinase [Source:HGNC Symbol;Acc:HGNC:16870]	6472	0.09093895554542542	-0.04611271	No	
row_60	TK1	thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]	6494	0.08999522030353546	-0.045119096	No	
row_61	CNOT9	CCR4-NOT transcription complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:10445]	6563	0.08593039214611053	-0.04758915	No	
row_62	RAN	RAN, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9846]	6711	0.07873234897851944	-0.055891234	No	
row_63	HMMR	hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]	7235	0.0508686900138855	-0.091773815	No	
row_64	POP7	POP7 homolog, ribonuclease P/MRP subunit [Source:HGNC Symbol;Acc:HGNC:19949]	7250	0.05016389861702919	-0.09138357	No	
row_65	TRIP13	thyroid hormone receptor interactor 13 [Source:HGNC Symbol;Acc:HGNC:12307]	7286	0.048218727111816406	-0.09254449	No	
row_66	DLGAP5	DLG associated protein 5 [Source:HGNC Symbol;Acc:HGNC:16864]	7298	0.04702918976545334	-0.0920271	No	
row_67	RPA2	replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]	7336	0.04529771953821182	-0.09341147	No	
row_68	HNRNPD	heterogeneous nuclear ribonucleoprotein D [Source:HGNC Symbol;Acc:HGNC:5036]	7365	0.0436469167470932	-0.09419982	No	
row_69	TBRG4	transforming growth factor beta regulator 4 [Source:HGNC Symbol;Acc:HGNC:17443]	7418	0.04041752591729164	-0.09678879	No	
row_70	RFC3	replication factor C subunit 3 [Source:HGNC Symbol;Acc:HGNC:9971]	7535	0.0343141108751297	-0.104109965	No	
row_71	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]	7541	0.033993709832429886	-0.10352557	No	
row_72	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1 [Source:HGNC Symbol;Acc:HGNC:11153]	7575	0.031764306128025055	-0.104999326	No	
row_73	HELLS	helicase, lymphoid specific [Source:HGNC Symbol;Acc:HGNC:4861]	7603	0.030208835378289223	-0.10608832	No	
