NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	1	0.9333540797233582	0.028140401	Yes	
row_1	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	64	0.6980346441268921	0.044828877	Yes	
row_2	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	103	0.6628048419952393	0.062159713	Yes	
row_3	MMP14	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]	239	0.5794568061828613	0.07007129	Yes	
row_4	BASP1	brain abundant membrane attached signal protein 1 [Source:HGNC Symbol;Acc:HGNC:957]	253	0.5758907198905945	0.0865534	Yes	
row_5	TPM4	tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]	294	0.5580043792724609	0.10057427	Yes	
row_6	LAMC1	laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492]	394	0.5290334820747375	0.10952257	Yes	
row_7	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	488	0.5025601387023926	0.11809749	Yes	
row_8	DPYSL3	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]	524	0.49391308426856995	0.13053681	Yes	
row_9	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	603	0.4738432765007019	0.13931075	Yes	
row_10	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	648	0.46414321660995483	0.15021004	Yes	
row_11	SNTB1	syntrophin beta 1 [Source:HGNC Symbol;Acc:HGNC:11168]	764	0.4429279863834381	0.15541756	Yes	
row_12	CXCL8	C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]	841	0.43107762932777405	0.16304113	Yes	
row_13	FERMT2	FERM domain containing kindlin 2 [Source:HGNC Symbol;Acc:HGNC:15767]	876	0.42548102140426636	0.17348316	Yes	
row_14	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	883	0.4242715835571289	0.18588038	Yes	
