NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC26A2	solute carrier family 26 member 2 [Source:HGNC Symbol;Acc:HGNC:10994]	61	0.6993065476417542	0.014574621	No	
row_1	SLC16A1	solute carrier family 16 member 1 [Source:HGNC Symbol;Acc:HGNC:10922]	152	0.629540205001831	0.025198536	No	
row_2	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	275	0.5658634901046753	0.031822987	No	
row_3	FABP5	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	373	0.5344348549842834	0.039376315	No	
row_4	RABEP1	rabaptin, RAB GTPase binding effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17677]	436	0.5160420536994934	0.04892271	No	
row_5	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]	444	0.5142912864685059	0.062335506	No	
row_6	CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]	813	0.43525761365890503	0.04792208	No	
row_7	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:HGNC:8604]	933	0.4186408519744873	0.050777826	No	
row_8	RAPGEFL1	Rap guanine nucleotide exchange factor like 1 [Source:HGNC Symbol;Acc:HGNC:17428]	1003	0.40961164236068726	0.056947302	No	
row_9	MAPK13	mitogen-activated protein kinase 13 [Source:HGNC Symbol;Acc:HGNC:6875]	1030	0.4046230614185333	0.06604169	No	
row_10	BTG3	BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132]	1058	0.40097105503082275	0.07496614	No	
row_11	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	1125	0.39382898807525635	0.080922194	No	
row_12	PLXNB1	plexin B1 [Source:HGNC Symbol;Acc:HGNC:9103]	1144	0.3920372724533081	0.090245426	No	
row_13	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	1271	0.37475621700286865	0.09141604	No	
row_14	LSR	lipolysis stimulated lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:29572]	1278	0.374038964509964	0.101106346	No	
