NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ME1	malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983]	65	0.6974945068359375	0.016967181	No	
row_1	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	108	0.658631443977356	0.034365773	No	
row_2	HPGD	15-hydroxyprostaglandin dehydrogenase [Source:HGNC Symbol;Acc:HGNC:5154]	150	0.6316493153572083	0.0510004	No	
row_3	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	648	0.46414321660995483	0.030053366	No	
row_4	SMS	spermine synthase [Source:HGNC Symbol;Acc:HGNC:11123]	731	0.4495493769645691	0.038139597	No	
row_5	CPT2	carnitine palmitoyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:2330]	895	0.42208364605903625	0.039620966	No	
row_6	NCAPH2	non-SMC condensin II complex subunit H2 [Source:HGNC Symbol;Acc:HGNC:25071]	973	0.41325461864471436	0.046939224	No	
row_7	CA4	carbonic anhydrase 4 [Source:HGNC Symbol;Acc:HGNC:1375]	1111	0.39552438259124756	0.049445912	No	
row_8	TDO2	tryptophan 2,3-dioxygenase [Source:HGNC Symbol;Acc:HGNC:11708]	1256	0.3765186071395874	0.050867096	No	
row_9	DLST	dihydrolipoamide S-succinyltransferase [Source:HGNC Symbol;Acc:HGNC:2911]	1301	0.37029463052749634	0.05920046	No	
row_10	ETFDH	electron transfer flavoprotein dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3483]	1602	0.3360171616077423	0.04828476	No	
row_11	ACSL4	acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]	1715	0.32490044832229614	0.050382055	No	
row_12	SERINC1	serine incorporator 1 [Source:HGNC Symbol;Acc:HGNC:13464]	1963	0.3032482862472534	0.04221781	No	
row_13	S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	1995	0.30012521147727966	0.04930327	No	
row_14	MAOA	monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]	2162	0.28378990292549133	0.046291728	No	
row_15	ADIPOR2	adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]	2246	0.27845528721809387	0.04901208	No	
