NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC7A1	solute carrier family 7 member 1 [Source:HGNC Symbol;Acc:HGNC:11057]	9	0.8330894112586975	0.021342898	Yes	
row_1	SFPQ	splicing factor proline and glutamine rich [Source:HGNC Symbol;Acc:HGNC:10774]	138	0.6362364888191223	0.029001834	Yes	
row_2	SLC38A1	solute carrier family 38 member 1 [Source:HGNC Symbol;Acc:HGNC:13447]	169	0.6198827028274536	0.04322021	Yes	
row_3	CUL4A	cullin 4A [Source:HGNC Symbol;Acc:HGNC:2554]	213	0.5920891165733337	0.055777743	Yes	
row_4	KATNA1	katanin catalytic subunit A1 [Source:HGNC Symbol;Acc:HGNC:6216]	216	0.5907288193702698	0.07122419	Yes	
row_5	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	275	0.5658634901046753	0.08201959	Yes	
row_6	E2F3	E2F transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3115]	277	0.5650530457496643	0.0968598	Yes	
row_7	NUP98	nucleoporin 98 and 96 precursor [Source:HGNC Symbol;Acc:HGNC:8068]	302	0.554017186164856	0.109768026	Yes	
row_8	STAG1	STAG1 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:11354]	316	0.5511063933372498	0.12338415	Yes	
row_9	CUL3	cullin 3 [Source:HGNC Symbol;Acc:HGNC:2553]	341	0.5443326234817505	0.1360368	Yes	
row_10	CCNT1	cyclin T1 [Source:HGNC Symbol;Acc:HGNC:1599]	386	0.5308685302734375	0.14690742	Yes	
row_11	CENPF	centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]	459	0.5101326107978821	0.15523338	Yes	
row_12	UPF1	UPF1 RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]	470	0.5079888701438904	0.16792566	Yes	
row_13	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]	658	0.46309465169906616	0.16680656	Yes	
row_14	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	669	0.46079322695732117	0.17825337	Yes	
row_15	PRPF4B	pre-mRNA processing factor 4B [Source:HGNC Symbol;Acc:HGNC:17346]	854	0.42898669838905334	0.17644818	Yes	
row_16	TNPO2	transportin 2 [Source:HGNC Symbol;Acc:HGNC:19998]	907	0.4211293160915375	0.18385212	Yes	
row_17	HMGA1	high mobility group AT-hook 1 [Source:HGNC Symbol;Acc:HGNC:5010]	959	0.41458579897880554	0.1911547	Yes	
row_18	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]	1146	0.3917759656906128	0.18822488	Yes	
row_19	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	1271	0.37475621700286865	0.1892688	Yes	
row_20	FANCC	FA complementation group C [Source:HGNC Symbol;Acc:HGNC:3584]	1308	0.3692578077316284	0.19644526	Yes	
row_21	DKC1	dyskerin pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:2890]	1309	0.3692532181739807	0.2061897	Yes	
row_22	KIF5B	kinesin family member 5B [Source:HGNC Symbol;Acc:HGNC:6324]	1355	0.36396393179893494	0.21258442	Yes	
row_23	TRA2B	transformer 2 beta homolog [Source:HGNC Symbol;Acc:HGNC:10781]	1377	0.3609587252140045	0.22061193	Yes	
row_24	RAD21	RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]	1481	0.3495241105556488	0.22248805	Yes	
row_25	CUL5	cullin 5 [Source:HGNC Symbol;Acc:HGNC:2556]	1498	0.3476662337779999	0.23052144	Yes	
row_26	MAP3K20	mitogen-activated protein kinase kinase kinase 20 [Source:HGNC Symbol;Acc:HGNC:17797]	1608	0.3350062966346741	0.23158643	Yes	
row_27	GSPT1	G1 to S phase transition 1 [Source:HGNC Symbol;Acc:HGNC:4621]	1729	0.3235156834125519	0.23156346	Yes	
row_28	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	1801	0.31677260994911194	0.23485807	Yes	
row_29	SS18	SS18 subunit of BAF chromatin remodeling complex [Source:HGNC Symbol;Acc:HGNC:11340]	1858	0.31212157011032104	0.23909998	Yes	
row_30	CENPE	centromere protein E [Source:HGNC Symbol;Acc:HGNC:1856]	1943	0.3044034540653229	0.24114078	Yes	
row_31	MEIS1	Meis homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7000]	2217	0.2800633907318115	0.22905658	Yes	
row_32	G3BP1	G3BP stress granule assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:30292]	2293	0.27507734298706055	0.23096551	Yes	
row_33	EWSR1	EWS RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3508]	2442	0.26440203189849854	0.22738513	Yes	
row_34	TOP1	DNA topoisomerase I [Source:HGNC Symbol;Acc:HGNC:11986]	2485	0.26151636242866516	0.23129031	Yes	
row_35	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	2538	0.25885090231895447	0.23441178	Yes	
row_36	POLE	DNA polymerase epsilon, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9177]	2575	0.25671085715293884	0.23861817	Yes	
row_37	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	2605	0.25505727529525757	0.24328026	Yes	
