NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	33	0.7488235235214233	0.016798368	Yes	
row_1	VHL	von Hippel-Lindau tumor suppressor [Source:HGNC Symbol;Acc:HGNC:12687]	280	0.5643431544303894	0.01370717	Yes	
row_2	AK4	adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]	337	0.5459699034690857	0.023679858	Yes	
row_3	SLC6A6	solute carrier family 6 member 6 [Source:HGNC Symbol;Acc:HGNC:11052]	359	0.5392489433288574	0.035973735	Yes	
row_4	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	472	0.5069592595100403	0.04095995	Yes	
row_5	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	488	0.5025601387023926	0.052743	Yes	
row_6	FOSL2	FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]	492	0.5021904110908508	0.06537136	Yes	
row_7	ETS1	ETS proto-oncogene 1, transcription factor [Source:HGNC Symbol;Acc:HGNC:3488]	495	0.5010941624641418	0.0780429	Yes	
row_8	GBE1	1,4-alpha-glucan branching enzyme 1 [Source:HGNC Symbol;Acc:HGNC:4180]	502	0.499172180891037	0.090380386	Yes	
row_9	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	507	0.4985719919204712	0.10284498	Yes	
row_10	FOXO3	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	592	0.4761870205402374	0.10903873	Yes	
row_11	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	603	0.4738432765007019	0.12044358	Yes	
row_12	B3GALT6	beta-1,3-galactosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:17978]	641	0.46647799015045166	0.12973687	Yes	
row_13	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	648	0.46414321660995483	0.1411786	Yes	
row_14	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	698	0.45559200644493103	0.14933874	Yes	
row_15	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	1005	0.40941914916038513	0.138012	Yes	
row_16	KDELR3	KDEL endoplasmic reticulum protein retention receptor 3 [Source:HGNC Symbol;Acc:HGNC:6306]	1034	0.4039231538772583	0.1463467	Yes	
row_17	AMPD3	adenosine monophosphate deaminase 3 [Source:HGNC Symbol;Acc:HGNC:470]	1055	0.40110889077186584	0.15517929	Yes	
row_18	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	1126	0.39375928044319153	0.16026242	Yes	
row_19	PDK1	pyruvate dehydrogenase kinase 1 [Source:HGNC Symbol;Acc:HGNC:8809]	1176	0.3884516954421997	0.16670565	Yes	
row_20	GAA	alpha glucosidase [Source:HGNC Symbol;Acc:HGNC:4065]	1205	0.3845617473125458	0.17454524	Yes	
row_21	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	1246	0.3789713680744171	0.18138711	Yes	
row_22	VLDLR	very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]	1356	0.3638412058353424	0.1829272	Yes	
row_23	NR3C1	nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]	1363	0.36254358291625977	0.1917708	Yes	
row_24	CHST2	carbohydrate sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:1970]	1375	0.36105984449386597	0.20022032	Yes	
row_25	CAV1	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	1406	0.35768094658851624	0.20723006	Yes	
row_26	HAS1	hyaluronan synthase 1 [Source:HGNC Symbol;Acc:HGNC:4818]	1524	0.3436861038208008	0.20768489	Yes	
row_27	ERRFI1	ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]	1628	0.3329719007015228	0.20886296	Yes	
row_28	AKAP12	A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]	1749	0.32186681032180786	0.20854615	Yes	
row_29	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	1753	0.3217252790927887	0.21655963	Yes	
