NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC7A1	solute carrier family 7 member 1 [Source:HGNC Symbol;Acc:HGNC:11057]	9	0.8330894112586975	0.018427415	Yes	
row_1	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	86	0.6744727492332458	0.028451156	Yes	
row_2	CCL20	C-C motif chemokine ligand 20 [Source:HGNC Symbol;Acc:HGNC:10619]	126	0.6464616656303406	0.040469643	Yes	
row_3	MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]	129	0.6444153189659119	0.05507718	Yes	
row_4	ATP2B1	ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]	133	0.6414486169815063	0.069545574	Yes	
row_5	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	186	0.6080793142318726	0.0797594	Yes	
row_6	MMP14	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]	239	0.5794568061828613	0.08931809	Yes	
row_7	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	244	0.5783593058586121	0.102271184	Yes	
row_8	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	249	0.5771719217300415	0.115197115	Yes	
row_9	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	329	0.5470459461212158	0.12209046	Yes	
row_10	CCL24	C-C motif chemokine ligand 24 [Source:HGNC Symbol;Acc:HGNC:10623]	406	0.5242418050765991	0.12867557	Yes	
row_11	TNFAIP6	TNF alpha induced protein 6 [Source:HGNC Symbol;Acc:HGNC:11898]	485	0.5039549469947815	0.13465384	Yes	
row_12	ABI1	abl interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320]	568	0.48110970854759216	0.13982426	Yes	
row_13	ITGB8	integrin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:6163]	637	0.46721741557121277	0.14567405	Yes	
row_14	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	645	0.46516770124435425	0.15582259	Yes	
row_15	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	698	0.45559200644493103	0.16254614	Yes	
row_16	ADRM1	ADRM1 26S proteasome ubiquitin receptor [Source:HGNC Symbol;Acc:HGNC:15759]	800	0.4373478293418884	0.16536132	Yes	
row_17	CXCL8	C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]	841	0.43107762932777405	0.17237864	Yes	
row_18	GNA15	G protein subunit alpha 15 [Source:HGNC Symbol;Acc:HGNC:4383]	928	0.418948233127594	0.17584127	Yes	
row_19	IRAK2	interleukin 1 receptor associated kinase 2 [Source:HGNC Symbol;Acc:HGNC:6113]	935	0.41830289363861084	0.18498836	Yes	
row_20	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	1005	0.40941914916038513	0.18944398	Yes	
row_21	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	1014	0.4079227149486542	0.198211	Yes	
row_22	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	1015	0.4079003930091858	0.20754743	Yes	
row_23	HRH1	histamine receptor H1 [Source:HGNC Symbol;Acc:HGNC:5182]	1028	0.4048272669315338	0.21595864	Yes	
row_24	ACVR2A	activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]	1036	0.4038250744342804	0.2247031	Yes	
row_25	CD82	CD82 molecule [Source:HGNC Symbol;Acc:HGNC:6210]	1040	0.40310272574424744	0.233716	Yes	
row_26	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	1050	0.40207087993621826	0.24227783	Yes	
row_27	KIF1B	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	1127	0.3936988413333893	0.24587494	Yes	
row_28	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	1129	0.39342832565307617	0.25480887	Yes	
row_29	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	1134	0.3928318917751312	0.26351544	Yes	
row_30	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	1160	0.39005395770072937	0.27066237	Yes	
row_31	IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	1162	0.3898533582687378	0.2795145	Yes	
row_32	SLC11A2	solute carrier family 11 member 2 [Source:HGNC Symbol;Acc:HGNC:10908]	1173	0.38875484466552734	0.2877003	Yes	
row_33	PDPN	podoplanin [Source:HGNC Symbol;Acc:HGNC:29602]	1174	0.38869884610176086	0.2965972	Yes	
row_34	CSF3	colony stimulating factor 3 [Source:HGNC Symbol;Acc:HGNC:2438]	1208	0.38409870862960815	0.3030379	Yes	
row_35	NDP	norrin cystine knot growth factor NDP [Source:HGNC Symbol;Acc:HGNC:7678]	1290	0.37290504574775696	0.30580288	Yes	
row_36	CSF3R	colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439]	1315	0.36842644214630127	0.31252602	Yes	
row_37	CHST2	carbohydrate sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:1970]	1375	0.36105984449386597	0.31658715	Yes	
row_38	SLC7A2	solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]	1487	0.34904101490974426	0.31666866	Yes	
row_39	C3AR1	complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]	1501	0.3474750220775604	0.3236959	Yes	
row_40	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	1594	0.336954802274704	0.32485434	Yes	
row_41	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	1638	0.3321993947029114	0.32939473	Yes	
row_42	KCNA3	potassium voltage-gated channel subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:6221]	1800	0.3170262575149536	0.32518145	Yes	
row_43	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1833	0.31452319025993347	0.33010086	Yes	
row_44	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	1852	0.31252413988113403	0.33597192	Yes	
row_45	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	1989	0.3012723922729492	0.33317906	Yes	
row_46	TPBG	trophoblast glycoprotein [Source:HGNC Symbol;Acc:HGNC:12004]	2138	0.28619036078453064	0.3291861	Yes	
row_47	IL18RAP	interleukin 18 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5989]	2233	0.27910658717155457	0.328878	Yes	
row_48	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	2238	0.2788928151130676	0.3349766	Yes	
row_49	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	2262	0.277545690536499	0.3396908	Yes	
