NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KLC1	kinesin light chain 1 [Source:HGNC Symbol;Acc:HGNC:6387]	11	0.8189371228218079	0.018729342	Yes	
row_1	RASA1	RAS p21 protein activator 1 [Source:HGNC Symbol;Acc:HGNC:9871]	31	0.7507161498069763	0.035261977	Yes	
row_2	SSH2	slingshot protein phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:30580]	100	0.6648832559585571	0.04625154	Yes	
row_3	STK38L	serine/threonine kinase 38 like [Source:HGNC Symbol;Acc:HGNC:17848]	110	0.6581031680107117	0.061291117	Yes	
row_4	ROCK1	Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]	204	0.59688401222229	0.068875745	Yes	
row_5	KATNA1	katanin catalytic subunit A1 [Source:HGNC Symbol;Acc:HGNC:6216]	216	0.5907288193702698	0.08216709	Yes	
row_6	CDC42BPA	CDC42 binding protein kinase alpha [Source:HGNC Symbol;Acc:HGNC:1737]	261	0.5744848251342773	0.09271572	Yes	
row_7	ARHGAP10	Rho GTPase activating protein 10 [Source:HGNC Symbol;Acc:HGNC:26099]	274	0.567568302154541	0.10538378	Yes	
row_8	CCDC88A	coiled-coil domain containing 88A [Source:HGNC Symbol;Acc:HGNC:25523]	288	0.5611051321029663	0.11782645	Yes	
row_9	PPP4R2	protein phosphatase 4 regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:18296]	295	0.5572341084480286	0.13067655	Yes	
row_10	CDK5RAP2	CDK5 regulatory subunit associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18672]	298	0.5560831427574158	0.14378476	Yes	
row_11	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:682]	305	0.5536888837814331	0.15655038	Yes	
row_12	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:15772]	353	0.5409749746322632	0.16608636	Yes	
row_13	APC	APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]	454	0.5127551555633545	0.1711666	Yes	
row_14	CENPF	centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]	459	0.5101326107978821	0.18303707	Yes	
