NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSAT1	phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]	10	0.8308009505271912	0.016615605	Yes	
row_1	PHGDH	phosphoglycerate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8923]	13	0.8062284588813782	0.033289094	Yes	
row_2	PITPNB	phosphatidylinositol transfer protein beta [Source:HGNC Symbol;Acc:HGNC:9002]	22	0.7755247950553894	0.048894368	Yes	
row_3	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	33	0.7488235235214233	0.06380011	Yes	
row_4	RIT1	Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]	51	0.7140744924545288	0.077481955	Yes	
row_5	ME1	malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983]	65	0.6974945068359375	0.09110319	Yes	
row_6	SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	84	0.6779939532279968	0.10396118	Yes	
row_7	TXNRD1	thioredoxin reductase 1 [Source:HGNC Symbol;Acc:HGNC:12437]	144	0.6340793371200562	0.11297986	Yes	
row_8	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	147	0.6326808929443359	0.12603354	Yes	
row_9	PSMD12	proteasome 26S subunit, non-ATPase 12 [Source:HGNC Symbol;Acc:HGNC:9557]	185	0.6096508502960205	0.13611132	Yes	
row_10	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	218	0.5885762572288513	0.14610605	Yes	
row_11	SLC1A5	solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943]	219	0.5880521535873413	0.15837148	Yes	
row_12	ETF1	eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477]	220	0.5874843001365662	0.17062506	Yes	
row_13	ARPC5L	actin related protein 2/3 complex subunit 5 like [Source:HGNC Symbol;Acc:HGNC:23366]	232	0.5824922323226929	0.1819902	Yes	
row_14	GOT1	glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]	238	0.5794927477836609	0.19372061	Yes	
row_15	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	275	0.5658634901046753	0.2029564	Yes	
row_16	AK4	adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]	337	0.5459699034690857	0.2099947	Yes	
row_17	SLC6A6	solute carrier family 6 member 6 [Source:HGNC Symbol;Acc:HGNC:11052]	359	0.5392489433288574	0.21974488	Yes	
row_18	TRIB3	tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]	410	0.5235788822174072	0.22710048	Yes	
row_19	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	472	0.5069592595100403	0.23332512	Yes	
row_20	GBE1	1,4-alpha-glucan branching enzyme 1 [Source:HGNC Symbol;Acc:HGNC:4180]	502	0.499172180891037	0.24166898	Yes	
row_21	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	512	0.49663251638412476	0.2513859	Yes	
row_22	GTF2H1	general transcription factor IIH subunit 1 [Source:HGNC Symbol;Acc:HGNC:4655]	555	0.48368391394615173	0.2584798	Yes	
row_23	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	634	0.46753382682800293	0.26266998	Yes	
row_24	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	771	0.44148096442222595	0.2621813	Yes	
row_25	ACTR3	actin related protein 3 [Source:HGNC Symbol;Acc:HGNC:170]	842	0.4310164451599121	0.26618025	Yes	
row_26	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	1015	0.4079003930091858	0.2624243	Yes	
row_27	HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	1057	0.4010089933872223	0.2678651	Yes	
row_28	PDK1	pyruvate dehydrogenase kinase 1 [Source:HGNC Symbol;Acc:HGNC:8809]	1176	0.3884516954421997	0.26755375	Yes	
row_29	NFKBIB	NFKB inhibitor beta [Source:HGNC Symbol;Acc:HGNC:7798]	1194	0.3864169716835022	0.27440143	Yes	
row_30	VLDLR	very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]	1356	0.3638412058353424	0.27051082	Yes	
row_31	SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	1525	0.3436702489852905	0.26570037	Yes	
row_32	NFYC	nuclear transcription factor Y subunit gamma [Source:HGNC Symbol;Acc:HGNC:7806]	1569	0.3391250669956207	0.2697078	Yes	
row_33	MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like [Source:HGNC Symbol;Acc:HGNC:31865]	1710	0.32526543736457825	0.26650992	Yes	
row_34	CTH	cystathionine gamma-lyase [Source:HGNC Symbol;Acc:HGNC:2501]	1732	0.32298582792282104	0.27174935	Yes	
row_35	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	1753	0.3217252790927887	0.27703378	Yes	
row_36	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	1801	0.31677260994911194	0.28028977	Yes	
row_37	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1833	0.31452319025993347	0.2846397	Yes	
row_38	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	1866	0.31114083528518677	0.28884774	Yes	
row_39	TES	testin LIM domain protein [Source:HGNC Symbol;Acc:HGNC:14620]	1931	0.3055132329463959	0.29065678	Yes	
row_40	EIF2S2	eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]	1962	0.30330759286880493	0.29484403	Yes	
row_41	EDEM1	ER degradation enhancing alpha-mannosidase like protein 1 [Source:HGNC Symbol;Acc:HGNC:18967]	1975	0.3021637499332428	0.30029085	Yes	
row_42	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	1986	0.30160558223724365	0.30586866	Yes	
row_43	GAPDH	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]	2148	0.2853206694126129	0.3003403	Yes	
row_44	UFM1	ubiquitin fold modifier 1 [Source:HGNC Symbol;Acc:HGNC:20597]	2237	0.2789035141468048	0.29988307	Yes	
row_45	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:5006]	2244	0.27859944105148315	0.30526623	Yes	
row_46	ADIPOR2	adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]	2246	0.27845528721809387	0.31100288	Yes	
row_47	TBK1	TANK binding kinase 1 [Source:HGNC Symbol;Acc:HGNC:11584]	2395	0.2683299481868744	0.30604702	Yes	
row_48	ACSL3	acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]	2411	0.2668980658054352	0.3105444	Yes	
row_49	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	2538	0.25885090231895447	0.30695948	Yes	
row_50	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	2554	0.25781551003456116	0.3112674	Yes	
row_51	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	2711	0.24831676483154297	0.30532375	No	
row_52	CCNF	cyclin F [Source:HGNC Symbol;Acc:HGNC:1591]	2742	0.24615412950515747	0.3083189	No	
row_53	RAB1A	RAB1A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9758]	2830	0.24206791818141937	0.3071647	No	
row_54	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	2995	0.23426906764507294	0.3003576	No	
row_55	PSPH	phosphoserine phosphatase [Source:HGNC Symbol;Acc:HGNC:9577]	3070	0.2309294193983078	0.29989797	No	
row_56	ATP6V1D	ATPase H+ transporting V1 subunit D [Source:HGNC Symbol;Acc:HGNC:13527]	3648	0.20745699107646942	0.26308423	No	
row_57	ACTR2	actin related protein 2 [Source:HGNC Symbol;Acc:HGNC:169]	3770	0.20361043512821198	0.25870365	No	
