NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PUS1	pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:15508]	269	0.5696771740913391	0.037065655	No	
row_1	PPRC1	PPARG related coactivator 1 [Source:HGNC Symbol;Acc:HGNC:30025]	950	0.41625580191612244	0.029990561	No	
row_2	DDX18	DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741]	1681	0.3278087079524994	0.010676971	No	
row_3	PRMT3	protein arginine methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:30163]	1690	0.32690784335136414	0.042288627	No	
row_4	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	1753	0.3217252790927887	0.06957473	No	
row_5	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	1801	0.31677260994911194	0.097433195	No	
row_6	GRWD1	glutamate rich WD repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:21270]	1810	0.3164989650249481	0.12802033	No	
row_7	UTP20	UTP20 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:17897]	2015	0.2986489534378052	0.14300187	No	
row_8	BYSL	bystin like [Source:HGNC Symbol;Acc:HGNC:1157]	3294	0.21997128427028656	0.07435434	No	
row_9	GNL3	G protein nucleolar 3 [Source:HGNC Symbol;Acc:HGNC:29931]	3487	0.21347050368785858	0.081799805	No	
row_10	NOLC1	nucleolar and coiled-body phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:15608]	3749	0.20416536927223206	0.08345409	No	
row_11	MPHOSPH10	M-phase phosphoprotein 10 [Source:HGNC Symbol;Acc:HGNC:7213]	3966	0.19778640568256378	0.087660044	No	
row_12	RRP12	ribosomal RNA processing 12 homolog [Source:HGNC Symbol;Acc:HGNC:29100]	3985	0.1972353458404541	0.105801724	No	
row_13	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	4501	0.18006497621536255	0.087137125	No	
row_14	NDUFAF4	NADH:ubiquinone oxidoreductase complex assembly factor 4 [Source:HGNC Symbol;Acc:HGNC:21034]	4665	0.1746317446231842	0.0928088	No	
row_15	MAP3K6	mitogen-activated protein kinase kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6858]	4747	0.17114216089248657	0.10393082	No	
row_16	WDR43	WD repeat domain 43 [Source:HGNC Symbol;Acc:HGNC:28945]	5235	0.15136155486106873	0.084419385	No	
row_17	TFB2M	transcription factor B2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:18559]	6255	0.10134097933769226	0.022395317	No	
row_18	TBRG4	transforming growth factor beta regulator 4 [Source:HGNC Symbol;Acc:HGNC:17443]	7418	0.04041752591729164	-0.055729195	No	
row_19	PES1	pescadillo ribosomal biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:8848]	7786	0.020510731264948845	-0.07964126	No	
row_20	RCL1	RNA terminal phosphate cyclase like 1 [Source:HGNC Symbol;Acc:HGNC:17687]	7817	0.018872078508138657	-0.07990341	No	
row_21	NOC4L	nucleolar complex associated 4 homolog [Source:HGNC Symbol;Acc:HGNC:28461]	8650	-0.02657287009060383	-0.136074	No	
row_22	MRTO4	MRT4 homolog, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:18477]	9241	-0.05872967839241028	-0.17198063	No	
row_23	AIMP2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2 [Source:HGNC Symbol;Acc:HGNC:20609]	9253	-0.05941435694694519	-0.16690981	No	
row_24	HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	9282	-0.060557350516319275	-0.16292766	No	
row_25	NPM1	nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]	9560	-0.0753924548625946	-0.17507873	No	
row_26	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	9868	-0.09220149368047714	-0.18769504	No	
