NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KIFC3	kinesin family member C3 [Source:HGNC Symbol;Acc:HGNC:6326]	30	0.7521318197250366	0.022442147	Yes	
row_1	RIT1	Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]	51	0.7140744924545288	0.04435201	Yes	
row_2	ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:811]	53	0.7108680009841919	0.06750845	Yes	
row_3	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	103	0.6628048419952393	0.08568049	Yes	
row_4	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	108	0.658631443977356	0.10691674	Yes	
row_5	NQO1	NAD(P)H quinone dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:2874]	200	0.5986523628234863	0.12000541	Yes	
row_6	PRNP	prion protein [Source:HGNC Symbol;Acc:HGNC:9449]	247	0.5774391293525696	0.1356015	Yes	
row_7	LPIN1	lipin 1 [Source:HGNC Symbol;Acc:HGNC:13345]	379	0.533367395401001	0.14371203	Yes	
row_8	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	538	0.488974392414093	0.14845169	Yes	
row_9	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	593	0.4761008322238922	0.16016756	Yes	
row_10	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	645	0.46516770124435425	0.17173958	Yes	
row_11	PDE4DIP	phosphodiesterase 4D interacting protein [Source:HGNC Symbol;Acc:HGNC:15580]	662	0.46212759613990784	0.1857016	Yes	
row_12	IGFBP7	insulin like growth factor binding protein 7 [Source:HGNC Symbol;Acc:HGNC:5476]	912	0.4208996593952179	0.18174464	Yes	
row_13	SVIL	supervillin [Source:HGNC Symbol;Acc:HGNC:11480]	1033	0.4043218791484833	0.18642098	Yes	
row_14	GAA	alpha glucosidase [Source:HGNC Symbol;Acc:HGNC:4065]	1205	0.3845617473125458	0.18682435	Yes	
row_15	PDLIM7	PDZ and LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:22958]	1358	0.3632737696170807	0.18788348	Yes	
row_16	DAPK2	death associated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:2675]	1503	0.34711921215057373	0.18898377	Yes	
row_17	PICK1	protein interacting with PRKCA 1 [Source:HGNC Symbol;Acc:HGNC:9394]	1564	0.33967068791389465	0.19581506	Yes	
row_18	ACTA1	actin alpha 1, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:129]	1756	0.321179062128067	0.19272493	Yes	
row_19	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	1811	0.31649717688560486	0.19922577	Yes	
row_20	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1833	0.31452319025993347	0.2080092	Yes	
row_21	EPHB3	EPH receptor B3 [Source:HGNC Symbol;Acc:HGNC:3394]	1867	0.3109653890132904	0.21582288	Yes	
row_22	FABP3	fatty acid binding protein 3 [Source:HGNC Symbol;Acc:HGNC:3557]	1906	0.3078056573867798	0.2231777	Yes	
row_23	ITGB5	integrin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]	1949	0.3040054142475128	0.23012386	Yes	
row_24	SPARC	secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219]	1993	0.3003142774105072	0.23687829	Yes	
row_25	COX7A1	cytochrome c oxidase subunit 7A1 [Source:HGNC Symbol;Acc:HGNC:2287]	2322	0.2731136977672577	0.22247368	Yes	
row_26	ATP6AP1	ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868]	2323	0.27305492758750916	0.23139572	Yes	
