NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC25A12	solute carrier family 25 member 12 [Source:HGNC Symbol;Acc:HGNC:10982]	985	0.41215062141418457	-0.06093725	No	
row_1	HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	1057	0.4010089933872223	-0.05698798	No	
row_2	PMPCA	peptidase, mitochondrial processing subunit alpha [Source:HGNC Symbol;Acc:HGNC:18667]	1093	0.39740273356437683	-0.050554164	No	
row_3	ATP6V1H	ATPase H+ transporting V1 subunit H [Source:HGNC Symbol;Acc:HGNC:18303]	1114	0.3950892984867096	-0.043103337	No	
row_4	DLST	dihydrolipoamide S-succinyltransferase [Source:HGNC Symbol;Acc:HGNC:2911]	1301	0.37029463052749634	-0.048039652	No	
row_5	ATP6V1C1	ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856]	1422	0.35643109679222107	-0.048583895	No	
row_6	NQO2	N-ribosyldihydronicotinamide:quinone dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:7856]	1494	0.3480946123600006	-0.045823406	No	
row_7	ETFDH	electron transfer flavoprotein dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3483]	1602	0.3360171616077423	-0.04589982	No	
row_8	ATP6AP1	ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868]	2323	0.27305492758750916	-0.09107661	No	
row_9	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	2350	0.27143171429634094	-0.08683149	No	
row_10	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	3017	0.23338356614112854	-0.1290512	No	
row_11	OPA1	OPA1 mitochondrial dynamin like GTPase [Source:HGNC Symbol;Acc:HGNC:8140]	3260	0.2213750183582306	-0.14132404	No	
row_12	DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]	3510	0.21273469924926758	-0.15428986	No	
row_13	NDUFS4	NADH:ubiquinone oxidoreductase subunit S4 [Source:HGNC Symbol;Acc:HGNC:7711]	3528	0.21189038455486298	-0.15074101	No	
row_14	ATP6V1D	ATPase H+ transporting V1 subunit D [Source:HGNC Symbol;Acc:HGNC:13527]	3648	0.20745699107646942	-0.15456086	No	
row_15	CYB5R3	cytochrome b5 reductase 3 [Source:HGNC Symbol;Acc:HGNC:2873]	4003	0.19690081477165222	-0.17536531	No	
row_16	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase [Source:HGNC Symbol;Acc:HGNC:7473]	4174	0.1912151426076889	-0.18318461	No	
row_17	COX10	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 [Source:HGNC Symbol;Acc:HGNC:2260]	4356	0.18555833399295807	-0.19191492	No	
row_18	TOMM70	translocase of outer mitochondrial membrane 70 [Source:HGNC Symbol;Acc:HGNC:11985]	4554	0.17814862728118896	-0.20195194	No	
row_19	ACADVL	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	4735	0.17175017297267914	-0.21092118	No	
row_20	CYCS	cytochrome c, somatic [Source:HGNC Symbol;Acc:HGNC:19986]	5025	0.16003625094890594	-0.22792156	No	
row_21	FH	fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]	5364	0.14540109038352966	-0.24874276	No	
row_22	MAOB	monoamine oxidase B [Source:HGNC Symbol;Acc:HGNC:6834]	5799	0.1253366321325302	-0.27685624	No	
