NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STXBP1	syntaxin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11444]	1328	0.3669806718826294	0.0100964345	No	
row_1	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	1369	0.3617072105407715	0.10952154	No	
row_2	MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	3838	0.20176970958709717	-0.0074666156	No	
row_3	PCSK2	proprotein convertase subtilisin/kexin type 2 [Source:HGNC Symbol;Acc:HGNC:8744]	4293	0.18727095425128937	0.013457793	No	
row_4	PAK3	p21 (RAC1) activated kinase 3 [Source:HGNC Symbol;Acc:HGNC:8592]	6060	0.11092720925807953	-0.0797099	No	
row_5	GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]	6445	0.09236966818571091	-0.08067588	No	
row_6	FOXO1	forkhead box O1 [Source:HGNC Symbol;Acc:HGNC:3819]	6886	0.06866994500160217	-0.09228985	No	
row_7	VDR	vitamin D receptor [Source:HGNC Symbol;Acc:HGNC:12679]	7061	0.058728788048028946	-0.08795776	No	
row_8	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	8115	0.0016624914715066552	-0.16173686	No	
row_9	ABCC8	ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]	8934	-0.04209933802485466	-0.20751518	No	
row_10	ELP4	elongator acetyltransferase complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:1171]	8959	-0.04376101493835449	-0.19683732	No	
row_11	HNF1A	HNF1 homeobox A [Source:HGNC Symbol;Acc:HGNC:11621]	9545	-0.07438471913337708	-0.21706009	No	
row_12	SEC11A	SEC11 homolog A, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:17718]	9638	-0.0794125571846962	-0.20109925	No	
row_13	SRP14	signal recognition particle 14 [Source:HGNC Symbol;Acc:HGNC:11299]	9966	-0.09797273576259613	-0.1964622	No	
row_14	CHGA	chromogranin A [Source:HGNC Symbol;Acc:HGNC:1929]	10782	-0.14976254105567932	-0.21159528	No	
row_15	SRP9	signal recognition particle 9 [Source:HGNC Symbol;Acc:HGNC:11304]	11767	-0.22231818735599518	-0.21813521	Yes	
row_16	SRPRB	SRP receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:24085]	12904	-0.3300164043903351	-0.20494936	Yes	
row_17	SPCS1	signal peptidase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:23401]	13725	-0.4695737957954407	-0.13003236	Yes	
row_18	LMO2	LIM domain only 2 [Source:HGNC Symbol;Acc:HGNC:6642]	14028	-0.5782436728477478	0.0121280765	Yes	
