NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	35	0.747144341468811	0.03884715	No	
row_1	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	108	0.658631443977356	0.07017624	No	
row_2	VPS4B	vacuolar protein sorting 4 homolog B [Source:HGNC Symbol;Acc:HGNC:10895]	875	0.4255934953689575	0.03943359	No	
row_3	SCGB1A1	secretoglobin family 1A member 1 [Source:HGNC Symbol;Acc:HGNC:12523]	962	0.414289265871048	0.05625502	No	
row_4	PEX13	peroxisomal biogenesis factor 13 [Source:HGNC Symbol;Acc:HGNC:8855]	1439	0.3543179929256439	0.04212119	No	
row_5	ACSL4	acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]	1715	0.32490044832229614	0.040604368	No	
row_6	SEMA3C	semaphorin 3C [Source:HGNC Symbol;Acc:HGNC:10725]	2000	0.29965490102767944	0.037053313	No	
row_7	SIAH1	siah E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:10857]	2020	0.2982681691646576	0.05220523	No	
row_8	ACSL5	acyl-CoA synthetase long chain family member 5 [Source:HGNC Symbol;Acc:HGNC:16526]	2451	0.26393768191337585	0.036331978	No	
row_9	CLN8	CLN8 transmembrane ER and ERGIC protein [Source:HGNC Symbol;Acc:HGNC:2079]	2481	0.2618120014667511	0.048758693	No	
row_10	SLC23A2	solute carrier family 23 member 2 [Source:HGNC Symbol;Acc:HGNC:10973]	2746	0.2458202838897705	0.04364717	No	
row_11	CTPS1	CTP synthase 1 [Source:HGNC Symbol;Acc:HGNC:2519]	3142	0.22678793966770172	0.028199354	No	
row_12	FABP6	fatty acid binding protein 6 [Source:HGNC Symbol;Acc:HGNC:3561]	3169	0.22528816759586334	0.038818393	No	
row_13	SLC27A2	solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]	3296	0.21983686089515686	0.04204923	No	
row_14	ESR2	estrogen receptor 2 [Source:HGNC Symbol;Acc:HGNC:3468]	3376	0.21681545674800873	0.04844367	No	
row_15	CACNA1B	calcium voltage-gated channel subunit alpha1 B [Source:HGNC Symbol;Acc:HGNC:1389]	4135	0.19260749220848083	0.0053805914	No	
row_16	CDK7	cyclin dependent kinase 7 [Source:HGNC Symbol;Acc:HGNC:1778]	4259	0.18870986998081207	0.0071022715	No	
row_17	HSD11B2	hydroxysteroid 11-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5209]	4456	0.18209470808506012	0.003284771	No	
row_18	MLYCD	malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:HGNC:7150]	4686	0.17357975244522095	-0.003342326	No	
row_19	MSH2	mutS homolog 2 [Source:HGNC Symbol;Acc:HGNC:7325]	4903	0.16491569578647614	-0.009527399	No	
row_20	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	5132	0.15615005791187286	-0.017047733	No	
row_21	CADM1	cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5951]	5238	0.1511913537979126	-0.01612575	No	
row_22	PABPC1	poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]	5285	0.14949633181095123	-0.011116389	No	
row_23	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3433]	5978	0.11538354307413101	-0.053773828	No	
row_24	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4 [Source:HGNC Symbol;Acc:HGNC:5213]	6094	0.10946518927812576	-0.05586855	No	
row_25	ABCC5	ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]	6164	0.10686061531305313	-0.05484747	No	
row_26	DLG4	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]	6220	0.10327073931694031	-0.05303283	No	
row_27	SLC25A19	solute carrier family 25 member 19 [Source:HGNC Symbol;Acc:HGNC:14409]	6675	0.08051247149705887	-0.08075285	No	
row_28	CLN6	CLN6 transmembrane ER protein [Source:HGNC Symbol;Acc:HGNC:2077]	6707	0.07894603908061981	-0.078582905	No	
row_29	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	6921	0.06677153706550598	-0.08998412	No	
row_30	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]	7000	0.062473125755786896	-0.09205608	No	
row_31	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	7138	0.05524428188800812	-0.09870905	No	
row_32	SLC25A17	solute carrier family 25 member 17 [Source:HGNC Symbol;Acc:HGNC:10987]	7536	0.034247905015945435	-0.12494874	No	
row_33	ABCB4	ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]	7579	0.03161079064011574	-0.12617663	No	
row_34	PEX11B	peroxisomal biogenesis factor 11 beta [Source:HGNC Symbol;Acc:HGNC:8853]	7869	0.015577862039208412	-0.14579542	No	
row_35	PEX11A	peroxisomal biogenesis factor 11 alpha [Source:HGNC Symbol;Acc:HGNC:8852]	8029	0.00716885132715106	-0.1566667	No	
row_36	TSPO	translocator protein [Source:HGNC Symbol;Acc:HGNC:1158]	8596	-0.023912765085697174	-0.19545454	No	
row_37	PEX14	peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:HGNC:8856]	8767	-0.03311663866043091	-0.20567006	No	
row_38	CTBP1	C-terminal binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2494]	8794	-0.0345030277967453	-0.2056041	No	
row_39	STS	steroid sulfatase [Source:HGNC Symbol;Acc:HGNC:11425]	8927	-0.04167185723781586	-0.21265347	No	
row_40	ABCC8	ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]	8934	-0.04209933802485466	-0.21074998	No	
row_41	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase [Source:HGNC Symbol;Acc:HGNC:5005]	8936	-0.04218212887644768	-0.2084876	No	
row_42	PEX6	peroxisomal biogenesis factor 6 [Source:HGNC Symbol;Acc:HGNC:8859]	9035	-0.047428932040929794	-0.21280906	No	
row_43	DHRS3	dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]	9254	-0.0595044381916523	-0.22496657	No	
row_44	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	9331	-0.06307768076658249	-0.22686337	No	
row_45	FDPS	farnesyl diphosphate synthase [Source:HGNC Symbol;Acc:HGNC:3631]	9394	-0.06635092943906784	-0.22758697	No	
row_46	GNPAT	glyceronephosphate O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:4416]	9498	-0.07191327959299088	-0.23090844	No	
row_47	PRDX1	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	9613	-0.0781320333480835	-0.23466545	No	
row_48	ABCB9	ATP binding cassette subfamily B member 9 [Source:HGNC Symbol;Acc:HGNC:50]	9795	-0.08763591945171356	-0.24264483	No	
row_49	SLC35B2	solute carrier family 35 member B2 [Source:HGNC Symbol;Acc:HGNC:16872]	9850	-0.09127653390169144	-0.24142277	No	
row_50	PRDX5	peroxiredoxin 5 [Source:HGNC Symbol;Acc:HGNC:9355]	9914	-0.09494122862815857	-0.24063581	No	
row_51	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	9998	-0.09936214238405228	-0.24102163	No	
row_52	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	10140	-0.10724872350692749	-0.24508148	No	
row_53	EHHADH	enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3247]	10376	-0.12336461991071701	-0.2549114	No	
row_54	IDE	insulin degrading enzyme [Source:HGNC Symbol;Acc:HGNC:5381]	10466	-0.1293649822473526	-0.25406283	No	
row_55	NUDT19	nudix hydrolase 19 [Source:HGNC Symbol;Acc:HGNC:32036]	10626	-0.13919860124588013	-0.257631	No	
row_56	ELOVL5	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]	10812	-0.1516902893781662	-0.26235077	Yes	
row_57	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	10814	-0.15197265148162842	-0.25401545	Yes	
row_58	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	10990	-0.16313539445400238	-0.25739345	Yes	
row_59	BCL10	BCL10 immune signaling adaptor [Source:HGNC Symbol;Acc:HGNC:989]	10992	-0.16336120665073395	-0.24842817	Yes	
row_60	ITGB1BP1	integrin subunit beta 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:23927]	10994	-0.1634639948606491	-0.23945719	Yes	
row_61	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1 [Source:HGNC Symbol;Acc:HGNC:11104]	11024	-0.16564349830150604	-0.23234993	Yes	
row_62	ISOC1	isochorismatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24254]	11101	-0.1708672195672989	-0.22828448	Yes	
row_63	PEX5	peroxisomal biogenesis factor 5 [Source:HGNC Symbol;Acc:HGNC:9719]	11122	-0.17239974439144135	-0.2201657	Yes	
row_64	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	11256	-0.18116261065006256	-0.21957016	Yes	
row_65	FIS1	fission, mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:21689]	11353	-0.18842078745365143	-0.21595107	Yes	
row_66	EPHX2	epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]	11368	-0.18917441368103027	-0.20647922	Yes	
row_67	ABCD3	ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]	11432	-0.19384868443012238	-0.20022129	Yes	
row_68	HSD17B11	hydroxysteroid 17-beta dehydrogenase 11 [Source:HGNC Symbol;Acc:HGNC:22960]	11469	-0.1969933807849884	-0.19187601	Yes	
row_69	RXRG	retinoid X receptor gamma [Source:HGNC Symbol;Acc:HGNC:10479]	11540	-0.2027205377817154	-0.18562342	Yes	
row_70	LONP2	lon peptidase 2, peroxisomal [Source:HGNC Symbol;Acc:HGNC:20598]	11563	-0.20474781095981598	-0.17585708	Yes	
row_71	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]	11711	-0.21717144548892975	-0.17426188	Yes	
row_72	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	11893	-0.2329278439283371	-0.1742046	Yes	
row_73	ECI2	enoyl-CoA delta isomerase 2 [Source:HGNC Symbol;Acc:HGNC:14601]	11943	-0.2379237413406372	-0.16451657	Yes	
