NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	1	0.9333540797233582	0.07671401	Yes	
row_1	ACVR1	activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171]	12	0.8078784346580505	0.1424695	Yes	
row_2	SMURF2	SMAD specific E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:16809]	15	0.8022072315216064	0.20832373	Yes	
row_3	SMURF1	SMAD specific E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:16807]	331	0.546465277671814	0.2310217	Yes	
row_4	CDK9	cyclin dependent kinase 9 [Source:HGNC Symbol;Acc:HGNC:1780]	407	0.5240121483802795	0.26883125	Yes	
row_5	APC	APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]	454	0.5127551555633545	0.3077639	Yes	
row_6	HIPK2	homeodomain interacting protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:14402]	483	0.5042968988418579	0.3472726	Yes	
row_7	TGIF1	TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]	689	0.4574522376060486	0.37042046	Yes	
row_8	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	776	0.44076085090637207	0.40060386	Yes	
row_9	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	1014	0.4079227149486542	0.41741586	Yes	
row_10	ARID4B	AT-rich interaction domain 4B [Source:HGNC Symbol;Acc:HGNC:15550]	1462	0.35169240832328796	0.41476306	Yes	
row_11	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	1559	0.34005582332611084	0.4359551	Yes	
row_12	TGFBR1	transforming growth factor beta receptor 1 [Source:HGNC Symbol;Acc:HGNC:11772]	1902	0.3081408739089966	0.4371389	Yes	
row_13	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	2046	0.29536789655685425	0.45133346	Yes	
row_14	SKI	SKI proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10896]	2300	0.27469608187675476	0.4560547	Yes	
row_15	SKIL	SKI like proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10897]	2381	0.2691807746887207	0.47254658	Yes	
row_16	ENG	endoglin [Source:HGNC Symbol;Acc:HGNC:3349]	2528	0.25902923941612244	0.4835397	Yes	
row_17	XIAP	X-linked inhibitor of apoptosis [Source:HGNC Symbol;Acc:HGNC:592]	2571	0.2571169435977936	0.5017243	Yes	
row_18	TRIM33	tripartite motif containing 33 [Source:HGNC Symbol;Acc:HGNC:16290]	3736	0.2047518789768219	0.43631884	No	
row_19	SMAD6	SMAD family member 6 [Source:HGNC Symbol;Acc:HGNC:6772]	4240	0.18925519287586212	0.41634572	No	
row_20	PPM1A	protein phosphatase, Mg2+/Mn2+ dependent 1A [Source:HGNC Symbol;Acc:HGNC:9275]	4329	0.18634033203125	0.42545724	No	
row_21	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	4861	0.16679978370666504	0.40165824	No	
row_22	ID3	inhibitor of DNA binding 3 [Source:HGNC Symbol;Acc:HGNC:5362]	4910	0.1645027995109558	0.41179973	No	
row_23	SMAD7	SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]	5159	0.15494033694267273	0.40702224	No	
row_24	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	5472	0.14084084331989288	0.39656252	No	
row_25	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	5598	0.13466745615005493	0.3988086	No	
row_26	NCOR2	nuclear receptor corepressor 2 [Source:HGNC Symbol;Acc:HGNC:7673]	5964	0.11603491753339767	0.38256308	No	
row_27	WWTR1	WW domain containing transcription regulator 1 [Source:HGNC Symbol;Acc:HGNC:24042]	6046	0.11173054575920105	0.3860313	No	
row_28	BMPR1A	bone morphogenetic protein receptor type 1A [Source:HGNC Symbol;Acc:HGNC:1076]	6249	0.10167950391769409	0.3801226	No	
row_29	SPTBN1	spectrin beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]	6434	0.09281917661428452	0.3747569	No	
row_30	LTBP2	latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]	6544	0.0870501697063446	0.3742162	No	
row_31	FNTA	farnesyltransferase, CAAX box, alpha [Source:HGNC Symbol;Acc:HGNC:3782]	7135	0.05529361963272095	0.33707485	No	
row_32	ID1	inhibitor of DNA binding 1 [Source:HGNC Symbol;Acc:HGNC:5360]	8192	-0.0023854251485317945	0.26265267	No	
row_33	SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]	8311	-0.009419587440788746	0.25508955	No	
row_34	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	8533	-0.020174967125058174	0.24113312	No	
row_35	PMEPA1	prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]	8638	-0.026071427389979362	0.23592916	No	
row_36	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	8976	-0.044490449130535126	0.2157764	No	
row_37	KLF10	KLF transcription factor 10 [Source:HGNC Symbol;Acc:HGNC:11810]	8978	-0.04461175575852394	0.21937583	No	
row_38	TJP1	tight junction protein 1 [Source:HGNC Symbol;Acc:HGNC:11827]	9309	-0.06203742325305939	0.20116124	No	
row_39	BCAR3	BCAR3 adaptor protein, NSP family member [Source:HGNC Symbol;Acc:HGNC:973]	9501	-0.07208617031574249	0.19359525	No	
row_40	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	9518	-0.07315458357334137	0.19848292	No	
row_41	BMPR2	bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]	9858	-0.09177097678184509	0.18207847	No	
row_42	SLC20A1	solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]	9890	-0.09323366731405258	0.18755805	No	
row_43	UBE2D3	ubiquitin conjugating enzyme E2 D3 [Source:HGNC Symbol;Acc:HGNC:12476]	9903	-0.09414767473936081	0.19445542	No	
row_44	PPP1CA	protein phosphatase 1 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9281]	11322	-0.1859338879585266	0.109553866	No	
row_45	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	11539	-0.20265525579452515	0.110962935	No	
row_46	HDAC1	histone deacetylase 1 [Source:HGNC Symbol;Acc:HGNC:4852]	11595	-0.2065981924533844	0.12407287	No	
row_47	SMAD1	SMAD family member 1 [Source:HGNC Symbol;Acc:HGNC:6767]	12415	-0.27937784790992737	0.089184895	No	
row_48	CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	13620	-0.44823378324508667	0.040983636	No	
