NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERPINB8	serpin family B member 8 [Source:HGNC Symbol;Acc:HGNC:8952]	17	0.7853318452835083	0.016526155	Yes	
row_1	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	64	0.6980346441268921	0.029012794	Yes	
row_2	CCL20	C-C motif chemokine ligand 20 [Source:HGNC Symbol;Acc:HGNC:10619]	126	0.6464616656303406	0.039265037	Yes	
row_3	ATP2B1	ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]	133	0.6414486169815063	0.053325616	Yes	
row_4	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	218	0.5885762572288513	0.060630474	Yes	
row_5	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	244	0.5783593058586121	0.071911335	Yes	
row_6	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	249	0.5771719217300415	0.0846627	Yes	
row_7	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	308	0.5526415109634399	0.09300973	Yes	
row_8	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	329	0.5470459461212158	0.103939824	Yes	
row_9	TNFAIP6	TNF alpha induced protein 6 [Source:HGNC Symbol;Acc:HGNC:11898]	485	0.5039549469947815	0.10427096	Yes	
row_10	FJX1	four-jointed box kinase 1 [Source:HGNC Symbol;Acc:HGNC:17166]	486	0.5033953785896301	0.11564114	Yes	
row_11	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	488	0.5025601387023926	0.12692115	Yes	
row_12	LAMB3	laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]	489	0.5025117993354797	0.13827138	Yes	
row_13	FOSL2	FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]	492	0.5021904110908508	0.14947174	Yes	
row_14	NFKB2	nuclear factor kappa B subunit 2 [Source:HGNC Symbol;Acc:HGNC:7795]	565	0.4815124571323395	0.15521397	Yes	
row_15	TSC22D1	TSC22 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:16826]	581	0.47965291142463684	0.16497836	Yes	
row_16	TNIP1	TNFAIP3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16903]	595	0.47553160786628723	0.17479226	Yes	
row_17	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	603	0.4738432765007019	0.18499584	Yes	
row_18	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	645	0.46516770124435425	0.19257922	Yes	
row_19	JAG1	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	678	0.45972827076911926	0.20068146	Yes	
row_20	DENND5A	DENN domain containing 5A [Source:HGNC Symbol;Acc:HGNC:19344]	687	0.45839089155197144	0.21046472	Yes	
row_21	TGIF1	TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]	689	0.4574522376060486	0.2207259	Yes	
row_22	EGR2	early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]	696	0.45588481426239014	0.23059514	Yes	
row_23	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	698	0.45559200644493103	0.24081428	Yes	
row_24	EHD1	EH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3242]	765	0.4428941011428833	0.24611205	Yes	
row_25	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	771	0.44148096442222595	0.25572726	Yes	
row_26	CXCL3	C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604]	777	0.4406870901584625	0.26532456	Yes	
row_27	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	807	0.43593287467956543	0.27310324	Yes	
row_28	FOSL1	FOS like 1, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:13718]	811	0.4355325996875763	0.28272668	Yes	
row_29	B4GALT5	beta-1,4-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:928]	916	0.42039451003074646	0.2848068	Yes	
row_30	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	920	0.4201081097126007	0.29408187	Yes	
row_31	DUSP4	dual specificity phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3070]	980	0.41268983483314514	0.2991965	Yes	
row_32	RELB	RELB proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9956]	995	0.4111017882823944	0.30748385	Yes	
row_33	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	1005	0.40941914916038513	0.3160897	Yes	
row_34	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	1014	0.4079227149486542	0.32473302	Yes	
row_35	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	1015	0.4079003930091858	0.33394626	Yes	
row_36	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	1050	0.40207087993621826	0.3406036	Yes	
