NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1 [Source:HGNC Symbol;Acc:HGNC:28680]	4	0.8804270029067993	0.030976962	Yes	
row_1	CEBPG	CCAAT enhancer binding protein gamma [Source:HGNC Symbol;Acc:HGNC:1837]	7	0.8365949988365173	0.060539413	Yes	
row_2	PSAT1	phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]	10	0.8308009505271912	0.08989614	Yes	
row_3	ATF4	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	21	0.7797159552574158	0.11687186	Yes	
row_4	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	33	0.7488235235214233	0.14267981	Yes	
row_5	CNOT4	CCR4-NOT transcription complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:7880]	146	0.6337420344352722	0.15724109	Yes	
row_6	EIF4E	eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:HGNC:3287]	264	0.5720542669296265	0.1692576	Yes	
row_7	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	275	0.5658634901046753	0.18864025	Yes	
row_8	ZBTB17	zinc finger and BTB domain containing 17 [Source:HGNC Symbol;Acc:HGNC:12936]	330	0.5468952655792236	0.20422995	Yes	
row_9	ERN1	endoplasmic reticulum to nucleus signaling 1 [Source:HGNC Symbol;Acc:HGNC:3449]	370	0.535581648349762	0.2204814	Yes	
row_10	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3 [Source:HGNC Symbol;Acc:HGNC:9439]	391	0.5291315913200378	0.23785087	Yes	
row_11	NOP14	NOP14 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:16821]	569	0.48107627034187317	0.24238329	Yes	
row_12	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	603	0.4738432765007019	0.25686803	Yes	
row_13	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	634	0.46753382682800293	0.27134144	Yes	
row_14	XPOT	exportin for tRNA [Source:HGNC Symbol;Acc:HGNC:12826]	716	0.4516933858394623	0.2816367	Yes	
row_15	DDX10	DEAD-box helicase 10 [Source:HGNC Symbol;Acc:HGNC:2735]	740	0.4479525089263916	0.2959111	Yes	
row_16	MTREX	Mtr4 exosome RNA helicase [Source:HGNC Symbol;Acc:HGNC:18734]	846	0.4304821789264679	0.30375168	Yes	
row_17	DCP2	decapping mRNA 2 [Source:HGNC Symbol;Acc:HGNC:24452]	979	0.4127511978149414	0.3090485	Yes	
row_18	KDELR3	KDEL endoplasmic reticulum protein retention receptor 3 [Source:HGNC Symbol;Acc:HGNC:6306]	1034	0.4039231538772583	0.3195618	Yes	
row_19	EIF4A3	eukaryotic translation initiation factor 4A3 [Source:HGNC Symbol;Acc:HGNC:18683]	1041	0.4030662477016449	0.33344775	Yes	
row_20	NABP1	nucleic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26232]	1046	0.40253037214279175	0.34745646	Yes	
row_21	HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	1057	0.4010089933872223	0.36098576	Yes	
row_22	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3288]	1069	0.3998982012271881	0.37440473	Yes	
row_23	NFYB	nuclear transcription factor Y subunit beta [Source:HGNC Symbol;Acc:HGNC:7805]	1243	0.37934911251068115	0.3756088	Yes	
row_24	DKC1	dyskerin pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:2890]	1309	0.3692532181739807	0.38411126	Yes	
row_25	KIF5B	kinesin family member 5B [Source:HGNC Symbol;Acc:HGNC:6324]	1355	0.36396393179893494	0.39384386	Yes	
row_26	EDEM1	ER degradation enhancing alpha-mannosidase like protein 1 [Source:HGNC Symbol;Acc:HGNC:18967]	1975	0.3021637499332428	0.36068738	No	
row_27	ATF6	activating transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:791]	2011	0.2988007664680481	0.36881524	No	
row_28	PDIA5	protein disulfide isomerase family A member 5 [Source:HGNC Symbol;Acc:HGNC:24811]	2242	0.27878886461257935	0.36240765	No	
row_29	SLC30A5	solute carrier family 30 member 5 [Source:HGNC Symbol;Acc:HGNC:19089]	2269	0.27703893184661865	0.37040094	No	
row_30	EEF2	eukaryotic translation elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3214]	2353	0.271316796541214	0.3741499	No	
row_31	SDAD1	SDA1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25537]	2825	0.24216625094413757	0.34935588	No	
row_32	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]	3182	0.2245495319366455	0.33208948	No	
row_33	EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3 [Source:HGNC Symbol;Acc:HGNC:3255]	3194	0.2239946573972702	0.33926278	No	
row_34	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1 [Source:HGNC Symbol;Acc:HGNC:13744]	3589	0.20945210754871368	0.31876627	No	
row_35	CNOT2	CCR4-NOT transcription complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:7878]	3721	0.20502804219722748	0.31675854	No	
row_36	NOLC1	nucleolar and coiled-body phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:15608]	3749	0.20416536927223206	0.32209343	No	
row_37	CEBPB	CCAAT enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]	3774	0.20349416136741638	0.3276172	No	
row_38	IMP3	IMP U3 small nucleolar ribonucleoprotein 3 [Source:HGNC Symbol;Acc:HGNC:14497]	4024	0.19621002674102783	0.31693056	No	
row_39	TUBB2A	tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]	4541	0.1786354035139084	0.2866904	No	
row_40	EIF4G1	eukaryotic translation initiation factor 4 gamma 1 [Source:HGNC Symbol;Acc:HGNC:3296]	4820	0.16842752695083618	0.27296132	No	
row_41	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	5088	0.15796825289726257	0.2596407	No	
row_42	ATP6V0D1	ATPase H+ transporting V0 subunit d1 [Source:HGNC Symbol;Acc:HGNC:13724]	5416	0.14315494894981384	0.24154031	No	
row_43	TATDN2	TatD DNase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28988]	5851	0.12223578244447708	0.2151112	No	
row_44	SHC1	SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]	5969	0.11585527658462524	0.21092984	No	
row_45	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]	6277	0.1004713624715805	0.19273186	No	
row_46	ARFGAP1	ADP ribosylation factor GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:15852]	6493	0.09000380337238312	0.18068472	No	
row_47	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	6572	0.08544819802045822	0.1781887	No	
row_48	FUS	FUS RNA binding protein [Source:HGNC Symbol;Acc:HGNC:4010]	7078	0.05804172530770302	0.14444663	No	
row_49	SRPRA	SRP receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:11307]	7366	0.04362686350941658	0.12564826	No	
row_50	DCP1A	decapping mRNA 1A [Source:HGNC Symbol;Acc:HGNC:18714]	7412	0.040774695575237274	0.12390565	No	
row_51	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	8086	0.003366220509633422	0.076311596	No	
row_52	CXXC1	CXXC finger protein 1 [Source:HGNC Symbol;Acc:HGNC:24343]	8137	4.507480771280825E-4	0.072782755	No	
row_53	EDC4	enhancer of mRNA decapping 4 [Source:HGNC Symbol;Acc:HGNC:17157]	8394	-0.013003029860556126	0.055094853	No	
row_54	SEC31A	SEC31 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:17052]	8581	-0.022974984720349312	0.042723794	No	
row_55	RPS14	ribosomal protein S14 [Source:HGNC Symbol;Acc:HGNC:10387]	8735	-0.03131329268217087	0.032988388	No	
row_56	DCTN1	dynactin subunit 1 [Source:HGNC Symbol;Acc:HGNC:2711]	8775	-0.03340218588709831	0.031409394	No	
row_57	PARN	poly(A)-specific ribonuclease [Source:HGNC Symbol;Acc:HGNC:8609]	8825	-0.03625224158167839	0.029222626	No	
row_58	EXOSC10	exosome component 10 [Source:HGNC Symbol;Acc:HGNC:9138]	9033	-0.047359708696603775	0.016228538	No	
row_59	NPM1	nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]	9560	-0.0753924548625946	-0.018386308	No	
row_60	SEC11A	SEC11 homolog A, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:17718]	9638	-0.0794125571846962	-0.021025732	No	
row_61	TSPYL2	TSPY like 2 [Source:HGNC Symbol;Acc:HGNC:24358]	9811	-0.08880606293678284	-0.030066831	No	
row_62	DNAJA4	DnaJ heat shock protein family (Hsp40) member A4 [Source:HGNC Symbol;Acc:HGNC:14885]	9877	-0.09265411645174026	-0.031385336	No	
row_63	SERP1	stress associated endoplasmic reticulum protein 1 [Source:HGNC Symbol;Acc:HGNC:10759]	9881	-0.09282594174146652	-0.028302139	No	
row_64	CKS1B	CDC28 protein kinase regulatory subunit 1B [Source:HGNC Symbol;Acc:HGNC:19083]	10071	-0.10380654782056808	-0.038015872	No	
row_65	NOP56	NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15911]	10305	-0.11827321350574493	-0.050335415	No	
row_66	BAG3	BAG cochaperone 3 [Source:HGNC Symbol;Acc:HGNC:939]	10411	-0.12532909214496613	-0.05332963	No	
row_67	YIF1A	Yip1 interacting factor homolog A, membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:16688]	10439	-0.1272498518228531	-0.0507257	No	
row_68	SPCS3	signal peptidase complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26212]	10759	-0.14793765544891357	-0.0680891	No	
row_69	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]	10916	-0.15877312421798706	-0.073511586	No	
row_70	NHP2	NHP2 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:14377]	10944	-0.16039559245109558	-0.06973078	No	
row_71	LSM1	LSM1 homolog, mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:20472]	10950	-0.16070984303951263	-0.06437908	No	
row_72	CNOT6	CCR4-NOT transcription complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:14099]	11070	-0.1684914082288742	-0.066833325	No	
row_73	EXOC2	exocyst complex component 2 [Source:HGNC Symbol;Acc:HGNC:24968]	11100	-0.1708390861749649	-0.062823504	No	
row_74	EXOSC2	exosome component 2 [Source:HGNC Symbol;Acc:HGNC:17097]	11485	-0.19820205867290497	-0.0830105	No	
row_75	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	11551	-0.2035423219203949	-0.080391794	No	
row_76	KHSRP	KH-type splicing regulatory protein [Source:HGNC Symbol;Acc:HGNC:6316]	11583	-0.2058475762605667	-0.07528075	No	
row_77	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	12043	-0.24667587876319885	-0.099063896	No	
row_78	HYOU1	hypoxia up-regulated 1 [Source:HGNC Symbol;Acc:HGNC:16931]	12118	-0.2526971399784088	-0.09533797	No	
row_79	SSR1	signal sequence receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:11323]	12339	-0.2729905843734741	-0.10124244	No	
row_80	HSP90B1	heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	12531	-0.29140621423721313	-0.10443703	No	
row_81	EIF4A2	eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:HGNC:3284]	12844	-0.3225497901439667	-0.115104355	No	
row_82	SRPRB	SRP receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:24085]	12904	-0.3300164043903351	-0.107569665	No	
row_83	LSM4	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17259]	13037	-0.34895455837249756	-0.10453802	No	
row_84	PAIP1	poly(A) binding protein interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16945]	13085	-0.35659846663475037	-0.09520874	No	
row_85	PREB	prolactin regulatory element binding [Source:HGNC Symbol;Acc:HGNC:9356]	13139	-0.3644539713859558	-0.08602593	No	
row_86	EXOSC9	exosome component 9 [Source:HGNC Symbol;Acc:HGNC:9137]	13145	-0.3649270236492157	-0.07342327	No	
row_87	RRP9	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16829]	13319	-0.38914281129837036	-0.07187147	No	
row_88	GEMIN4	gem nuclear organelle associated protein 4 [Source:HGNC Symbol;Acc:HGNC:15717]	13429	-0.40750253200531006	-0.06513039	No	
