NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC7A1	solute carrier family 7 member 1 [Source:HGNC Symbol;Acc:HGNC:11057]	9	0.8330894112586975	0.025199281	Yes	
row_1	ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	35	0.747144341468811	0.04659599	Yes	
row_2	MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]	129	0.6444153189659119	0.059974547	Yes	
row_3	ATP2B1	ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]	133	0.6414486169815063	0.07965632	Yes	
row_4	AMPH	amphiphysin [Source:HGNC Symbol;Acc:HGNC:471]	166	0.6222109794616699	0.09668073	Yes	
row_5	IRS1	insulin receptor substrate 1 [Source:HGNC Symbol;Acc:HGNC:6125]	172	0.6187499165534973	0.115516365	Yes	
row_6	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	244	0.5783593058586121	0.12840943	Yes	
row_7	PPARG	peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]	251	0.5762246251106262	0.14585505	Yes	
row_8	CDC42BPA	CDC42 binding protein kinase alpha [Source:HGNC Symbol;Acc:HGNC:1737]	261	0.5744848251342773	0.16303356	Yes	
row_9	FHL2	four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]	279	0.5645095109939575	0.1793342	Yes	
row_10	ATRN	attractin [Source:HGNC Symbol;Acc:HGNC:885]	290	0.5608184933662415	0.19601776	Yes	
row_11	RUNX1	RUNX family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10471]	338	0.544888436794281	0.2095781	Yes	
row_12	LAMC1	laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492]	394	0.5290334820747375	0.22207822	Yes	
row_13	SCAF8	SR-related CTD associated factor 8 [Source:HGNC Symbol;Acc:HGNC:20959]	448	0.5139699578285217	0.23425324	Yes	
row_14	DLG1	discs large MAGUK scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:2900]	543	0.4868278205394745	0.24267307	Yes	
row_15	NIPBL	NIPBL cohesin loading factor [Source:HGNC Symbol;Acc:HGNC:28862]	680	0.4595284163951874	0.24726175	Yes	
row_16	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	698	0.45559200644493103	0.26018423	Yes	
row_17	MIOS	meiosis regulator for oocyte development [Source:HGNC Symbol;Acc:HGNC:21905]	741	0.4478610157966614	0.2710905	Yes	
row_18	CDK13	cyclin dependent kinase 13 [Source:HGNC Symbol;Acc:HGNC:1733]	880	0.42460358142852783	0.27445385	Yes	
row_19	PRDM2	PR/SET domain 2 [Source:HGNC Symbol;Acc:HGNC:9347]	1013	0.4081885516643524	0.2777344	Yes	
row_20	ACVR2A	activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]	1036	0.4038250744342804	0.28869602	Yes	
row_21	VLDLR	very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]	1356	0.3638412058353424	0.27731326	Yes	
row_22	NR3C1	nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]	1363	0.36254358291625977	0.28813145	Yes	
row_23	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	1369	0.3617072105407715	0.29899472	Yes	
row_24	CAV1	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	1406	0.35768094658851624	0.30753034	Yes	
row_25	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	1455	0.35262903571128845	0.3150566	Yes	
row_26	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	1567	0.3392346203327179	0.3176907	Yes	
row_27	PLPP3	phospholipid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:9229]	1619	0.3339231610298157	0.32442358	Yes	
row_28	WDR37	WD repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:31406]	1717	0.32454514503479004	0.32759693	Yes	
row_29	PTGFR	prostaglandin F receptor [Source:HGNC Symbol;Acc:HGNC:9600]	1938	0.30460718274116516	0.32141176	Yes	
row_30	RASA2	RAS p21 protein activator 2 [Source:HGNC Symbol;Acc:HGNC:9872]	1970	0.30249297618865967	0.32859096	Yes	
row_31	PTEN	phosphatase and tensin homolog [Source:HGNC Symbol;Acc:HGNC:9588]	1998	0.2997630536556244	0.33596975	Yes	
row_32	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	2191	0.2814365029335022	0.33105552	Yes	
row_33	IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	2199	0.2809227406978607	0.33927113	Yes	
row_34	ZMIZ1	zinc finger MIZ-type containing 1 [Source:HGNC Symbol;Acc:HGNC:16493]	2204	0.2806570827960968	0.34769166	Yes	
row_35	MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18957]	2222	0.2798059284687042	0.35516202	Yes	
row_36	TGFBR2	transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773]	2271	0.27668142318725586	0.3603327	Yes	
row_37	ATP2C1	ATPase secretory pathway Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:13211]	2345	0.2717422544956207	0.36357373	Yes	
row_38	RBPMS	RNA binding protein, mRNA processing factor [Source:HGNC Symbol;Acc:HGNC:19097]	2387	0.2687356173992157	0.36899534	Yes	
row_39	MGLL	monoglyceride lipase [Source:HGNC Symbol;Acc:HGNC:17038]	2464	0.2631378769874573	0.37175632	Yes	
row_40	PTPRM	protein tyrosine phosphatase receptor type M [Source:HGNC Symbol;Acc:HGNC:9675]	2484	0.26155173778533936	0.3785184	Yes	
row_41	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A [Source:HGNC Symbol;Acc:HGNC:3091]	2500	0.26067689061164856	0.3855376	Yes	
row_42	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	2554	0.25781551003456116	0.38976786	Yes	
row_43	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	2605	0.25505727529525757	0.3941257	Yes	
row_44	SCN8A	sodium voltage-gated channel alpha subunit 8 [Source:HGNC Symbol;Acc:HGNC:10596]	2761	0.24482277035713196	0.39070505	Yes	
row_45	CDON	cell adhesion associated, oncogene regulated [Source:HGNC Symbol;Acc:HGNC:17104]	2855	0.2411675900220871	0.39157662	Yes	
row_46	SYNE1	spectrin repeat containing nuclear envelope protein 1 [Source:HGNC Symbol;Acc:HGNC:17089]	2865	0.2405693084001541	0.3983985	Yes	
row_47	INPP4B	inositol polyphosphate-4-phosphatase type II B [Source:HGNC Symbol;Acc:HGNC:6075]	2873	0.24005983769893646	0.4053467	Yes	
row_48	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	3205	0.22357286512851715	0.38876075	Yes	
row_49	NOTCH2	notch receptor 2 [Source:HGNC Symbol;Acc:HGNC:7882]	3244	0.22208797931671143	0.39294875	Yes	
row_50	NFIB	nuclear factor I B [Source:HGNC Symbol;Acc:HGNC:7785]	3279	0.22061626613140106	0.39737532	Yes	
row_51	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	3316	0.21920612454414368	0.40161604	Yes	
row_52	COL11A1	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]	3357	0.21760070323944092	0.40552276	Yes	
row_53	PTPN21	protein tyrosine phosphatase non-receptor type 21 [Source:HGNC Symbol;Acc:HGNC:9651]	3385	0.21659749746322632	0.4103221	Yes	
row_54	DLC1	DLC1 Rho GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:2897]	3387	0.21652188897132874	0.41696662	Yes	
row_55	PDLIM5	PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]	3403	0.21593031287193298	0.42259794	Yes	
row_56	MMP16	matrix metallopeptidase 16 [Source:HGNC Symbol;Acc:HGNC:7162]	3463	0.21415680646896362	0.42504773	Yes	
row_57	KALRN	kalirin RhoGEF kinase [Source:HGNC Symbol;Acc:HGNC:4814]	3791	0.20307858288288116	0.40811035	No	
row_58	KIT	KIT proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6342]	3882	0.20026716589927673	0.40792656	No	
row_59	FBLN5	fibulin 5 [Source:HGNC Symbol;Acc:HGNC:3602]	3888	0.20015324652194977	0.41377914	No	
row_60	NEK7	NIMA related kinase 7 [Source:HGNC Symbol;Acc:HGNC:13386]	4148	0.19218657910823822	0.4013359	No	
row_61	LTBP1	latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]	4322	0.1865701675415039	0.39482945	No	
row_62	ADGRL2	adhesion G protein-coupled receptor L2 [Source:HGNC Symbol;Acc:HGNC:18582]	4464	0.18168695271015167	0.3904454	No	
row_63	MAP1B	microtubule associated protein 1B [Source:HGNC Symbol;Acc:HGNC:6836]	4480	0.18108230829238892	0.3949959	No	
row_64	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	4501	0.18006497621536255	0.39915958	No	
row_65	CAP2	cyclase associated actin cytoskeleton regulatory protein 2 [Source:HGNC Symbol;Acc:HGNC:20039]	4578	0.1775309443473816	0.3992654	No	
row_66	ADORA2B	adenosine A2b receptor [Source:HGNC Symbol;Acc:HGNC:264]	4651	0.17521488666534424	0.39958364	No	
row_67	MRPS31	mitochondrial ribosomal protein S31 [Source:HGNC Symbol;Acc:HGNC:16632]	4657	0.1750190556049347	0.40465668	No	
row_68	COL5A2	collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]	4702	0.17290420830249786	0.40689284	No	
row_69	APBB2	amyloid beta precursor protein binding family B member 2 [Source:HGNC Symbol;Acc:HGNC:582]	4753	0.171089768409729	0.4086464	No	
row_70	ATRX	ATRX chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]	4782	0.16984625160694122	0.41192466	No	
