NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	46	0.7217183709144592	0.015350267	No	
row_1	PPARD	peroxisome proliferator activated receptor delta [Source:HGNC Symbol;Acc:HGNC:9235]	52	0.7128061056137085	0.0333887	No	
row_2	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	147	0.6326808929443359	0.043024942	No	
row_3	NQO1	NAD(P)H quinone dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:2874]	200	0.5986523628234863	0.05477239	No	
row_4	SLC1A5	solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943]	219	0.5880521535873413	0.06866622	No	
row_5	SLC6A6	solute carrier family 6 member 6 [Source:HGNC Symbol;Acc:HGNC:11052]	359	0.5392489433288574	0.07268856	No	
row_6	TPST1	tyrosylprotein sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:12020]	411	0.5229324698448181	0.082553186	No	
row_7	LEAP2	liver enriched antimicrobial peptide 2 [Source:HGNC Symbol;Acc:HGNC:29571]	697	0.4558112621307373	0.07403092	No	
row_8	NPC1	NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]	808	0.435822993516922	0.07744836	No	
row_9	PROS1	protein S [Source:HGNC Symbol;Acc:HGNC:9456]	827	0.4331681728363037	0.08734533	No	
row_10	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	908	0.4210842251777649	0.09251767	No	
row_11	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	920	0.4201081097126007	0.10257584	No	
row_12	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:HGNC:8604]	933	0.4186408519744873	0.11252498	No	
row_13	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	1126	0.39375928044319153	0.10902064	No	
row_14	PTGR1	prostaglandin reductase 1 [Source:HGNC Symbol;Acc:HGNC:18429]	1132	0.3930756747722626	0.11880828	No	
row_15	ARG2	arginase 2 [Source:HGNC Symbol;Acc:HGNC:664]	1153	0.3909299373626709	0.12747292	No	
row_16	TDO2	tryptophan 2,3-dioxygenase [Source:HGNC Symbol;Acc:HGNC:11708]	1256	0.3765186071395874	0.12992938	No	
row_17	ALDH2	aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]	1310	0.3692096173763275	0.13568477	No	
row_18	ABHD6	abhydrolase domain containing 6, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:21398]	1470	0.3509442210197449	0.13342433	No	
row_19	SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	1525	0.3436702489852905	0.13844949	No	
row_20	CSAD	cysteine sulfinic acid decarboxylase [Source:HGNC Symbol;Acc:HGNC:18966]	1526	0.3436262607574463	0.14731693	No	
row_21	ETFDH	electron transfer flavoprotein dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3483]	1602	0.3360171616077423	0.15064994	No	
row_22	ARG1	arginase 1 [Source:HGNC Symbol;Acc:HGNC:663]	1687	0.32709479331970215	0.15311213	No	
row_23	RAP1GAP	RAP1 GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:9858]	1887	0.30933070182800293	0.14693086	No	
row_24	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	1989	0.3012723922729492	0.14751673	No	
row_25	MAOA	monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]	2162	0.28378990292549133	0.14259806	No	
row_26	SMOX	spermine oxidase [Source:HGNC Symbol;Acc:HGNC:15862]	2210	0.28045186400413513	0.14649007	No	
row_27	PYCR1	pyrroline-5-carboxylate reductase 1 [Source:HGNC Symbol;Acc:HGNC:9721]	2267	0.2772741913795471	0.14965948	No	
row_28	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	2350	0.27143171429634094	0.15082762	No	
row_29	MAN1A1	mannosidase alpha class 1A member 1 [Source:HGNC Symbol;Acc:HGNC:6821]	2351	0.2714252769947052	0.15783188	No	
row_30	LPIN2	lipin 2 [Source:HGNC Symbol;Acc:HGNC:14450]	2357	0.27095821499824524	0.16446821	No	
row_31	AKR1C3	aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]	2367	0.2701839208602905	0.17079987	No	
row_32	DDC	dopa decarboxylase [Source:HGNC Symbol;Acc:HGNC:2719]	2512	0.2598012685775757	0.16725506	No	
row_33	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	2627	0.2539893090724945	0.16569549	No	
row_34	CYP1A1	cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]	2664	0.25148284435272217	0.16962285	No	
row_35	LONP1	lon peptidase 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:9479]	2949	0.23664888739585876	0.15551616	No	
row_36	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	2997	0.23418767750263214	0.1582143	No	
row_37	GCKR	glucokinase regulator [Source:HGNC Symbol;Acc:HGNC:4196]	3157	0.2258816659450531	0.15272656	No	
row_38	PINK1	PTEN induced kinase 1 [Source:HGNC Symbol;Acc:HGNC:14581]	3239	0.22218593955039978	0.15269504	No	
row_39	ACOX2	acyl-CoA oxidase 2 [Source:HGNC Symbol;Acc:HGNC:120]	3396	0.21629853546619415	0.14717354	No	
row_40	PDLIM5	PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]	3403	0.21593031287193298	0.15231867	No	
row_41	AOX1	aldehyde oxidase 1 [Source:HGNC Symbol;Acc:HGNC:553]	3457	0.21427668631076813	0.15407594	No	
row_42	CYP27A1	cytochrome P450 family 27 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2605]	3462	0.21418319642543793	0.15931834	No	
row_43	ARPP19	cAMP regulated phosphoprotein 19 [Source:HGNC Symbol;Acc:HGNC:16967]	3473	0.21387098729610443	0.16412565	No	
row_44	PTGES	prostaglandin E synthase [Source:HGNC Symbol;Acc:HGNC:9599]	3605	0.20912975072860718	0.1601985	No	
row_45	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	3758	0.20393197238445282	0.15464255	No	
row_46	SERTAD1	SERTA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17932]	4090	0.19388416409492493	0.1360871	No	
row_47	BCAR1	BCAR1 scaffold protein, Cas family member [Source:HGNC Symbol;Acc:HGNC:971]	4298	0.18707947432994843	0.12618169	No	
row_48	VNN1	vanin 1 [Source:HGNC Symbol;Acc:HGNC:12705]	4341	0.18587444722652435	0.12798895	No	
row_49	TYR	tyrosinase [Source:HGNC Symbol;Acc:HGNC:12442]	4424	0.18326251208782196	0.12688182	No	
row_50	XDH	xanthine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12805]	4938	0.16329163312911987	0.09458318	No	
row_51	NINJ1	ninjurin 1 [Source:HGNC Symbol;Acc:HGNC:7824]	5075	0.15837420523166656	0.08899039	No	
row_52	ABCC2	ATP binding cassette subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:53]	5185	0.15391325950622559	0.08520419	No	
row_53	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	5306	0.1487254500389099	0.0805012	No	
row_54	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	5598	0.13466745615005493	0.06326461	No	
row_55	ENPEP	glutamyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:3355]	5819	0.12381681799888611	0.0508014	No	
row_56	FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	5891	0.12062712013721466	0.048860863	No	
row_57	HNF4A	hepatocyte nuclear factor 4 alpha [Source:HGNC Symbol;Acc:HGNC:5024]	5958	0.11664310097694397	0.047173385	No	
row_58	F10	coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528]	6097	0.10933473706245422	0.040172756	No	
row_59	EPHA2	EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]	6206	0.1041506826877594	0.03517358	No	
row_60	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	6402	0.09419504553079605	0.023725325	No	
row_61	SLC22A1	solute carrier family 22 member 1 [Source:HGNC Symbol;Acc:HGNC:10963]	6556	0.08622630685567856	0.015060756	No	
row_62	COMT	catechol-O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:2228]	6773	0.07600115984678268	0.0016483375	No	
