NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_ADIPOGENESIS	200	172		
HALLMARK_ALLOGRAFT_REJECTION	200	156		
HALLMARK_ANDROGEN_RESPONSE	101	87		
HALLMARK_ANGIOGENESIS	36	22		
HALLMARK_APICAL_JUNCTION	200	157		
HALLMARK_APICAL_SURFACE	44	35		
HALLMARK_APOPTOSIS	161	136		
HALLMARK_BILE_ACID_METABOLISM	112	86		
HALLMARK_CHOLESTEROL_HOMEOSTASIS	74	62		
HALLMARK_COAGULATION	138	95		
HALLMARK_COMPLEMENT	200	174		
HALLMARK_DNA_REPAIR	150	131		
HALLMARK_E2F_TARGETS	200	176		
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	143		
HALLMARK_ESTROGEN_RESPONSE_EARLY	200	155		
HALLMARK_ESTROGEN_RESPONSE_LATE	200	148		
HALLMARK_FATTY_ACID_METABOLISM	158	126		
HALLMARK_G2M_CHECKPOINT	200	183		
HALLMARK_GLYCOLYSIS	200	159		
HALLMARK_HEDGEHOG_SIGNALING	36	29		
HALLMARK_HEME_METABOLISM	200	166		
HALLMARK_HYPOXIA	200	162		
HALLMARK_IL2_STAT5_SIGNALING	199	170		
HALLMARK_IL6_JAK_STAT3_SIGNALING	87	71		
HALLMARK_INFLAMMATORY_RESPONSE	200	164		
HALLMARK_INTERFERON_ALPHA_RESPONSE	97	82		
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	168		
HALLMARK_KRAS_SIGNALING_DN	200	114		
HALLMARK_KRAS_SIGNALING_UP	200	151		
HALLMARK_MITOTIC_SPINDLE	199	192		
HALLMARK_MTORC1_SIGNALING	200	176		
HALLMARK_MYC_TARGETS_V1	200	178		
HALLMARK_MYC_TARGETS_V2	58	48		
HALLMARK_MYOGENESIS	200	141		
HALLMARK_NOTCH_SIGNALING	32	29		
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	169		
HALLMARK_P53_PATHWAY	200	170		
HALLMARK_PANCREAS_BETA_CELLS	40	19		
HALLMARK_PEROXISOME	104	90		
HALLMARK_PI3K_AKT_MTOR_SIGNALING	105	93		
HALLMARK_PROTEIN_SECRETION	96	88		
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49	40		
HALLMARK_SPERMATOGENESIS	135	94		
HALLMARK_TGF_BETA_SIGNALING	54	49		
HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	176		
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113	96		
HALLMARK_UV_RESPONSE_DN	144	128		
HALLMARK_UV_RESPONSE_UP	158	126		
HALLMARK_WNT_BETA_CATENIN_SIGNALING	42	33		
HALLMARK_XENOBIOTIC_METABOLISM	200	151		
