NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	49	0.5017243	1.7758219	0.015503876	0.33286902	0.171	2571	tags=37%, list=18%, signal=45%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	95	0.40011945	1.6605123	0.007142857	0.3637619	0.31	3483	tags=42%, list=25%, signal=55%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	128	0.42504773	1.6593039	0.0113852	0.2437314	0.31	3463	tags=45%, list=24%, signal=58%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	93	0.37195668	1.5976374	0.030710172	0.2579252	0.393	2024	tags=28%, list=14%, signal=32%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	192	0.3700373	1.5654961	0.04660194	0.24924785	0.45	2197	tags=26%, list=15%, signal=30%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	87	0.3891985	1.5605816	0.038387716	0.21455525	0.459	2554	tags=36%, list=18%, signal=43%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	22	0.5035863	1.5010834	0.064150944	0.25642926	0.568	4738	tags=68%, list=33%, signal=102%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	96	0.39384386	1.4397854	0.12068965	0.30849573	0.68	1355	tags=27%, list=10%, signal=30%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	88	0.35190737	1.3202933	0.17933723	0.4990788	0.862	2175	tags=28%, list=15%, signal=33%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	176	0.3112674	1.3139292	0.15837938	0.4628372	0.87	2554	tags=29%, list=18%, signal=35%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	162	0.2676329	1.2968457	0.07829182	0.45331404	0.894	3332	tags=33%, list=23%, signal=43%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	176	0.42765126	1.265677	0.2778865	0.4818537	0.926	1852	tags=31%, list=13%, signal=35%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	164	0.3631228	1.2443744	0.254717	0.4896252	0.941	2376	tags=34%, list=17%, signal=40%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	143	0.34088424	1.2292489	0.18448275	0.4826359	0.945	3936	tags=41%, list=28%, signal=57%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	29	0.34380877	1.1964469	0.23166023	0.51012594	0.964	2431	tags=31%, list=17%, signal=37%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	71	0.3422335	1.1871649	0.27124774	0.49660578	0.966	2324	tags=34%, list=16%, signal=40%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	141	0.30077142	1.181396	0.25323474	0.47715887	0.967	3450	tags=33%, list=24%, signal=43%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	183	0.25082263	1.16904	0.23992322	0.4751611	0.971	2777	tags=22%, list=20%, signal=27%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	136	0.28912783	1.1482656	0.31166348	0.48392513	0.977	1932	tags=24%, list=14%, signal=28%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	40	0.3367265	1.1245868	0.33270678	0.49972945	0.988	853	tags=23%, list=6%, signal=24%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		170	0.25586233	1.1073354	0.3	0.502449	0.99	2627	tags=26%, list=18%, signal=32%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		29	0.34872693	1.1033751	0.36084452	0.4865531	0.99	3244	tags=41%, list=23%, signal=54%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		174	0.24779484	1.0817701	0.3546618	0.5005849	0.995	2397	tags=25%, list=17%, signal=30%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		159	0.22287099	1.0245866	0.41272727	0.5800465	0.999	2208	tags=23%, list=16%, signal=27%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		151	0.21959804	1.017639	0.40112993	0.56794673	0.999	2871	tags=29%, list=20%, signal=36%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		33	0.28773144	0.99310195	0.44705883	0.5877908	1.0	2651	tags=33%, list=19%, signal=41%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		126	0.20332532	0.96113753	0.5134168	0.62129384	1.0	1639	tags=15%, list=12%, signal=17%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		170	0.21276571	0.95650864	0.5190381	0.6071047	1.0	1482	tags=15%, list=10%, signal=16%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		62	0.25125706	0.9526452	0.49067163	0.59256905	1.0	2253	tags=26%, list=16%, signal=31%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		157	0.23052879	0.9430255	0.5387454	0.5895293	1.0	2093	tags=20%, list=15%, signal=24%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		35	0.27851146	0.92622524	0.56766254	0.5986052	1.0	2772	tags=31%, list=20%, signal=39%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		166	0.19551215	0.8882876	0.64365673	0.63940126	1.0	2765	tags=24%, list=19%, signal=30%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		94	0.18579043	0.7282875	0.8972973	0.84601766	1.0	4611	tags=37%, list=32%, signal=55%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		114	0.18486287	0.6358751	0.93996567	0.91612434	1.0	5111	tags=40%, list=36%, signal=63%	
