NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NLRP3	NLR family pyrin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:16400]	5	1.419240951538086	0.032544542	Yes	
row_1	CCL4	C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]	6	1.4138813018798828	0.06529386	Yes	
row_2	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	37	1.1118583679199219	0.08907396	Yes	
row_3	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	39	1.1078318357467651	0.11466857	Yes	
row_4	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	40	1.1072900295257568	0.14031641	Yes	
row_5	STAT4	signal transducer and activator of transcription 4 [Source:HGNC Symbol;Acc:HGNC:11365]	74	1.0106205940246582	0.1615542	Yes	
row_6	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	78	1.0019387006759644	0.18456447	Yes	
row_7	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	97	0.9541544914245605	0.20548114	Yes	
row_8	C2	complement C2 [Source:HGNC Symbol;Acc:HGNC:1248]	142	0.8738818168640137	0.22282806	Yes	
row_9	UBE2D1	ubiquitin conjugating enzyme E2 D1 [Source:HGNC Symbol;Acc:HGNC:12474]	153	0.8660193681716919	0.24222957	Yes	
row_10	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	172	0.8412966132164001	0.26053214	Yes	
row_11	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	183	0.830837070941925	0.27911875	Yes	
row_12	LCP2	lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]	265	0.7322389483451843	0.29075077	Yes	
row_13	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	283	0.7167807221412659	0.30623502	Yes	
row_14	DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3 [Source:HGNC Symbol;Acc:HGNC:3094]	296	0.7113779187202454	0.32192305	Yes	
row_15	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	310	0.702021062374115	0.33732852	Yes	
row_16	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	360	0.6633985042572021	0.34947118	Yes	
row_17	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	493	0.5929352641105652	0.3545215	Yes	
row_18	SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	558	0.5650713443756104	0.36339986	Yes	
row_19	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	574	0.559120237827301	0.37536383	Yes	
row_20	BCL10	BCL10 immune signaling adaptor [Source:HGNC Symbol;Acc:HGNC:989]	632	0.5407096147537231	0.38413838	Yes	
row_21	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	653	0.5304647088050842	0.39510965	Yes	
row_22	DEGS1	delta 4-desaturase, sphingolipid 1 [Source:HGNC Symbol;Acc:HGNC:13709]	748	0.49953722953796387	0.40049648	Yes	
row_23	IFNAR2	interferon alpha and beta receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:5433]	806	0.4802672863006592	0.40787104	Yes	
row_24	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	888	0.45383819937705994	0.41305456	Yes	
row_25	CD47	CD47 molecule [Source:HGNC Symbol;Acc:HGNC:1682]	924	0.44427913427352905	0.4210428	Yes	
row_26	ABI1	abl interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320]	1101	0.39695850014686584	0.41865924	Yes	
row_27	CXCL13	C-X-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10639]	1270	0.36061760783195496	0.41596022	Yes	
row_28	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	1351	0.34558555483818054	0.4187021	Yes	
row_29	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	1370	0.3404088020324707	0.42540276	Yes	
row_30	HDAC9	histone deacetylase 9 [Source:HGNC Symbol;Acc:HGNC:14065]	1386	0.33741191029548645	0.43223137	Yes	
row_31	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	1394	0.33541518449783325	0.43953997	Yes	
row_32	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	1547	0.31300491094589233	0.43679067	No	
row_33	NCF4	neutrophil cytosolic factor 4 [Source:HGNC Symbol;Acc:HGNC:7662]	1881	0.2715471684932709	0.421174	No	
row_34	PRKCG	protein kinase C gamma [Source:HGNC Symbol;Acc:HGNC:9402]	1897	0.269698828458786	0.4264342	No	
row_35	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	1903	0.26933515071868896	0.43234378	No	
row_36	STAB1	stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]	2088	0.2514422535896301	0.4260634	No	
row_37	CCL22	C-C motif chemokine ligand 22 [Source:HGNC Symbol;Acc:HGNC:10621]	2139	0.24743235111236572	0.42850533	No	
row_38	CD80	CD80 molecule [Source:HGNC Symbol;Acc:HGNC:1700]	2312	0.23283113539218903	0.4225833	No	
