NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	52	1.0609015226364136	0.038690828	Yes	
row_1	C2	complement C2 [Source:HGNC Symbol;Acc:HGNC:1248]	142	0.8738818168640137	0.06753535	Yes	
row_2	F8	coagulation factor VIII [Source:HGNC Symbol;Acc:HGNC:3546]	149	0.8701484799385071	0.101671495	Yes	
row_3	GNG12	G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663]	201	0.8059093952178955	0.13030922	Yes	
row_4	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	227	0.7718035578727722	0.15929757	Yes	
row_5	MAFF	MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]	237	0.7616812586784363	0.1889329	Yes	
row_6	MMP7	matrix metallopeptidase 7 [Source:HGNC Symbol;Acc:HGNC:7174]	252	0.7438657879829407	0.21753354	Yes	
row_7	DUSP6	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]	355	0.667549192905426	0.23733833	Yes	
row_8	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	449	0.6150498986244202	0.2556497	Yes	
row_9	PLEK	pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]	538	0.5743975043296814	0.27267554	Yes	
row_10	PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	605	0.5470060110092163	0.29005635	Yes	
row_11	HPN	hepsin [Source:HGNC Symbol;Acc:HGNC:5155]	635	0.5398736000061035	0.30957907	Yes	
row_12	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	687	0.5215464234352112	0.32693264	Yes	
row_13	PRSS23	serine protease 23 [Source:HGNC Symbol;Acc:HGNC:14370]	873	0.46050795912742615	0.3330818	Yes	
row_14	FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	1169	0.38176366686820984	0.3288969	Yes	
row_15	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	1310	0.35370147228240967	0.33375704	Yes	
row_16	F10	coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528]	1416	0.33181238174438477	0.34004244	Yes	
row_17	SERPINA1	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	1474	0.3221118748188019	0.3490888	Yes	
row_18	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	1622	0.30248942971229553	0.35145792	Yes	
