NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	0	1.5945982933044434	0.034433138	Yes	
row_1	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	52	1.0609015226364136	0.053983256	Yes	
row_2	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	78	1.0019387006759644	0.073972374	Yes	
row_3	SCG3	secretogranin III [Source:HGNC Symbol;Acc:HGNC:13707]	122	0.9085257649421692	0.09075899	Yes	
row_4	C2	complement C2 [Source:HGNC Symbol;Acc:HGNC:1248]	142	0.8738818168640137	0.108378015	Yes	
row_5	F8	coagulation factor VIII [Source:HGNC Symbol;Acc:HGNC:3546]	149	0.8701484799385071	0.12677254	Yes	
row_6	PLA2G4A	phospholipase A2 group IVA [Source:HGNC Symbol;Acc:HGNC:9035]	212	0.7890312075614929	0.13972759	Yes	
row_7	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	227	0.7718035578727722	0.15547165	Yes	
row_8	DUSP5	dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]	236	0.7618714570999146	0.17139637	Yes	
row_9	MAFF	MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]	237	0.7616812586784363	0.18784383	Yes	
row_10	CD59	CD59 molecule (CD59 blood group) [Source:HGNC Symbol;Acc:HGNC:1689]	264	0.7343816757202148	0.20198958	Yes	
row_11	LCP2	lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]	265	0.7322389483451843	0.21780126	Yes	
row_12	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	273	0.72670978307724	0.23303257	Yes	
row_13	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	281	0.7188384532928467	0.2480939	Yes	
row_14	DUSP6	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]	355	0.667549192905426	0.25770134	Yes	
row_15	ANXA5	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	361	0.6623432636260986	0.27167442	Yes	
row_16	CD55	CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]	434	0.6244787573814392	0.28041768	Yes	
row_17	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	449	0.6150498986244202	0.29277685	Yes	
row_18	RASGRP1	RAS guanyl releasing protein 1 [Source:HGNC Symbol;Acc:HGNC:9878]	487	0.5946791172027588	0.3031815	Yes	
row_19	PLEK	pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]	538	0.5743975043296814	0.3122921	Yes	
row_20	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	580	0.5556721091270447	0.32159105	Yes	
row_21	F7	coagulation factor VII [Source:HGNC Symbol;Acc:HGNC:3544]	669	0.5278719067573547	0.3271945	Yes	
row_22	EHD1	EH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3242]	731	0.5071901679039001	0.33412945	Yes	
row_23	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	743	0.5002180933952332	0.34420657	Yes	
row_24	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	746	0.499750554561615	0.3548663	Yes	
row_25	GNB4	G protein subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:20731]	807	0.4799327254295349	0.3612785	Yes	
row_26	GCA	grancalcin [Source:HGNC Symbol;Acc:HGNC:15990]	879	0.45793408155441284	0.3664913	Yes	
row_27	CPM	carboxypeptidase M [Source:HGNC Symbol;Acc:HGNC:2311]	893	0.45300963521003723	0.3754173	Yes	
row_28	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	955	0.43458640575408936	0.38078445	Yes	
row_29	GNG2	G protein subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:4404]	972	0.42892009019851685	0.38899273	Yes	
row_30	ZFPM2	zinc finger protein, FOG family member 2 [Source:HGNC Symbol;Acc:HGNC:16700]	1083	0.40122300386428833	0.3904126	Yes	
row_31	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	1086	0.40087810158729553	0.39893728	Yes	
row_32	CASP4	caspase 4 [Source:HGNC Symbol;Acc:HGNC:1505]	1124	0.392691433429718	0.4049803	Yes	
row_33	ADRA2B	adrenoceptor alpha 2B [Source:HGNC Symbol;Acc:HGNC:282]	1201	0.37420016527175903	0.4080557	Yes	
row_34	PHEX	phosphate regulating endopeptidase X-linked [Source:HGNC Symbol;Acc:HGNC:8918]	1206	0.37351903319358826	0.4158579	Yes	
row_35	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	1310	0.35370147228240967	0.41671258	Yes	
