NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9968]	34	1.136515736579895	0.036467798	Yes	
row_1	GSDME	gasdermin E [Source:HGNC Symbol;Acc:HGNC:2810]	51	1.0697084665298462	0.07184251	Yes	
row_2	PDE4B	phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]	71	1.0148602724075317	0.10515259	Yes	
row_3	TAF1C	TATA-box binding protein associated factor, RNA polymerase I subunit C [Source:HGNC Symbol;Acc:HGNC:11534]	91	0.9650655388832092	0.13676709	Yes	
row_4	EIF1B	eukaryotic translation initiation factor 1B [Source:HGNC Symbol;Acc:HGNC:30792]	155	0.8647505640983582	0.16207686	Yes	
row_5	GTF2B	general transcription factor IIB [Source:HGNC Symbol;Acc:HGNC:4648]	651	0.5319797396659851	0.14769207	Yes	
row_6	CMPK2	cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]	658	0.5297719240188599	0.16533767	Yes	
row_7	NT5C3A	5'-nucleotidase, cytosolic IIIA [Source:HGNC Symbol;Acc:HGNC:17820]	775	0.4911347031593323	0.17444551	Yes	
row_8	COX17	cytochrome c oxidase copper chaperone COX17 [Source:HGNC Symbol;Acc:HGNC:2264]	891	0.4534067213535309	0.1823343	Yes	
row_9	SDCBP	syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662]	1130	0.39128297567367554	0.18003206	Yes	
row_10	POLD1	DNA polymerase delta 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9175]	1144	0.3875601291656494	0.19237556	Yes	
row_11	GMPR2	guanosine monophosphate reductase 2 [Source:HGNC Symbol;Acc:HGNC:4377]	1325	0.3510012924671173	0.19250968	Yes	
row_12	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	1479	0.3209107518196106	0.19339187	Yes	
row_13	NELFE	negative elongation factor complex member E [Source:HGNC Symbol;Acc:HGNC:13974]	1630	0.301202654838562	0.19379994	Yes	
row_14	LIG1	DNA ligase 1 [Source:HGNC Symbol;Acc:HGNC:6598]	1726	0.28867077827453613	0.19739234	Yes	
row_15	USP11	ubiquitin specific peptidase 11 [Source:HGNC Symbol;Acc:HGNC:12609]	1803	0.2801368832588196	0.20194161	Yes	
