NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	0	1.5945982933044434	0.0454349	Yes	
row_1	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	78	1.0019387006759644	0.06892035	Yes	
row_2	LAMA3	laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]	107	0.9266394972801208	0.09348208	Yes	
row_3	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	131	0.8936907052993774	0.11743376	Yes	
row_4	CXCL8	C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]	137	0.8826417326927185	0.14225411	Yes	
row_5	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	143	0.8736187815666199	0.16681738	Yes	
row_6	CD59	CD59 molecule (CD59 blood group) [Source:HGNC Symbol;Acc:HGNC:1689]	264	0.7343816757202148	0.17985207	Yes	
row_7	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	281	0.7188384532928467	0.19928193	Yes	
row_8	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	310	0.702021062374115	0.2174436	Yes	
row_9	GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	443	0.6162541508674622	0.22632346	Yes	
row_10	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	580	0.5556721091270447	0.23321415	Yes	
row_11	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	653	0.5304647088050842	0.24359465	Yes	
row_12	BASP1	brain abundant membrane attached signal protein 1 [Source:HGNC Symbol;Acc:HGNC:957]	672	0.5274247527122498	0.25743905	Yes	
row_13	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	687	0.5215464234352112	0.27137896	Yes	
row_14	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	714	0.5131780505180359	0.28429145	Yes	
row_15	FGF2	fibroblast growth factor 2 [Source:HGNC Symbol;Acc:HGNC:3676]	761	0.4951876103878021	0.2953763	Yes	
row_16	SNTB1	syntrophin beta 1 [Source:HGNC Symbol;Acc:HGNC:11168]	783	0.48807698488235474	0.3079023	Yes	
row_17	FAP	fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]	880	0.45769399404525757	0.31463134	Yes	
row_18	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	888	0.45383819937705994	0.3271023	Yes	
row_19	MFAP5	microfibril associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29673]	1030	0.416774183511734	0.32970664	Yes	
row_20	TNFRSF11B	TNF receptor superfamily member 11b [Source:HGNC Symbol;Acc:HGNC:11909]	1051	0.40915587544441223	0.34004968	Yes	
row_21	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	1098	0.3980640470981598	0.3483672	Yes	
row_22	FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	1169	0.38176366686820984	0.35464227	Yes	
row_23	VEGFC	vascular endothelial growth factor C [Source:HGNC Symbol;Acc:HGNC:12682]	1191	0.37729722261428833	0.36401185	Yes	
row_24	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	1208	0.3729014992713928	0.37358493	Yes	
row_25	VIM	vimentin [Source:HGNC Symbol;Acc:HGNC:12692]	1210	0.3725665807723999	0.3841347	Yes	
row_26	MYLK	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]	1218	0.37120917439460754	0.39425132	Yes	
row_27	TGFBR3	transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]	1281	0.35771283507347107	0.4003671	Yes	
row_28	FSTL3	follistatin like 3 [Source:HGNC Symbol;Acc:HGNC:3973]	1349	0.3462751805782318	0.40582824	Yes	
row_29	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	1374	0.33977943658828735	0.41393155	Yes	
row_30	NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	1588	0.3073982894420624	0.4086854	Yes	
row_31	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	1592	0.3068504333496094	0.41723123	Yes	
row_32	FERMT2	FERM domain containing kindlin 2 [Source:HGNC Symbol;Acc:HGNC:15767]	1618	0.30284979939460754	0.42421657	Yes	
row_33	GLIPR1	GLI pathogenesis related 1 [Source:HGNC Symbol;Acc:HGNC:17001]	1712	0.2897951006889343	0.4263589	Yes	
row_34	SFRP4	secreted frizzled related protein 4 [Source:HGNC Symbol;Acc:HGNC:10778]	1914	0.26767390966415405	0.42076987	Yes	
row_35	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	1957	0.2638690173625946	0.42552677	Yes	
row_36	CALD1	caldesmon 1 [Source:HGNC Symbol;Acc:HGNC:1441]	1970	0.26211920380592346	0.43220633	Yes	
