NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	54	1.060161828994751	0.027229963	Yes	
row_1	SNX10	sorting nexin 10 [Source:HGNC Symbol;Acc:HGNC:14974]	189	0.8234911561012268	0.042325653	Yes	
row_2	SIAH2	siah E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:10858]	309	0.7025540471076965	0.05489661	Yes	
row_3	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	464	0.60671466588974	0.062382516	Yes	
row_4	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	471	0.6041398644447327	0.07952922	Yes	
row_5	PLAC1	placenta enriched 1 [Source:HGNC Symbol;Acc:HGNC:9044]	492	0.5930753946304321	0.095433734	Yes	
row_6	BTG3	BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132]	527	0.5776495933532715	0.109969415	Yes	
row_7	KCNK5	potassium two pore domain channel subfamily K member 5 [Source:HGNC Symbol;Acc:HGNC:6280]	601	0.5483454465866089	0.121088795	Yes	
row_8	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	714	0.5131780505180359	0.12862164	Yes	
row_9	RBBP8	RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]	793	0.4854714870452881	0.13758655	Yes	
row_10	PRSS23	serine protease 23 [Source:HGNC Symbol;Acc:HGNC:14370]	873	0.46050795912742615	0.14576085	Yes	
row_11	PDCD4	programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763]	881	0.45756712555885315	0.158586	Yes	
row_12	FOXC1	forkhead box C1 [Source:HGNC Symbol;Acc:HGNC:3800]	886	0.45497453212738037	0.1715332	Yes	
row_13	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	894	0.4529317319393158	0.18422374	Yes	
row_14	RET	ret proto-oncogene [Source:HGNC Symbol;Acc:HGNC:9967]	899	0.45174747705459595	0.19707724	Yes	
row_15	SCUBE2	signal peptide, CUB domain and EGF like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30425]	957	0.43432900309562683	0.20593862	Yes	
row_16	CKB	creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991]	1070	0.40484532713890076	0.21032597	Yes	
row_17	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	1086	0.40087810158729553	0.22097889	Yes	
row_18	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	1165	0.38241612911224365	0.22695155	Yes	
row_19	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	1208	0.3729014992713928	0.23501606	Yes	
row_20	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	1343	0.34732872247695923	0.23628624	Yes	
row_21	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	1374	0.33977943658828735	0.24417841	Yes	
row_22	BAG1	BAG cochaperone 1 [Source:HGNC Symbol;Acc:HGNC:937]	1378	0.3393207788467407	0.25383335	Yes	
row_23	KLF4	KLF transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	1383	0.3382970988750458	0.2633928	Yes	
row_24	ELOVL5	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]	1414	0.33203697204589844	0.27106017	Yes	
row_25	PTGER3	prostaglandin E receptor 3 [Source:HGNC Symbol;Acc:HGNC:9595]	1430	0.32922986149787903	0.27963275	Yes	
row_26	EMP2	epithelial membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:3334]	1450	0.3256833255290985	0.28783923	Yes	
row_27	SERPINA1	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	1474	0.3221118748188019	0.29567888	Yes	
row_28	JAK1	Janus kinase 1 [Source:HGNC Symbol;Acc:HGNC:6190]	1612	0.30358943343162537	0.29548174	Yes	
row_29	OPN3	opsin 3 [Source:HGNC Symbol;Acc:HGNC:14007]	1708	0.2902006506919861	0.29765862	Yes	
row_30	TSPAN13	tetraspanin 13 [Source:HGNC Symbol;Acc:HGNC:21643]	1793	0.28064772486686707	0.30028173	Yes	
row_31	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	1817	0.2786625921726227	0.30685982	Yes	
row_32	PTGES	prostaglandin E synthase [Source:HGNC Symbol;Acc:HGNC:9599]	1850	0.27452054619789124	0.31272563	Yes	
row_33	BATF	basic leucine zipper ATF-like transcription factor [Source:HGNC Symbol;Acc:HGNC:958]	1854	0.2739255130290985	0.32048178	Yes	
row_34	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	1903	0.26933515071868896	0.32514453	Yes	
row_35	MYOF	myoferlin [Source:HGNC Symbol;Acc:HGNC:3656]	2009	0.2583589553833008	0.3257391	Yes	
row_36	ADD3	adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]	2095	0.2509879171848297	0.32743523	Yes	
row_37	PERP	p53 apoptosis effector related to PMP22 [Source:HGNC Symbol;Acc:HGNC:17637]	2153	0.2465747445821762	0.3308451	Yes	
row_38	TPD52L1	TPD52 like 1 [Source:HGNC Symbol;Acc:HGNC:12006]	2157	0.24623185396194458	0.33779716	Yes	
row_39	HPRT1	hypoxanthine phosphoribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5157]	2394	0.22545483708381653	0.32881907	Yes	
row_40	CAV1	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	2430	0.22308243811130524	0.33299398	Yes	
row_41	LLGL2	LLGL scribble cell polarity complex component 2 [Source:HGNC Symbol;Acc:HGNC:6629]	2524	0.2163781225681305	0.33315897	Yes	
row_42	CA12	carbonic anhydrase 12 [Source:HGNC Symbol;Acc:HGNC:1371]	2585	0.2116509974002838	0.3353575	Yes	
row_43	SLC16A1	solute carrier family 16 member 1 [Source:HGNC Symbol;Acc:HGNC:10922]	2680	0.20626652240753174	0.3351631	Yes	
row_44	DUSP2	dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]	2731	0.20276616513729095	0.33776143	Yes	
row_45	MOCS2	molybdenum cofactor synthesis 2 [Source:HGNC Symbol;Acc:HGNC:7193]	2853	0.19573530554771423	0.3354852	Yes	
row_46	SLC24A3	solute carrier family 24 member 3 [Source:HGNC Symbol;Acc:HGNC:10977]	2871	0.19487392902374268	0.34002516	Yes	
row_47	MYB	MYB proto-oncogene, transcription factor [Source:HGNC Symbol;Acc:HGNC:7545]	2989	0.18834909796714783	0.33779755	No	
row_48	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12 [Source:HGNC Symbol;Acc:HGNC:28908]	3230	0.17625212669372559	0.3271277	No	
