NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NFKBIZ	NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]	8	1.3613487482070923	0.030242113	Yes	
row_1	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	20	1.211564302444458	0.05690128	Yes	
row_2	TRAF1	TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]	22	1.1969542503356934	0.08388873	Yes	
row_3	RHOH	ras homolog family member H [Source:HGNC Symbol;Acc:HGNC:686]	28	1.1742236614227295	0.11009903	Yes	
row_4	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	97	0.9541544914245605	0.12718682	Yes	
row_5	KLF6	KLF transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]	103	0.9341185092926025	0.14797032	Yes	
row_6	PTGER2	prostaglandin E receptor 2 [Source:HGNC Symbol;Acc:HGNC:9594]	202	0.8055535554885864	0.15972395	Yes	
row_7	CD83	CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]	231	0.7669779658317566	0.17521523	Yes	
row_8	MAFF	MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]	237	0.7616812586784363	0.19210133	Yes	
row_9	DENND5A	DENN domain containing 5A [Source:HGNC Symbol;Acc:HGNC:19344]	243	0.7568032741546631	0.20887719	Yes	
row_10	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	273	0.72670978307724	0.22339247	Yes	
row_11	SNX9	sorting nexin 9 [Source:HGNC Symbol;Acc:HGNC:14973]	285	0.7150967717170715	0.23883058	Yes	
row_12	DRC1	dynein regulatory complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24245]	326	0.6914950609207153	0.2518256	Yes	
row_13	P2RX4	purinergic receptor P2X 4 [Source:HGNC Symbol;Acc:HGNC:8535]	435	0.6234157085418701	0.2588041	Yes	
row_14	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	442	0.6175823211669922	0.27236748	Yes	
row_15	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	464	0.60671466588974	0.28469744	Yes	
row_16	MAP3K8	mitogen-activated protein kinase kinase kinase 8 [Source:HGNC Symbol;Acc:HGNC:6860]	466	0.6054489612579346	0.29831582	Yes	
row_17	IL10RA	interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]	573	0.5596879124641418	0.30398566	Yes	
row_18	CD48	CD48 molecule [Source:HGNC Symbol;Acc:HGNC:1683]	639	0.5380285382270813	0.3118658	Yes	
row_19	PRKCH	protein kinase C eta [Source:HGNC Symbol;Acc:HGNC:9403]	674	0.5270201563835144	0.3215385	Yes	
row_20	CSF2	colony stimulating factor 2 [Source:HGNC Symbol;Acc:HGNC:2434]	677	0.5256510972976685	0.33328745	Yes	
row_21	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	714	0.5131780505180359	0.3425156	Yes	
row_22	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	747	0.4996567964553833	0.35170153	Yes	
row_23	TTC39B	tetratricopeptide repeat domain 39B [Source:HGNC Symbol;Acc:HGNC:23704]	786	0.4872339963912964	0.36021158	Yes	
row_24	DCPS	decapping enzyme, scavenger [Source:HGNC Symbol;Acc:HGNC:29812]	857	0.4639001488685608	0.36608705	Yes	
row_25	PLIN2	perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]	1019	0.4190792143344879	0.36495712	Yes	
row_26	BATF3	basic leucine zipper ATF-like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:28915]	1020	0.4183557331562042	0.3744127	Yes	
row_27	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10864]	1025	0.41800203919410706	0.3835969	Yes	
row_28	LRIG1	leucine rich repeats and immunoglobulin like domains 1 [Source:HGNC Symbol;Acc:HGNC:17360]	1081	0.40183454751968384	0.3890573	Yes	
row_29	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	1086	0.40087810158729553	0.39785448	Yes	
row_30	PLAGL1	PLAG1 like zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:9046]	1340	0.3478652238845825	0.38905677	Yes	
row_31	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	1351	0.34558555483818054	0.39620912	Yes	
row_32	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	1391	0.3361302614212036	0.4012381	Yes	
row_33	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	1394	0.33541518449783325	0.40868738	Yes	
row_34	TLR7	toll like receptor 7 [Source:HGNC Symbol;Acc:HGNC:15631]	1404	0.3332776427268982	0.41562742	Yes	
row_35	PLPP1	phospholipid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:9228]	1462	0.3243650794029236	0.4192052	Yes	
row_36	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	1479	0.3209107518196106	0.42540473	Yes	
row_37	ETFBKMT	electron transfer flavoprotein subunit beta lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:28739]	1481	0.3207893371582031	0.4325893	Yes	
row_38	PHLDA1	pleckstrin homology like domain family A member 1 [Source:HGNC Symbol;Acc:HGNC:8933]	1524	0.3163689076900482	0.4369741	Yes	
row_39	CYFIP1	cytoplasmic FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13759]	1568	0.3102380037307739	0.44115448	Yes	
row_40	NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	1588	0.3073982894420624	0.44685107	Yes	
row_41	PHTF2	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]	1591	0.30710935592651367	0.4536606	Yes	
row_42	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	1817	0.2786625921726227	0.4451426	Yes	
row_43	BATF	basic leucine zipper ATF-like transcription factor [Source:HGNC Symbol;Acc:HGNC:958]	1854	0.2739255130290985	0.4489632	Yes	
row_44	GSTO1	glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]	1888	0.2709515690803528	0.45291412	Yes	
row_45	HUWE1	HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:30892]	1926	0.26624950766563416	0.45649537	Yes	
row_46	GBP4	guanylate binding protein 4 [Source:HGNC Symbol;Acc:HGNC:20480]	2022	0.2574287950992584	0.45605797	Yes	
row_47	PRNP	prion protein [Source:HGNC Symbol;Acc:HGNC:9449]	2195	0.24366289377212524	0.45023897	Yes	
row_48	ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]	2244	0.23904523253440857	0.452481	Yes	
row_49	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	2280	0.23548175394535065	0.45549858	Yes	
row_50	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	2362	0.22862470149993896	0.45533204	Yes	
row_51	TNFRSF18	TNF receptor superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11914]	2370	0.22756855189800262	0.46001455	Yes	
row_52	TWSG1	twisted gastrulation BMP signaling modulator 1 [Source:HGNC Symbol;Acc:HGNC:12429]	2411	0.22429566085338593	0.46245003	Yes	
row_53	MYO1E	myosin IE [Source:HGNC Symbol;Acc:HGNC:7599]	2429	0.22316761314868927	0.46637455	Yes	
row_54	SMPDL3A	sphingomyelin phosphodiesterase acid like 3A [Source:HGNC Symbol;Acc:HGNC:17389]	2512	0.21745240688323975	0.46588966	Yes	
row_55	PDCD2L	programmed cell death 2 like [Source:HGNC Symbol;Acc:HGNC:28194]	2757	0.20109723508358002	0.45436737	Yes	
row_56	SH3BGRL2	SH3 domain binding glutamate rich protein like 2 [Source:HGNC Symbol;Acc:HGNC:15567]	2774	0.20027530193328857	0.45784035	Yes	
row_57	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	2781	0.20003052055835724	0.4619663	Yes	
row_58	IKZF2	IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177]	2801	0.1992834210395813	0.46521932	Yes	
row_59	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	2889	0.19405409693717957	0.46387634	Yes	
row_60	IGF2R	insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]	2937	0.19127944111824036	0.4651046	Yes	
row_61	TNFSF11	TNF superfamily member 11 [Source:HGNC Symbol;Acc:HGNC:11926]	2944	0.19090281426906586	0.46902427	Yes	
row_62	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	3094	0.18304017186164856	0.46334964	No	
row_63	IFITM3	interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414]	3379	0.17023655772209167	0.44849586	No	
row_64	ITIH5	inter-alpha-trypsin inhibitor heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:21449]	3402	0.16970987617969513	0.45088288	No	
row_65	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	3443	0.16864463686943054	0.45206055	No	
row_66	ADAM19	ADAM metallopeptidase domain 19 [Source:HGNC Symbol;Acc:HGNC:197]	3521	0.16614624857902527	0.4507453	No	
row_67	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	3632	0.16186854243278503	0.4471603	No	
row_68	ICOS	inducible T cell costimulator [Source:HGNC Symbol;Acc:HGNC:5351]	3639	0.16153886914253235	0.45041627	No	
row_69	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:3356]	3871	0.15393295884132385	0.43868405	No	
row_70	RORA	RAR related orphan receptor A [Source:HGNC Symbol;Acc:HGNC:10258]	4036	0.14919348061084747	0.43125668	No	
row_71	GALM	galactose mutarotase [Source:HGNC Symbol;Acc:HGNC:24063]	4171	0.1451079547405243	0.42571247	No	
row_72	RGS16	regulator of G protein signaling 16 [Source:HGNC Symbol;Acc:HGNC:9997]	4222	0.14394468069076538	0.42567337	No	
row_73	IL2RB	interleukin 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6009]	4223	0.143936425447464	0.4289266	No	
row_74	WLS	Wnt ligand secretion mediator [Source:HGNC Symbol;Acc:HGNC:30238]	4382	0.1388879418373108	0.42166138	No	
row_75	PTCH1	patched 1 [Source:HGNC Symbol;Acc:HGNC:9585]	4426	0.1378287523984909	0.421945	No	
row_76	CCND3	cyclin D3 [Source:HGNC Symbol;Acc:HGNC:1585]	4604	0.13270795345306396	0.41328895	No	
row_77	P4HA1	prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]	4696	0.13013210892677307	0.41023782	No	
row_78	BMPR2	bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]	4729	0.12947070598602295	0.41105688	No	
row_79	LTB	lymphotoxin beta [Source:HGNC Symbol;Acc:HGNC:6711]	5164	0.11750790476799011	0.3851338	No	
row_80	SYT11	synaptotagmin 11 [Source:HGNC Symbol;Acc:HGNC:19239]	5228	0.11593406647443771	0.38360557	No	
row_81	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	5234	0.11573877185583115	0.38589224	No	
row_82	MAPKAPK2	MAPK activated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:6887]	5264	0.11499324440956116	0.38658163	No	
row_83	SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]	5266	0.11498207598924637	0.3891146	No	
row_84	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	5348	0.1124592050909996	0.3863225	No	
row_85	AHNAK	AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]	5403	0.11061578243970871	0.3852667	No	
row_86	EOMES	eomesodermin [Source:HGNC Symbol;Acc:HGNC:3372]	5668	0.10251303017139435	0.37019926	No	
row_87	CTLA4	cytotoxic T-lymphocyte associated protein 4 [Source:HGNC Symbol;Acc:HGNC:2505]	5774	0.09957896173000336	0.36553565	No	
row_88	RABGAP1L	RAB GTPase activating protein 1 like [Source:HGNC Symbol;Acc:HGNC:24663]	5895	0.09608791768550873	0.3598054	No	
row_89	CTSZ	cathepsin Z [Source:HGNC Symbol;Acc:HGNC:2547]	5921	0.09550680220127106	0.36031777	No	
row_90	ECM1	extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3153]	5961	0.09429354220628738	0.3598808	No	
row_91	SPRED2	sprouty related EVH1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17722]	5994	0.09328164160251617	0.35988194	No	
row_92	IRF4	interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119]	6003	0.09283891320228577	0.36145347	No	
row_93	MAP6	microtubule associated protein 6 [Source:HGNC Symbol;Acc:HGNC:6868]	6112	0.08960029482841492	0.35636678	No	
row_94	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	6348	0.08257222175598145	0.34275827	No	
row_95	GPR83	G protein-coupled receptor 83 [Source:HGNC Symbol;Acc:HGNC:4523]	6618	0.07433120161294937	0.32672462	No	
row_96	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	6856	0.06719138473272324	0.3126368	No	
row_97	COL6A1	collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]	6937	0.06495588272809982	0.30883688	No	
row_98	AHCY	adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343]	6991	0.06335999816656113	0.30677888	No	
row_99	SELP	selectin P [Source:HGNC Symbol;Acc:HGNC:10721]	7027	0.06235044449567795	0.30588335	No	
row_100	TIAM1	TIAM Rac1 associated GEF 1 [Source:HGNC Symbol;Acc:HGNC:11805]	7109	0.05960334092378616	0.30189663	No	
row_101	IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	7122	0.05917315185070038	0.30244386	No	
row_102	MUC1	mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]	7270	0.054350126534700394	0.2939923	No	
row_103	APLP1	amyloid beta precursor like protein 1 [Source:HGNC Symbol;Acc:HGNC:597]	7420	0.04933475703001022	0.2852957	No	
row_104	SPRY4	sprouty RTK signaling antagonist 4 [Source:HGNC Symbol;Acc:HGNC:15533]	7684	0.040556613355875015	0.26889375	No	
row_105	RNH1	ribonuclease/angiogenin inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:10074]	7875	0.03368496149778366	0.2571436	No	
row_106	TNFRSF21	TNF receptor superfamily member 21 [Source:HGNC Symbol;Acc:HGNC:13469]	7878	0.033657919615507126	0.2577726	No	
row_107	COCH	cochlin [Source:HGNC Symbol;Acc:HGNC:2180]	7993	0.029576588422060013	0.25093418	No	
row_108	TNFRSF4	TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918]	8006	0.029214875772595406	0.25080428	No	
row_109	AHR	aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]	8089	0.02636501006782055	0.24600047	No	
row_110	CDC6	cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]	8106	0.02584446407854557	0.245531	No	
row_111	SLC39A8	solute carrier family 39 member 8 [Source:HGNC Symbol;Acc:HGNC:20862]	8153	0.02417362667620182	0.24304825	No	
row_112	IKZF4	IKAROS family zinc finger 4 [Source:HGNC Symbol;Acc:HGNC:13179]	8171	0.02375490590929985	0.2424657	No	
row_113	CCR4	C-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:1605]	8263	0.02066767029464245	0.23694047	No	
row_114	CST7	cystatin F [Source:HGNC Symbol;Acc:HGNC:2479]	8312	0.019058633595705032	0.23421043	No	
row_115	PENK	proenkephalin [Source:HGNC Symbol;Acc:HGNC:8831]	8314	0.0189895648509264	0.23457377	No	
row_116	SERPINC1	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]	8324	0.018787167966365814	0.23440574	No	
row_117	LCLAT1	lysocardiolipin acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26756]	8415	0.015984492376446724	0.22884052	No	
row_118	PTH1R	parathyroid hormone 1 receptor [Source:HGNC Symbol;Acc:HGNC:9608]	8499	0.013472873717546463	0.22367947	No	
row_119	HOPX	HOP homeobox [Source:HGNC Symbol;Acc:HGNC:24961]	8516	0.01277862023562193	0.22291468	No	
row_120	CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	8784	0.0022530776914209127	0.20538361	No	
row_121	CDCP1	CUB domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:24357]	8812	0.0015097333816811442	0.20363979	No	
row_122	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	9098	-0.008472963236272335	0.185064	No	
row_123	GUCY1B1	guanylate cyclase 1 soluble subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4687]	9124	-0.009648463688790798	0.18363583	No	
row_124	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	9217	-0.012911202386021614	0.17786944	No	
row_125	TGM2	transglutaminase 2 [Source:HGNC Symbol;Acc:HGNC:11778]	9265	-0.01499758381396532	0.17511345	No	
row_126	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	9382	-0.019227338954806328	0.16790941	No	
