NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HNRNPC	heterogeneous nuclear ribonucleoprotein C [Source:HGNC Symbol;Acc:HGNC:5035]	77	1.0068343877792358	0.03381261	No	
row_1	PSMA1	proteasome 20S subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9530]	226	0.7754008769989014	0.054011717	No	
row_2	SSB	small RNA binding exonuclease protection factor La [Source:HGNC Symbol;Acc:HGNC:11316]	764	0.49498218297958374	0.03776382	No	
row_3	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1 [Source:HGNC Symbol;Acc:HGNC:5033]	770	0.49181267619132996	0.05642809	No	
row_4	DEK	DEK proto-oncogene [Source:HGNC Symbol;Acc:HGNC:2768]	988	0.4261360168457031	0.058594815	No	
row_5	EIF4E	eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:HGNC:3287]	1096	0.3981741666793823	0.06692566	No	
row_6	UBE2E1	ubiquitin conjugating enzyme E2 E1 [Source:HGNC Symbol;Acc:HGNC:12477]	1223	0.3700655400753021	0.072919734	No	
row_7	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3 [Source:HGNC Symbol;Acc:HGNC:24941]	1352	0.34533199667930603	0.077826895	No	
row_8	PABPC4	poly(A) binding protein cytoplasmic 4 [Source:HGNC Symbol;Acc:HGNC:8557]	1466	0.3231205940246582	0.08286409	No	
row_9	DHX15	DEAH-box helicase 15 [Source:HGNC Symbol;Acc:HGNC:2738]	1759	0.2849622070789337	0.07463967	No	
row_10	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851]	1906	0.26874372363090515	0.07540366	No	
row_11	PSMA6	proteasome 20S subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:9535]	2012	0.2581486403942108	0.0784585	No	
row_12	PSMA4	proteasome 20S subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:9533]	2123	0.2487057000398636	0.0808194	No	
row_13	DDX21	DExD-box helicase 21 [Source:HGNC Symbol;Acc:HGNC:2744]	2168	0.24548733234405518	0.08740239	No	
row_14	GLO1	glyoxalase I [Source:HGNC Symbol;Acc:HGNC:4323]	2216	0.24200275540351868	0.09365325	No	
row_15	EIF2S2	eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]	2268	0.23651978373527527	0.09942894	No	
row_16	HPRT1	hypoxanthine phosphoribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5157]	2394	0.22545483708381653	0.099904075	No	
row_17	VDAC3	voltage dependent anion channel 3 [Source:HGNC Symbol;Acc:HGNC:12674]	2474	0.21957379579544067	0.10318139	No	
row_18	ORC2	origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]	2724	0.20323587954044342	0.09463249	No	
