NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BTG1	BTG anti-proliferation factor 1 [Source:HGNC Symbol;Acc:HGNC:1130]	18	1.2271891832351685	0.024009017	No	
row_1	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	89	0.9715646505355835	0.039345827	No	
row_2	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	131	0.8936907052993774	0.054993533	No	
row_3	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	147	0.8713827729225159	0.07189536	No	
row_4	RNF19B	ring finger protein 19B [Source:HGNC Symbol;Acc:HGNC:26886]	260	0.7373365163803101	0.07965774	No	
row_5	DRAM1	DNA damage regulated autophagy modulator 1 [Source:HGNC Symbol;Acc:HGNC:25645]	280	0.7190341949462891	0.09316843	No	
row_6	FOXO3	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	302	0.7088837027549744	0.10633903	No	
row_7	PLK3	polo like kinase 3 [Source:HGNC Symbol;Acc:HGNC:2154]	362	0.6620189547538757	0.11604519	No	
row_8	NINJ1	ninjurin 1 [Source:HGNC Symbol;Acc:HGNC:7824]	396	0.645733654499054	0.12712911	No	
row_9	PLK2	polo like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19699]	419	0.6335368156433105	0.13868698	No	
row_10	AEN	apoptosis enhancing nuclease [Source:HGNC Symbol;Acc:HGNC:25722]	477	0.6019893884658813	0.14729244	No	
row_11	TNNI1	troponin I1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11945]	633	0.5402856469154358	0.14817779	No	
row_12	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	653	0.5304647088050842	0.15781713	No	
row_13	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	743	0.5002180933952332	0.16222599	No	
row_14	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	747	0.4996567964553833	0.17228645	No	
row_15	TSC22D1	TSC22 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:16826]	780	0.4887302815914154	0.18021293	No	
row_16	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	801	0.48330777883529663	0.18881828	No	
row_17	CD82	CD82 molecule [Source:HGNC Symbol;Acc:HGNC:6210]	936	0.4408585727214813	0.18904524	No	
row_18	TM4SF1	transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]	974	0.4288412034511566	0.19541293	No	
row_19	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	1098	0.3980640470981598	0.19548567	No	
row_20	IER5	immediate early response 5 [Source:HGNC Symbol;Acc:HGNC:5393]	1102	0.39684295654296875	0.20343535	No	
row_21	TNFSF9	TNF superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11939]	1265	0.3612980842590332	0.2001851	No	
row_22	TCHH	trichohyalin [Source:HGNC Symbol;Acc:HGNC:11791]	1272	0.36002111434936523	0.20718127	No	
row_23	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	1351	0.34558555483818054	0.20913987	No	
row_24	DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24013]	1365	0.3411639928817749	0.21528795	No	
row_25	KLF4	KLF transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	1383	0.3382970988750458	0.22111377	No	
row_26	SLC19A2	solute carrier family 19 member 2 [Source:HGNC Symbol;Acc:HGNC:10938]	1415	0.3319832980632782	0.22588807	No	
row_27	FGF13	fibroblast growth factor 13 [Source:HGNC Symbol;Acc:HGNC:3670]	1469	0.32283931970596313	0.22902595	No	
row_28	ELP1	elongator acetyltransferase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:5959]	1641	0.2994009852409363	0.2239123	No	
row_29	NUPR1	nuclear protein 1, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29990]	1705	0.29040491580963135	0.22572578	No	
row_30	PRMT2	protein arginine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:5186]	1826	0.2776694893836975	0.22352435	No	
row_31	ABCC5	ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]	1949	0.26447615027427673	0.22092035	No	
row_32	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	1957	0.2638690173625946	0.22587666	No	
row_33	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	2001	0.2592565715312958	0.22836767	No	
row_34	PVT1	Pvt1 oncogene [Source:HGNC Symbol;Acc:HGNC:9709]	2093	0.2511664927005768	0.22753179	No	
row_35	EPHA2	EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]	2103	0.2503232955932617	0.2320783	No	
row_36	PERP	p53 apoptosis effector related to PMP22 [Source:HGNC Symbol;Acc:HGNC:17637]	2153	0.2465747445821762	0.23391385	No	
row_37	TPD52L1	TPD52 like 1 [Source:HGNC Symbol;Acc:HGNC:12006]	2157	0.24623185396194458	0.23877147	No	
row_38	CCP110	centriolar coiled-coil protein 110 [Source:HGNC Symbol;Acc:HGNC:24342]	2158	0.24619261920452118	0.24382582	No	
row_39	NHLH2	nescient helix-loop-helix 2 [Source:HGNC Symbol;Acc:HGNC:7818]	2255	0.23751604557037354	0.24238044	No	
row_40	ABAT	4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23]	2817	0.19807139039039612	0.20950495	No	
row_41	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	2889	0.19405409693717957	0.20881353	No	
row_42	ITGB4	integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	2952	0.1904163509607315	0.2086401	No	
row_43	DEF6	DEF6 guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:2760]	3047	0.18521681427955627	0.20625271	No	
row_44	GM2A	ganglioside GM2 activator [Source:HGNC Symbol;Acc:HGNC:4367]	3053	0.18500447273254395	0.20972161	No	
row_45	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	3299	0.1730591058731079	0.19714126	No	
row_46	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	3318	0.17257653176784515	0.19949897	No	
row_47	ADA	adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]	3618	0.16221271455287933	0.18314002	No	
row_48	CDH13	cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]	3730	0.15826112031936646	0.17907977	No	
row_49	TP63	tumor protein p63 [Source:HGNC Symbol;Acc:HGNC:15979]	3799	0.1564275026321411	0.17781344	No	
row_50	STOM	stomatin [Source:HGNC Symbol;Acc:HGNC:3383]	3815	0.15576907992362976	0.18002364	No	
row_51	RPS27L	ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]	3867	0.15410670638084412	0.17982912	No	
row_52	RGS16	regulator of G protein signaling 16 [Source:HGNC Symbol;Acc:HGNC:9997]	4222	0.14394468069076538	0.15947337	No	
row_53	PTPN14	protein tyrosine phosphatase non-receptor type 14 [Source:HGNC Symbol;Acc:HGNC:9647]	4369	0.13921594619750977	0.15271737	No	
row_54	CCND3	cyclin D3 [Source:HGNC Symbol;Acc:HGNC:1585]	4604	0.13270795345306396	0.14003295	No	
