NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	449	0.6150498986244202	0.09961254	No	
row_1	HNF1A	HNF1 homeobox A [Source:HGNC Symbol;Acc:HGNC:11621]	1297	0.35607826709747314	0.119017854	No	
row_2	ABCC8	ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]	1802	0.28018826246261597	0.14487799	No	
row_3	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	1889	0.27081477642059326	0.19601944	No	
row_4	STXBP1	syntaxin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11444]	2506	0.21773472428321838	0.20149273	No	
row_5	PAK3	p21 (RAC1) activated kinase 3 [Source:HGNC Symbol;Acc:HGNC:8592]	3696	0.15963588654994965	0.15744343	No	
row_6	GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]	3733	0.15822762250900269	0.18825221	No	
row_7	PCSK2	proprotein convertase subtilisin/kexin type 2 [Source:HGNC Symbol;Acc:HGNC:8744]	4144	0.14572054147720337	0.19206272	No	
row_8	SRP9	signal recognition particle 9 [Source:HGNC Symbol;Acc:HGNC:11304]	5985	0.09352478384971619	0.09172784	No	
row_9	ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	6524	0.07743260264396667	0.072886065	No	
row_10	MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	6754	0.07007408887147903	0.07264316	No	
row_11	SRP14	signal recognition particle 14 [Source:HGNC Symbol;Acc:HGNC:11299]	6881	0.06661731749773026	0.07838952	No	
row_12	NKX6-1	NK6 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7839]	7597	0.043381381779909134	0.04087563	No	
row_13	SEC11A	SEC11 homolog A, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:17718]	8981	-0.004381782375276089	-0.04835091	No	
row_14	SPCS1	signal peptidase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:23401]	9814	-0.03734302893280983	-0.09475621	No	
row_15	DCX	doublecortin [Source:HGNC Symbol;Acc:HGNC:2714]	9979	-0.045105304569005966	-0.095994376	No	
row_16	ELP4	elongator acetyltransferase complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:1171]	10203	-0.054819781333208084	-0.09904261	No	
row_17	SRPRB	SRP receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:24085]	11157	-0.10586598515510559	-0.13897634	No	
row_18	CHGA	chromogranin A [Source:HGNC Symbol;Acc:HGNC:1929]	12960	-0.2376387119293213	-0.20663647	No	
row_19	FOXO1	forkhead box O1 [Source:HGNC Symbol;Acc:HGNC:3819]	14463	-0.4525708854198456	-0.20970519	Yes	
row_20	LMO2	LIM domain only 2 [Source:HGNC Symbol;Acc:HGNC:6642]	14705	-0.5168865323066711	-0.117104426	Yes	
row_21	VDR	vitamin D receptor [Source:HGNC Symbol;Acc:HGNC:12679]	15193	-0.7632273435592651	0.011080596	Yes	
