NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	89	0.9715646505355835	0.05182555	No	
row_1	BCAR3	BCAR3 adaptor protein, NSP family member [Source:HGNC Symbol;Acc:HGNC:973]	341	0.675710141658783	0.07552204	No	
row_2	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	747	0.4996567964553833	0.078718886	No	
row_3	SMAD1	SMAD family member 1 [Source:HGNC Symbol;Acc:HGNC:6767]	1094	0.3986464738845825	0.079775855	No	
row_4	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	1208	0.3729014992713928	0.09451938	No	
row_5	HDAC1	histone deacetylase 1 [Source:HGNC Symbol;Acc:HGNC:4852]	1797	0.2805592715740204	0.07276947	No	
row_6	ARID4B	AT-rich interaction domain 4B [Source:HGNC Symbol;Acc:HGNC:15550]	1896	0.26970207691192627	0.08237025	No	
row_7	BMPR1A	bone morphogenetic protein receptor type 1A [Source:HGNC Symbol;Acc:HGNC:1076]	2610	0.2105017900466919	0.048302338	No	
row_8	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	2785	0.1997540444135666	0.048791084	No	
row_9	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	4308	0.14139612019062042	-0.042200465	No	
row_10	SPTBN1	spectrin beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]	4422	0.13793863356113434	-0.041395817	No	
row_11	BMPR2	bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]	4729	0.12947070598602295	-0.05369554	No	
row_12	WWTR1	WW domain containing transcription regulator 1 [Source:HGNC Symbol;Acc:HGNC:24042]	4874	0.1255500465631485	-0.05564999	No	
row_13	XIAP	X-linked inhibitor of apoptosis [Source:HGNC Symbol;Acc:HGNC:592]	4932	0.12392733246088028	-0.05202	No	
row_14	TJP1	tight junction protein 1 [Source:HGNC Symbol;Acc:HGNC:11827]	5237	0.1156269758939743	-0.06501039	No	
row_15	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	5802	0.09869816899299622	-0.09598189	No	
row_16	UBE2D3	ubiquitin conjugating enzyme E2 D3 [Source:HGNC Symbol;Acc:HGNC:12476]	5851	0.09733298420906067	-0.09334192	No	
row_17	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	7872	0.033871449530124664	-0.22322936	No	
