NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ERN1	endoplasmic reticulum to nucleus signaling 1 [Source:HGNC Symbol;Acc:HGNC:3449]	240	0.7593911290168762	0.028287964	No	
row_1	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	464	0.60671466588974	0.04884142	No	
row_2	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3 [Source:HGNC Symbol;Acc:HGNC:9439]	699	0.518225908279419	0.063546106	No	
row_3	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	894	0.4529317319393158	0.07708699	No	
row_4	TUBB2A	tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]	942	0.43926477432250977	0.09946507	No	
row_5	EIF4E	eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:HGNC:3287]	1096	0.3981741666793823	0.11251828	No	
row_6	ATF6	activating transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:791]	1342	0.3478280007839203	0.116627306	No	
row_7	EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3 [Source:HGNC Symbol;Acc:HGNC:3255]	1427	0.33001765608787537	0.13025047	No	
row_8	EDEM1	ER degradation enhancing alpha-mannosidase like protein 1 [Source:HGNC Symbol;Acc:HGNC:18967]	1437	0.32790032029151917	0.14866382	No	
row_9	EXOSC9	exosome component 9 [Source:HGNC Symbol;Acc:HGNC:9137]	1473	0.3221208155155182	0.16503908	No	
row_10	DCP1A	decapping mRNA 1A [Source:HGNC Symbol;Acc:HGNC:18714]	1824	0.27800190448760986	0.15822342	No	
row_11	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	2082	0.2519293427467346	0.15598875	No	
row_12	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	2393	0.22556306421756744	0.1487543	No	
row_13	DNAJA4	DnaJ heat shock protein family (Hsp40) member A4 [Source:HGNC Symbol;Acc:HGNC:14885]	2605	0.21071314811706543	0.14714424	No	
row_14	PDIA5	protein disulfide isomerase family A member 5 [Source:HGNC Symbol;Acc:HGNC:24811]	2966	0.1894921362400055	0.1345441	No	
row_15	EIF4A2	eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:HGNC:3284]	3036	0.1856624186038971	0.140784	No	
row_16	BAG3	BAG cochaperone 3 [Source:HGNC Symbol;Acc:HGNC:939]	3380	0.1701054573059082	0.12817393	No	
row_17	ATF4	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	3561	0.1646147221326828	0.12592298	No	
row_18	SRPRA	SRP receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:11307]	3850	0.15461446344852448	0.11601793	No	
row_19	ALDH18A1	aldehyde dehydrogenase 18 family member A1 [Source:HGNC Symbol;Acc:HGNC:9722]	4432	0.13772059977054596	0.08594085	No	
row_20	EIF4A3	eukaryotic translation initiation factor 4A3 [Source:HGNC Symbol;Acc:HGNC:18683]	4457	0.13705921173095703	0.092311755	No	
