NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	11	1.3334439992904663	0.040210415	Yes	
row_1	BTG1	BTG anti-proliferation factor 1 [Source:HGNC Symbol;Acc:HGNC:1130]	18	1.2271891832351685	0.07748739	Yes	
row_2	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	78	1.0019387006759644	0.10437036	Yes	
row_3	CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	82	0.9976264238357544	0.13479742	Yes	
row_4	PRPF3	pre-mRNA processing factor 3 [Source:HGNC Symbol;Acc:HGNC:17348]	165	0.8480048775672913	0.15544514	Yes	
row_5	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]	185	0.8295323252677917	0.17966183	Yes	
row_6	GLS	glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]	305	0.7045326232910156	0.19347627	Yes	
row_7	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	353	0.6682626008987427	0.21090426	Yes	
row_8	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	360	0.6633985042572021	0.23087461	Yes	
row_9	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	471	0.6041398644447327	0.24219818	Yes	
row_10	RASGRP1	RAS guanyl releasing protein 1 [Source:HGNC Symbol;Acc:HGNC:9878]	487	0.5946791172027588	0.2594682	Yes	
row_11	BTG3	BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132]	527	0.5776495933532715	0.27463984	Yes	
row_12	FMO1	flavin containing dimethylaniline monoxygenase 1 [Source:HGNC Symbol;Acc:HGNC:3769]	572	0.560184121131897	0.2889471	Yes	
row_13	HSPA2	heat shock protein family A (Hsp70) member 2 [Source:HGNC Symbol;Acc:HGNC:5235]	744	0.5000205636024475	0.2930698	Yes	
row_14	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	747	0.4996567964553833	0.3082764	Yes	
row_15	RET	ret proto-oncogene [Source:HGNC Symbol;Acc:HGNC:9967]	899	0.45174747705459595	0.31223032	Yes	
row_16	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	933	0.4419231414794922	0.3236295	Yes	
row_17	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	1086	0.40087810158729553	0.3259562	Yes	
row_18	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	1200	0.374848872423172	0.3300443	Yes	
row_19	CREG1	cellular repressor of E1A stimulated genes 1 [Source:HGNC Symbol;Acc:HGNC:2351]	1271	0.3606146574020386	0.33651847	Yes	
row_20	TCHH	trichohyalin [Source:HGNC Symbol;Acc:HGNC:11791]	1272	0.36002111434936523	0.34757	Yes	
row_21	HTR7	5-hydroxytryptamine receptor 7 [Source:HGNC Symbol;Acc:HGNC:5302]	1319	0.35256195068359375	0.35537258	Yes	
row_22	NUP58	nucleoporin 58 [Source:HGNC Symbol;Acc:HGNC:20261]	1413	0.33204856514930725	0.35945988	Yes	
row_23	NXF1	nuclear RNA export factor 1 [Source:HGNC Symbol;Acc:HGNC:8071]	1472	0.32215678691864014	0.3655413	Yes	
row_24	GRPEL1	GrpE like 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:19696]	1837	0.2759952247142792	0.35011643	No	
row_25	NTRK3	neurotrophic receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:8033]	1923	0.2666131854057312	0.3527203	No	
row_26	PPAT	phosphoribosyl pyrophosphate amidotransferase [Source:HGNC Symbol;Acc:HGNC:9238]	2119	0.2494482696056366	0.34757558	No	
row_27	DDX21	DExD-box helicase 21 [Source:HGNC Symbol;Acc:HGNC:2744]	2168	0.24548733234405518	0.35196	No	
row_28	DGAT1	diacylglycerol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2843]	2568	0.2132062464952469	0.33230993	No	
row_29	HNRNPU	heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]	2750	0.20162732899188995	0.32661638	No	
row_30	HLA-F	major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]	2752	0.2014705240726471	0.33273524	No	
row_31	SLC6A12	solute carrier family 6 member 12 [Source:HGNC Symbol;Acc:HGNC:11045]	2866	0.19500099122524261	0.33130255	No	
row_32	NPTX2	neuronal pentraxin 2 [Source:HGNC Symbol;Acc:HGNC:7953]	2928	0.19178302586078644	0.333185	No	
row_33	CHRNA5	cholinergic receptor nicotinic alpha 5 subunit [Source:HGNC Symbol;Acc:HGNC:1959]	3078	0.183796226978302	0.3290449	No	
row_34	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	3094	0.18304017186164856	0.3336789	No	
row_35	EPCAM	epithelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:11529]	3171	0.1785755753517151	0.33417112	No	
row_36	DLG4	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]	3272	0.1747477650642395	0.3329702	No	
