NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACOX3	acyl-CoA oxidase 3, pristanoyl [Source:HGNC Symbol;Acc:HGNC:121]	19	1.2271181344985962	0.03490727	Yes	
row_1	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5208]	32	1.1408710479736328	0.06773366	Yes	
row_2	GCKR	glucokinase regulator [Source:HGNC Symbol;Acc:HGNC:4196]	43	1.091159462928772	0.09922684	Yes	
row_3	UPB1	beta-ureidopropionase 1 [Source:HGNC Symbol;Acc:HGNC:16297]	114	0.9147328734397888	0.121575564	Yes	
row_4	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	164	0.8498644828796387	0.14339407	Yes	
row_5	ETS2	ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]	169	0.842373251914978	0.1679514	Yes	
row_6	SERPINA6	serpin family A member 6 [Source:HGNC Symbol;Acc:HGNC:1540]	344	0.6733580231666565	0.17634821	Yes	
row_7	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	353	0.6682626008987427	0.19551232	Yes	
row_8	NINJ1	ninjurin 1 [Source:HGNC Symbol;Acc:HGNC:7824]	396	0.645733654499054	0.21177652	Yes	
row_9	TKFC	triokinase and FMN cyclase [Source:HGNC Symbol;Acc:HGNC:24552]	480	0.5984198451042175	0.22395015	Yes	
row_10	CYB5A	cytochrome b5 type A [Source:HGNC Symbol;Acc:HGNC:2570]	567	0.5612990856170654	0.23483272	Yes	
row_11	FMO1	flavin containing dimethylaniline monoxygenase 1 [Source:HGNC Symbol;Acc:HGNC:3769]	572	0.560184121131897	0.2510754	Yes	
row_12	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	574	0.559120237827301	0.267484	Yes	
row_13	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	653	0.5304647088050842	0.2779842	Yes	
row_14	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	801	0.48330777883529663	0.28255692	Yes	
row_15	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	955	0.43458640575408936	0.28529945	Yes	
row_16	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	1086	0.40087810158729553	0.28856146	Yes	
row_17	ABCC2	ATP binding cassette subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:53]	1135	0.38952043652534485	0.29688177	Yes	
row_18	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	1208	0.3729014992713928	0.30313396	Yes	
row_19	SLC22A1	solute carrier family 22 member 1 [Source:HGNC Symbol;Acc:HGNC:10963]	1311	0.3536527156829834	0.30684596	Yes	
row_20	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	1394	0.33541518449783325	0.31133598	Yes	
row_21	ELOVL5	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]	1414	0.33203697204589844	0.31986982	Yes	
row_22	F10	coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528]	1416	0.33181238174438477	0.32958084	Yes	
row_23	SLC12A4	solute carrier family 12 member 4 [Source:HGNC Symbol;Acc:HGNC:10913]	1487	0.32040074467658997	0.33441764	Yes	
row_24	GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group) [Source:HGNC Symbol;Acc:HGNC:4204]	1566	0.31079280376434326	0.33844522	Yes	
row_25	BPHL	biphenyl hydrolase like [Source:HGNC Symbol;Acc:HGNC:1094]	1842	0.2754811644554138	0.3284761	Yes	
row_26	PTGES	prostaglandin E synthase [Source:HGNC Symbol;Acc:HGNC:9599]	1850	0.27452054619789124	0.33610442	Yes	
row_27	GSTO1	glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]	1888	0.2709515690803528	0.34165457	Yes	
row_28	ASL	argininosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:746]	1963	0.26326489448547363	0.3445448	Yes	
row_29	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	1991	0.2599733769893646	0.35042915	Yes	
row_30	EPHA2	EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]	2103	0.2503232955932617	0.35050467	Yes	
row_31	DDC	dopa decarboxylase [Source:HGNC Symbol;Acc:HGNC:2719]	2108	0.24995358288288116	0.35760644	Yes	
row_32	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5 (inactive) [Source:HGNC Symbol;Acc:HGNC:3367]	2211	0.24253790080547333	0.35804445	Yes	
row_33	HPRT1	hypoxanthine phosphoribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5157]	2394	0.22545483708381653	0.3527177	No	
row_34	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]	2595	0.21121832728385925	0.34578764	No	
row_35	NQO1	NAD(P)H quinone dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:2874]	2601	0.2109702229499817	0.35167503	No	
row_36	ETFDH	electron transfer flavoprotein dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3483]	2630	0.209389328956604	0.35600317	No	
row_37	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide [Source:HGNC Symbol;Acc:HGNC:253]	2858	0.19542907178401947	0.34683216	No	
row_38	SLC6A12	solute carrier family 6 member 12 [Source:HGNC Symbol;Acc:HGNC:11045]	2866	0.19500099122524261	0.35211745	No	
row_39	CCL25	C-C motif chemokine ligand 25 [Source:HGNC Symbol;Acc:HGNC:10624]	3071	0.18419204652309418	0.344128	No	
