NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	169	0.63051015	2.1422815	0.0	0.0014642859	0.001	1391	tags=42%, list=9%, signal=46%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	176	0.7525514	2.1215038	0.00203666	0.0041267667	0.004	1439	tags=60%, list=9%, signal=65%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	168	0.449377	2.0991826	0.0	0.003812635	0.006	2082	tags=26%, list=14%, signal=29%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	158	0.48252746	2.0279026	0.0	0.010669145	0.027	1822	tags=28%, list=12%, signal=31%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	178	0.46902427	2.0121803	0.002	0.009864826	0.029	2944	tags=35%, list=19%, signal=43%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	179	0.45591295	1.8928128	0.0038834952	0.025112337	0.067	1485	tags=24%, list=10%, signal=26%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	171	0.6783699	1.8151423	0.026422765	0.04272496	0.126	2033	tags=51%, list=13%, signal=58%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	138	0.44910827	1.8039188	0.007905139	0.041335385	0.141	2076	tags=33%, list=14%, signal=37%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	163	0.43953997	1.7348979	0.026262626	0.059632182	0.213	1394	tags=20%, list=9%, signal=21%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	159	0.35804445	1.7143288	0.003992016	0.06365789	0.241	2211	tags=21%, list=14%, signal=24%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	72	0.5086198	1.7135388	0.040650405	0.058330506	0.244	1629	tags=32%, list=11%, signal=36%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	132	0.3655413	1.7056139	0.006024096	0.055992518	0.251	1472	tags=18%, list=10%, signal=20%	
