NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAP1A	RAP1A, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9855]	653	0.46349895000457764	-0.035229947	No	
row_1	SNTB1	syntrophin beta 1 [Source:HGNC Symbol;Acc:HGNC:11168]	764	0.4429279863834381	-0.03227749	No	
row_2	EIF4A3	eukaryotic translation initiation factor 4A3 [Source:HGNC Symbol;Acc:HGNC:18683]	1041	0.4030662477016449	-0.042121876	No	
row_3	ERCC8	ERCC excision repair 8, CSA ubiquitin ligase complex subunit [Source:HGNC Symbol;Acc:HGNC:3439]	1138	0.3925454020500183	-0.03939928	No	
row_4	DKC1	dyskerin pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:2890]	1309	0.3692532181739807	-0.042515818	No	
row_5	BCDIN3D	BCDIN3 domain containing RNA methyltransferase [Source:HGNC Symbol;Acc:HGNC:27050]	1542	0.34180325269699097	-0.050717883	No	
row_6	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	1658	0.32972630858421326	-0.050879005	No	
row_7	ARHGAP15	Rho GTPase activating protein 15 [Source:HGNC Symbol;Acc:HGNC:21030]	1741	0.3220587372779846	-0.048875965	No	
row_8	STARD13	StAR related lipid transfer domain containing 13 [Source:HGNC Symbol;Acc:HGNC:19164]	2178	0.2823774516582489	-0.073058546	No	
row_9	VPS8	VPS8 subunit of CORVET complex [Source:HGNC Symbol;Acc:HGNC:29122]	2775	0.24420534074306488	-0.10956938	No	
row_10	TUBA1C	tubulin alpha 1c [Source:HGNC Symbol;Acc:HGNC:20768]	2818	0.24242287874221802	-0.10665651	No	
row_11	ANKZF1	ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:25527]	2858	0.24081042408943176	-0.103569195	No	
row_12	NUDT6	nudix hydrolase 6 [Source:HGNC Symbol;Acc:HGNC:8053]	3232	0.22231754660606384	-0.124726586	No	
row_13	ELMO1	engulfment and cell motility 1 [Source:HGNC Symbol;Acc:HGNC:16286]	3438	0.2148282676935196	-0.13409804	No	
row_14	BRDT	bromodomain testis associated [Source:HGNC Symbol;Acc:HGNC:1105]	3469	0.21396495401859283	-0.13102345	No	
row_15	ZNF215	zinc finger protein 215 [Source:HGNC Symbol;Acc:HGNC:13007]	3558	0.21074871718883514	-0.13215916	No	
row_16	ACBD6	acyl-CoA binding domain containing 6 [Source:HGNC Symbol;Acc:HGNC:23339]	4774	0.17011301219463348	-0.21457249	No	
row_17	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 [Source:HGNC Symbol;Acc:HGNC:11098]	4917	0.16432280838489532	-0.22068602	No	
row_18	WASHC5	WASH complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:28984]	5071	0.15850414335727692	-0.22772491	No	
row_19	STK24	serine/threonine kinase 24 [Source:HGNC Symbol;Acc:HGNC:11403]	5079	0.15828219056129456	-0.22436814	No	
row_20	PSTPIP1	proline-serine-threonine phosphatase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9580]	5153	0.1553381085395813	-0.22578494	No	
row_21	EIF3D	eukaryotic translation initiation factor 3 subunit D [Source:HGNC Symbol;Acc:HGNC:3278]	5199	0.15325675904750824	-0.22525771	No	
row_22	POLR1E	RNA polymerase I subunit E [Source:HGNC Symbol;Acc:HGNC:17631]	5303	0.1488332599401474	-0.22897016	No	
row_23	FH	fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]	5364	0.14540109038352966	-0.22970288	No	
row_24	DPYD	dihydropyrimidine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3012]	5446	0.14198513329029083	-0.23201485	No	
row_25	ITFG1	integrin alpha FG-GAP repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:30697]	5955	0.11676906049251556	-0.26536065	No	
row_26	CAST	calpastatin [Source:HGNC Symbol;Acc:HGNC:1515]	6345	0.09670320153236389	-0.2907176	No	
row_27	OSBPL1A	oxysterol binding protein like 1A [Source:HGNC Symbol;Acc:HGNC:16398]	6579	0.08532822877168655	-0.30523816	No	
row_28	TMPRSS5	transmembrane serine protease 5 [Source:HGNC Symbol;Acc:HGNC:14908]	6697	0.07929910719394684	-0.3116417	No	
row_29	AP3S1	adaptor related protein complex 3 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:2013]	6865	0.07026154547929764	-0.32182738	No	
row_30	CDKAL1	CDK5 regulatory subunit associated protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:21050]	6944	0.06541378051042557	-0.3257908	No	
row_31	MAF	MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]	7036	0.060457102954387665	-0.330801	No	
row_32	MIPEP	mitochondrial intermediate peptidase [Source:HGNC Symbol;Acc:HGNC:7104]	7049	0.05958138406276703	-0.3302046	No	
row_33	WDR76	WD repeat domain 76 [Source:HGNC Symbol;Acc:HGNC:25773]	7091	0.05736212432384491	-0.33172825	No	
row_34	PAIP2B	poly(A) binding protein interacting protein 2B [Source:HGNC Symbol;Acc:HGNC:29200]	7222	0.051437459886074066	-0.33973655	No	
row_35	GIT2	GIT ArfGAP 2 [Source:HGNC Symbol;Acc:HGNC:4273]	7385	0.04278421029448509	-0.35023534	No	
row_36	MYO1F	myosin IF [Source:HGNC Symbol;Acc:HGNC:7600]	7573	0.032000184059143066	-0.3627778	No	
row_37	LAPTM5	lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:HGNC:29612]	7577	0.031702179461717606	-0.36221933	No	
row_38	PARVG	parvin gamma [Source:HGNC Symbol;Acc:HGNC:14654]	7715	0.024503063410520554	-0.3713824	No	
row_39	LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	7980	0.009600194171071053	-0.389956	No	
row_40	AUH	AU RNA binding methylglutaconyl-CoA hydratase [Source:HGNC Symbol;Acc:HGNC:890]	8017	0.007776160724461079	-0.39233124	No	
row_41	CD302	CD302 molecule [Source:HGNC Symbol;Acc:HGNC:30843]	8188	-0.0022106568794697523	-0.40438822	No	
row_42	SAP30	Sin3A associated protein 30 [Source:HGNC Symbol;Acc:HGNC:10532]	8483	-0.017595933750271797	-0.42490426	No	
row_43	CTDSP1	CTD small phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:21614]	8789	-0.034186024218797684	-0.44579986	No	
row_44	ZWINT	ZW10 interacting kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13195]	8815	-0.035821281373500824	-0.44670832	No	
row_45	RASGRP4	RAS guanyl releasing protein 4 [Source:HGNC Symbol;Acc:HGNC:18958]	8853	-0.037732984870672226	-0.4484251	No	
row_46	DNAJC10	DnaJ heat shock protein family (Hsp40) member C10 [Source:HGNC Symbol;Acc:HGNC:24637]	8945	-0.042650606483221054	-0.45386907	No	
row_47	KLHDC2	kelch domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20231]	8957	-0.04364727810025215	-0.45358956	No	
row_48	ACSM3	acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]	9085	-0.049863461405038834	-0.4614225	No	
row_49	MYCL	MYCL proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7555]	9281	-0.06053321808576584	-0.47383988	No	
row_50	CERS2	ceramide synthase 2 [Source:HGNC Symbol;Acc:HGNC:14076]	9367	-0.0646917000412941	-0.47831953	No	
row_51	IFI16	interferon gamma inducible protein 16 [Source:HGNC Symbol;Acc:HGNC:5395]	9403	-0.06658389419317245	-0.4791911	No	
row_52	FAAP20	FA core complex associated protein 20 [Source:HGNC Symbol;Acc:HGNC:26428]	9431	-0.0680580586194992	-0.4794568	No	
row_53	TPGS2	tubulin polyglutamylase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24561]	9535	-0.07388614118099213	-0.48499483	No	
row_54	ZNF467	zinc finger protein 467 [Source:HGNC Symbol;Acc:HGNC:23154]	9641	-0.07952200621366501	-0.49053806	No	
row_55	PCYOX1	prenylcysteine oxidase 1 [Source:HGNC Symbol;Acc:HGNC:20588]	9644	-0.07961361110210419	-0.4887413	No	
row_56	FBXW4	F-box and WD repeat domain containing 4 [Source:HGNC Symbol;Acc:HGNC:10847]	9681	-0.08186429738998413	-0.4893119	No	
row_57	AKTIP	AKT interacting protein [Source:HGNC Symbol;Acc:HGNC:16710]	9748	-0.08525022864341736	-0.49193722	No	
row_58	REEP5	receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]	9894	-0.09347628057003021	-0.49999017	No	
row_59	OXNAD1	oxidoreductase NAD binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25128]	9909	-0.09470301866531372	-0.49868074	No	
row_60	ARHGDIB	Rho GDP dissociation inhibitor beta [Source:HGNC Symbol;Acc:HGNC:679]	9921	-0.09530027955770493	-0.49714303	No	
row_61	PRPF6	pre-mRNA processing factor 6 [Source:HGNC Symbol;Acc:HGNC:15860]	9950	-0.0968206599354744	-0.4967794	No	
