NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HAVCR2	hepatitis A virus cellular receptor 2 [Source:HGNC Symbol;Acc:HGNC:18437]	75	0.6844147443771362	0.0105986865	No	
row_1	PBX3	PBX homeobox 3 [Source:HGNC Symbol;Acc:HGNC:8634]	83	0.679114580154419	0.025920657	No	
row_2	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	412	0.5228090286254883	0.014721732	No	
row_3	CSF3R	colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439]	1315	0.36842644214630127	-0.04098608	No	
row_4	CORO1C	coronin 1C [Source:HGNC Symbol;Acc:HGNC:2254]	1316	0.36840543150901794	-0.032403573	No	
row_5	SPIRE1	spire type actin nucleation factor 1 [Source:HGNC Symbol;Acc:HGNC:30622]	1484	0.3494068384170532	-0.036166728	No	
row_6	UBXN11	UBX domain protein 11 [Source:HGNC Symbol;Acc:HGNC:30600]	1539	0.34208551049232483	-0.032046277	No	
row_7	ERRFI1	ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]	1628	0.3329719007015228	-0.030561514	No	
row_8	STARD13	StAR related lipid transfer domain containing 13 [Source:HGNC Symbol;Acc:HGNC:19164]	2178	0.2823774516582489	-0.063113585	No	
row_9	RGS18	regulator of G protein signaling 18 [Source:HGNC Symbol;Acc:HGNC:14261]	2362	0.27057451009750366	-0.069853656	No	
row_10	SLC2A13	solute carrier family 2 member 13 [Source:HGNC Symbol;Acc:HGNC:15956]	2405	0.26755988597869873	-0.06661407	No	
row_11	HSPBAP1	HSPB1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16389]	2452	0.26392820477485657	-0.063744195	No	
row_12	CA5B	carbonic anhydrase 5B [Source:HGNC Symbol;Acc:HGNC:1378]	2816	0.24258053302764893	-0.08396608	No	
row_13	MCM6	minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]	3484	0.21358531713485718	-0.1265313	No	
row_14	LRBA	LPS responsive beige-like anchor protein [Source:HGNC Symbol;Acc:HGNC:1742]	4548	0.1784038096666336	-0.19814137	No	
row_15	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 [Source:HGNC Symbol;Acc:HGNC:11098]	4917	0.16432280838489532	-0.22054274	No	
row_16	RAB32	RAB32, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9772]	5002	0.1610855758190155	-0.2227772	No	
row_17	DOCK5	dedicator of cytokinesis 5 [Source:HGNC Symbol;Acc:HGNC:23476]	5083	0.1581631600856781	-0.22479466	No	
row_18	HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	5654	0.13163183629512787	-0.26235533	No	
row_19	DIAPH1	diaphanous related formin 1 [Source:HGNC Symbol;Acc:HGNC:2876]	5719	0.1288827508687973	-0.2639145	No	
row_20	PDS5B	PDS5 cohesin associated factor B [Source:HGNC Symbol;Acc:HGNC:20418]	5873	0.12125278264284134	-0.27199495	No	
row_21	IL17RA	interleukin 17 receptor A [Source:HGNC Symbol;Acc:HGNC:5985]	5929	0.1185566633939743	-0.2731532	No	
row_22	IDNK	IDNK gluconokinase [Source:HGNC Symbol;Acc:HGNC:31367]	6347	0.09665744751691818	-0.30062345	No	
row_23	NT5M	5',3'-nucleotidase, mitochondrial [Source:HGNC Symbol;Acc:HGNC:15769]	6380	0.09518121182918549	-0.3006869	No	
row_24	CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	6404	0.09417543560266495	-0.30013227	No	
row_25	ATP6V0A1	ATPase H+ transporting V0 subunit a1 [Source:HGNC Symbol;Acc:HGNC:865]	6584	0.08521819859743118	-0.3109054	No	
row_26	RNLS	renalase, FAD dependent amine oxidase [Source:HGNC Symbol;Acc:HGNC:25641]	6589	0.08490544557571411	-0.3092125	No	
row_27	NUDT7	nudix hydrolase 7 [Source:HGNC Symbol;Acc:HGNC:8054]	6685	0.08004164695739746	-0.31411904	No	
row_28	KAT2B	lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]	6716	0.07850315421819687	-0.31442848	No	
row_29	ZNF785	zinc finger protein 785 [Source:HGNC Symbol;Acc:HGNC:26496]	6796	0.07477612048387527	-0.31831723	No	
row_30	SLC15A4	solute carrier family 15 member 4 [Source:HGNC Symbol;Acc:HGNC:23090]	6857	0.0708596482872963	-0.32094303	No	
row_31	PITHD1	PITH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25022]	6915	0.0671609491109848	-0.32344115	No	
row_32	CAMK1D	calcium/calmodulin dependent protein kinase ID [Source:HGNC Symbol;Acc:HGNC:19341]	6945	0.06540124863386154	-0.32398453	No	
row_33	LINC00324	long intergenic non-protein coding RNA 324 [Source:HGNC Symbol;Acc:HGNC:26628]	6957	0.06486189365386963	-0.3232575	No	
row_34	SMAP2	small ArfGAP2 [Source:HGNC Symbol;Acc:HGNC:25082]	6965	0.06441390514373779	-0.32225585	No	
row_35	ZNF248	zinc finger protein 248 [Source:HGNC Symbol;Acc:HGNC:13041]	7051	0.0594298429787159	-0.32692978	No	
row_36	CYP2S1	cytochrome P450 family 2 subfamily S member 1 [Source:HGNC Symbol;Acc:HGNC:15654]	7067	0.0586099699139595	-0.3266335	No	
row_37	TRIM21	tripartite motif containing 21 [Source:HGNC Symbol;Acc:HGNC:11312]	7230	0.05111447349190712	-0.33698943	No	
row_38	SLFN11	schlafen family member 11 [Source:HGNC Symbol;Acc:HGNC:26633]	7310	0.04653678089380264	-0.34153607	No	
row_39	AP3S2	adaptor related protein complex 3 subunit sigma 2 [Source:HGNC Symbol;Acc:HGNC:571]	7387	0.04261983558535576	-0.34596017	No	
row_40	PIK3IP1	phosphoinositide-3-kinase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24942]	7396	0.042065102607011795	-0.3455504	No	
row_41	ZNF689	zinc finger protein 689 [Source:HGNC Symbol;Acc:HGNC:25173]	7426	0.040096934884786606	-0.3466833	No	
row_42	ITGAM	integrin subunit alpha M [Source:HGNC Symbol;Acc:HGNC:6149]	7437	0.03964252397418022	-0.34647253	No	
row_43	AFG2A	AFG2 AAA ATPase homolog A [Source:HGNC Symbol;Acc:HGNC:18119]	7552	0.03295479714870453	-0.35383025	No	
row_44	HPS4	HPS4 biogenesis of lysosomal organelles complex 3 subunit 2 [Source:HGNC Symbol;Acc:HGNC:15844]	7567	0.0321514792740345	-0.3540791	No	
row_45	MYO1F	myosin IF [Source:HGNC Symbol;Acc:HGNC:7600]	7573	0.032000184059143066	-0.35368997	No	
row_46	RAD51	RAD51 recombinase [Source:HGNC Symbol;Acc:HGNC:9817]	7662	0.027247436344623566	-0.3593275	No	
row_47	TK2	thymidine kinase 2 [Source:HGNC Symbol;Acc:HGNC:11831]	7725	0.024180052801966667	-0.3631833	No	
row_48	FLOT2	flotillin 2 [Source:HGNC Symbol;Acc:HGNC:3758]	7881	0.015089585445821285	-0.3738795	No	
row_49	ZRSR2	zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2 [Source:HGNC Symbol;Acc:HGNC:23019]	8042	0.006547112017869949	-0.38513112	No	
row_50	GINS1	GINS complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28980]	8144	1.0596757783787325E-4	-0.39232752	No	
row_51	MYD88	MYD88 innate immune signal transduction adaptor [Source:HGNC Symbol;Acc:HGNC:7562]	8202	-0.0030473419465124607	-0.39631924	No	
row_52	ZNF775	zinc finger protein 775 [Source:HGNC Symbol;Acc:HGNC:28501]	8264	-0.0068395258858799934	-0.40050772	No	
row_53	COG6	component of oligomeric golgi complex 6 [Source:HGNC Symbol;Acc:HGNC:18621]	8421	-0.013830790296196938	-0.41130456	No	
row_54	RBL2	RB transcriptional corepressor like 2 [Source:HGNC Symbol;Acc:HGNC:9894]	8438	-0.015036031603813171	-0.41209468	No	
row_55	PRCP	prolylcarboxypeptidase [Source:HGNC Symbol;Acc:HGNC:9344]	8555	-0.021331211552023888	-0.41986573	No	
row_56	ERMP1	endoplasmic reticulum metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:23703]	8632	-0.025797298178076744	-0.42468172	No	
row_57	RNH1	ribonuclease/angiogenin inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:10074]	8637	-0.026032637804746628	-0.42436036	No	
row_58	CTDSP1	CTD small phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:21614]	8789	-0.034186024218797684	-0.4343266	No	
row_59	CREB3L2	cAMP responsive element binding protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:23720]	8832	-0.03647570312023163	-0.43647042	No	
