NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CEBPG	CCAAT enhancer binding protein gamma [Source:HGNC Symbol;Acc:HGNC:1837]	7	0.8365949988365173	0.02005256	No	
row_1	CCL20	C-C motif chemokine ligand 20 [Source:HGNC Symbol;Acc:HGNC:10619]	126	0.6464616656303406	0.027533036	No	
row_2	SLC38A2	solute carrier family 38 member 2 [Source:HGNC Symbol;Acc:HGNC:13448]	225	0.58544921875	0.03493844	No	
row_3	FAR1	fatty acyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:26222]	243	0.5784438252449036	0.047937702	No	
row_4	MITF	melanocyte inducing transcription factor [Source:HGNC Symbol;Acc:HGNC:7105]	718	0.4515630900859833	0.025288833	No	
row_5	RBM33	RNA binding motif protein 33 [Source:HGNC Symbol;Acc:HGNC:27223]	1157	0.39059215784072876	0.0037048645	No	
row_6	CAPS2	calcyphosine 2 [Source:HGNC Symbol;Acc:HGNC:16471]	1432	0.35513442754745483	-0.0070758592	No	
row_7	LRRFIP1	LRR binding FLII interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:6702]	1648	0.33087411522865295	-0.014252649	No	
row_8	UBR4	ubiquitin protein ligase E3 component n-recognin 4 [Source:HGNC Symbol;Acc:HGNC:30313]	2104	0.29031088948249817	-0.039510153	No	
row_9	CLEC4E	C-type lectin domain family 4 member E [Source:HGNC Symbol;Acc:HGNC:14555]	2380	0.2694660425186157	-0.052466493	No	
row_10	TACC1	transforming acidic coiled-coil containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11522]	2465	0.26300594210624695	-0.051985286	No	
row_11	CLN8	CLN8 transmembrane ER and ERGIC protein [Source:HGNC Symbol;Acc:HGNC:2079]	2481	0.2618120014667511	-0.046621673	No	
row_12	MALT1	MALT1 paracaspase [Source:HGNC Symbol;Acc:HGNC:6819]	2636	0.2535211443901062	-0.051356375	No	
row_13	PLEKHG1	pleckstrin homology and RhoGEF domain containing G1 [Source:HGNC Symbol;Acc:HGNC:20884]	2744	0.24589680135250092	-0.052932695	No	
row_14	FLOT1	flotillin 1 [Source:HGNC Symbol;Acc:HGNC:3757]	2810	0.24282479286193848	-0.051594727	No	
row_15	CDH13	cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]	3375	0.21682296693325043	-0.086416565	No	
row_16	SNTG1	syntrophin gamma 1 [Source:HGNC Symbol;Acc:HGNC:13740]	3887	0.20018209517002106	-0.1178744	No	
row_17	ZBTB46	zinc finger and BTB domain containing 46 [Source:HGNC Symbol;Acc:HGNC:16094]	4243	0.18921597301959991	-0.13849683	No	
row_18	ZDHHC20	zinc finger DHHC-type palmitoyltransferase 20 [Source:HGNC Symbol;Acc:HGNC:20749]	4626	0.17585362493991852	-0.1613695	No	
