NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PMM2	phosphomannomutase 2 [Source:HGNC Symbol;Acc:HGNC:9115]	422	0.5199452042579651	-0.020613754	No	
row_1	CTBP2	C-terminal binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2495]	457	0.5103350281715393	-0.013753212	No	
row_2	GTF2H1	general transcription factor IIH subunit 1 [Source:HGNC Symbol;Acc:HGNC:4655]	555	0.48368391394615173	-0.011866894	No	
row_3	B3GALT6	beta-1,3-galactosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:17978]	641	0.46647799015045166	-0.009438437	No	
row_4	TNS3	tensin 3 [Source:HGNC Symbol;Acc:HGNC:21616]	663	0.46211618185043335	-0.0025286472	No	
row_5	ARHGAP31	Rho GTPase activating protein 31 [Source:HGNC Symbol;Acc:HGNC:29216]	722	0.4513189494609833	0.0015480907	No	
row_6	IGFBP7	insulin like growth factor binding protein 7 [Source:HGNC Symbol;Acc:HGNC:5476]	912	0.4208996593952179	-0.0042636613	No	
row_7	CTSL	cathepsin L [Source:HGNC Symbol;Acc:HGNC:2537]	1291	0.3723576068878174	-0.024426684	No	
row_8	IFFO1	intermediate filament family orphan 1 [Source:HGNC Symbol;Acc:HGNC:24970]	1348	0.36524876952171326	-0.021773111	No	
row_9	C3AR1	complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]	1501	0.3474750220775604	-0.026283873	No	
row_10	NREP	neuronal regeneration related protein [Source:HGNC Symbol;Acc:HGNC:16834]	2957	0.2359948456287384	-0.12567511	No	
row_11	TLL1	tolloid like 1 [Source:HGNC Symbol;Acc:HGNC:11843]	2983	0.2346939891576767	-0.123187356	No	
row_12	VRK2	VRK serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12719]	3292	0.22004790604114532	-0.14113277	No	
row_13	PLXNC1	plexin C1 [Source:HGNC Symbol;Acc:HGNC:9106]	3364	0.21737952530384064	-0.14223796	No	
row_14	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	3758	0.20393197238445282	-0.1665337	No	
row_15	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:30034]	3826	0.20203797519207	-0.16763292	No	
row_16	KMO	kynurenine 3-monooxygenase [Source:HGNC Symbol;Acc:HGNC:6381]	4383	0.1846548318862915	-0.2038948	No	
row_17	LCP2	lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]	4580	0.17737595736980438	-0.21463527	No	
row_18	FAM13A	family with sequence similarity 13 member A [Source:HGNC Symbol;Acc:HGNC:19367]	4806	0.16927596926689148	-0.22758964	No	
row_19	TMEM165	transmembrane protein 165 [Source:HGNC Symbol;Acc:HGNC:30760]	4902	0.16491584479808807	-0.23135944	No	
row_20	MARCKS	myristoylated alanine rich protein kinase C substrate [Source:HGNC Symbol;Acc:HGNC:6759]	5225	0.15228724479675293	-0.25153512	No	
row_21	SLC8A1-AS1	SLC8A1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44102]	5523	0.13878493010997772	-0.27017492	No	
row_22	SLC25A43	solute carrier family 25 member 43 [Source:HGNC Symbol;Acc:HGNC:30557]	5793	0.12569236755371094	-0.28705758	No	
row_23	FGD4	FYVE, RhoGEF and PH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19125]	6401	0.09420434385538101	-0.3285991	No	
row_24	LINC00487	long intergenic non-protein coding RNA 487 [Source:HGNC Symbol;Acc:HGNC:42947]	6765	0.07624226063489914	-0.3530798	No	
row_25	SASH1	SAM and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19182]	7074	0.05829166620969772	-0.37396768	No	
row_26	CHFR	checkpoint with forkhead and ring finger domains [Source:HGNC Symbol;Acc:HGNC:20455]	7469	0.03786769509315491	-0.4013555	No	
row_27	TXLNA	taxilin alpha [Source:HGNC Symbol;Acc:HGNC:30685]	7513	0.035402730107307434	-0.40377572	No	
row_28	TCF7L2	transcription factor 7 like 2 [Source:HGNC Symbol;Acc:HGNC:11641]	7945	0.0112209003418684	-0.43428493	No	
row_29	PHF19	PHD finger protein 19 [Source:HGNC Symbol;Acc:HGNC:24566]	8126	0.001261262339539826	-0.44708887	No	
