NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PMM2	phosphomannomutase 2 [Source:HGNC Symbol;Acc:HGNC:9115]	422	0.5199452042579651	-0.020200439	No	
row_1	GTF2H1	general transcription factor IIH subunit 1 [Source:HGNC Symbol;Acc:HGNC:4655]	555	0.48368391394615173	-0.020413157	No	
row_2	SNTB1	syntrophin beta 1 [Source:HGNC Symbol;Acc:HGNC:11168]	764	0.4429279863834381	-0.026819896	No	
row_3	FOSL1	FOS like 1, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:13718]	811	0.4355325996875763	-0.021816485	No	
row_4	EFL1	elongation factor like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:25789]	1192	0.38687843084335327	-0.041553028	No	
row_5	JPT2	Jupiter microtubule associated homolog 2 [Source:HGNC Symbol;Acc:HGNC:14137]	1486	0.3491705060005188	-0.055803522	No	
row_6	C3AR1	complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]	1501	0.3474750220775604	-0.05019321	No	
row_7	ACSL5	acyl-CoA synthetase long chain family member 5 [Source:HGNC Symbol;Acc:HGNC:16526]	2451	0.26393768191337585	-0.11283834	No	
row_8	LAIR1	leukocyte associated immunoglobulin like receptor 1 [Source:HGNC Symbol;Acc:HGNC:6477]	2461	0.2634352743625641	-0.10846985	No	
row_9	GTPBP2	GTP binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4670]	2925	0.23812201619148254	-0.13695355	No	
row_10	GNPDA1	glucosamine-6-phosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:4417]	3058	0.23147352039813995	-0.14196299	No	
row_11	DYNC1I2	dynein cytoplasmic 1 intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:2964]	3233	0.22231635451316833	-0.15014124	No	
row_12	UBTD2	ubiquitin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24463]	3267	0.22114382684230804	-0.14828831	No	
row_13	VRK2	VRK serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12719]	3292	0.22004790604114532	-0.14581451	No	
row_14	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	3316	0.21920612454414368	-0.14328542	No	
row_15	SLC43A3	solute carrier family 43 member 3 [Source:HGNC Symbol;Acc:HGNC:17466]	3341	0.21819566190242767	-0.14084685	No	
row_16	PLXNC1	plexin C1 [Source:HGNC Symbol;Acc:HGNC:9106]	3364	0.21737952530384064	-0.1382812	No	
row_17	ATP6V1D	ATPase H+ transporting V1 subunit D [Source:HGNC Symbol;Acc:HGNC:13527]	3648	0.20745699107646942	-0.15451388	No	
row_18	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:30034]	3826	0.20203797519207	-0.16329171	No	
row_19	COX10	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 [Source:HGNC Symbol;Acc:HGNC:2260]	4356	0.18555833399295807	-0.19748099	No	
row_20	KMO	kynurenine 3-monooxygenase [Source:HGNC Symbol;Acc:HGNC:6381]	4383	0.1846548318862915	-0.19582292	No	
row_21	FAM13A	family with sequence similarity 13 member A [Source:HGNC Symbol;Acc:HGNC:19367]	4806	0.16927596926689148	-0.22269264	No	
row_22	MARCKS	myristoylated alanine rich protein kinase C substrate [Source:HGNC Symbol;Acc:HGNC:6759]	5225	0.15228724479675293	-0.24960025	No	
row_23	CKMT2-AS1	CKMT2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48997]	6459	0.09176212549209595	-0.3357695	No	
row_24	LINC00487	long intergenic non-protein coding RNA 487 [Source:HGNC Symbol;Acc:HGNC:42947]	6765	0.07624226063489914	-0.35606635	No	
row_25	ELP3	elongator acetyltransferase complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:20696]	6977	0.06386597454547882	-0.36989626	No	
row_26	HSDL2	hydroxysteroid dehydrogenase like 2 [Source:HGNC Symbol;Acc:HGNC:18572]	7035	0.060548990964889526	-0.37280887	No	
row_27	SLAMF7	SLAM family member 7 [Source:HGNC Symbol;Acc:HGNC:21394]	7848	0.016879022121429443	-0.43038446	No	
row_28	TCF7L2	transcription factor 7 like 2 [Source:HGNC Symbol;Acc:HGNC:11641]	7945	0.0112209003418684	-0.43701598	No	
row_29	GAPT	GRB2 binding adaptor protein, transmembrane [Source:HGNC Symbol;Acc:HGNC:26588]	8196	-0.0025925827212631702	-0.454792	No	
row_30	MYD88	MYD88 innate immune signal transduction adaptor [Source:HGNC Symbol;Acc:HGNC:7562]	8202	-0.0030473419465124607	-0.45509052	No	
row_31	RCAN1	regulator of calcineurin 1 [Source:HGNC Symbol;Acc:HGNC:3040]	8225	-0.004747728351503611	-0.45656887	No	
row_32	IMMT	inner membrane mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:6047]	8380	-0.012487958185374737	-0.46731174	No	
row_33	BAAT	bile acid-CoA:amino acid N-acyltransferase [Source:HGNC Symbol;Acc:HGNC:932]	8514	-0.01887470670044422	-0.47643584	No	
row_34	UFSP2	UFM1 specific peptidase 2 [Source:HGNC Symbol;Acc:HGNC:25640]	8525	-0.01974000409245491	-0.4767734	No	
row_35	MTMR12	myotubularin related protein 12 [Source:HGNC Symbol;Acc:HGNC:18191]	8560	-0.021692609414458275	-0.4787851	No	
row_36	ACAD9	acyl-CoA dehydrogenase family member 9 [Source:HGNC Symbol;Acc:HGNC:21497]	8639	-0.026097498834133148	-0.48385027	No	
row_37	ELP4	elongator acetyltransferase complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:1171]	8959	-0.04376101493835449	-0.50576305	No	
row_38	IFITM2	interferon induced transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:5413]	9043	-0.04780425503849983	-0.51077193	No	
row_39	TDRD7	tudor domain containing 7 [Source:HGNC Symbol;Acc:HGNC:30831]	9174	-0.05465681478381157	-0.51900154	No	
row_40	PIN4	peptidylprolyl cis/trans isomerase, NIMA-interacting 4 [Source:HGNC Symbol;Acc:HGNC:8992]	9194	-0.05584610998630524	-0.51929414	No	
row_41	SMC1A	structural maintenance of chromosomes 1A [Source:HGNC Symbol;Acc:HGNC:11111]	9356	-0.06436113268136978	-0.5295496	No	
row_42	RALB	RAS like proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:9840]	9370	-0.06490137428045273	-0.52924216	No	
