NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPRD1B	regulation of nuclear pre-mRNA domain containing 1B [Source:HGNC Symbol;Acc:HGNC:16209]	148	0.6325134038925171	0.0059168823	No	
row_1	FABP5	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	373	0.5344348549842834	0.0038636022	No	
row_2	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3 [Source:HGNC Symbol;Acc:HGNC:9439]	391	0.5291315913200378	0.016426366	No	
row_3	SEC24D	SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]	480	0.5049997568130493	0.02330034	No	
row_4	CRAMP1	cramped chromatin regulator homolog 1 [Source:HGNC Symbol;Acc:HGNC:14122]	511	0.4969046711921692	0.034097582	No	
row_5	ZNF207	zinc finger protein 207 [Source:HGNC Symbol;Acc:HGNC:12998]	544	0.48678505420684814	0.044488832	No	
row_6	AAK1	AP2 associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:19679]	844	0.43069949746131897	0.034389406	No	
row_7	NCAPH2	non-SMC condensin II complex subunit H2 [Source:HGNC Symbol;Acc:HGNC:25071]	973	0.41325461864471436	0.036024023	No	
row_8	SRPK2	SRSF protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:11306]	1207	0.3841204047203064	0.029416244	No	
row_9	IPP	intracisternal A particle-promoted polypeptide [Source:HGNC Symbol;Acc:HGNC:6108]	1405	0.3576970100402832	0.02468654	No	
row_10	FAM3C	FAM3 metabolism regulating signaling molecule C [Source:HGNC Symbol;Acc:HGNC:18664]	1449	0.35300204157829285	0.030811094	No	
row_11	TRIM37	tripartite motif containing 37 [Source:HGNC Symbol;Acc:HGNC:7523]	1576	0.3387671411037445	0.030649189	No	
row_12	TCF7	transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:11639]	1899	0.30821841955184937	0.015721967	No	
row_13	RNGTT	RNA guanylyltransferase and 5'-phosphatase [Source:HGNC Symbol;Acc:HGNC:10073]	1917	0.3067307472229004	0.02249515	No	
row_14	CAB39L	calcium binding protein 39 like [Source:HGNC Symbol;Acc:HGNC:20290]	2024	0.29789698123931885	0.02269482	No	
row_15	CYTH1	cytohesin 1 [Source:HGNC Symbol;Acc:HGNC:9501]	2305	0.27442264556884766	0.009881408	No	
row_16	ASB3	ankyrin repeat and SOCS box containing 3 [Source:HGNC Symbol;Acc:HGNC:16013]	2327	0.27287787199020386	0.015488223	No	
row_17	SREBF1	sterol regulatory element binding transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11289]	2413	0.2667926251888275	0.016374972	No	
row_18	STK3	serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:11406]	2567	0.2571674883365631	0.012164401	No	
row_19	CRYBG1	crystallin beta-gamma domain containing 1 [Source:HGNC Symbol;Acc:HGNC:356]	2772	0.24425803124904633	0.0039827	No	
row_20	PDE7A	phosphodiesterase 7A [Source:HGNC Symbol;Acc:HGNC:8791]	2842	0.24171192944049835	0.0053569577	No	
row_21	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	2997	0.23418767750263214	4.768956E-4	No	
row_22	HCLS1	hematopoietic cell-specific Lyn substrate 1 [Source:HGNC Symbol;Acc:HGNC:4844]	3307	0.219456285238266	-0.015834412	No	
row_23	BRDT	bromodomain testis associated [Source:HGNC Symbol;Acc:HGNC:1105]	3469	0.21396495401859283	-0.021739846	No	
row_24	SNCAIP	synuclein alpha interacting protein [Source:HGNC Symbol;Acc:HGNC:11139]	3739	0.20464567840099335	-0.03558567	No	
row_25	NSG2	neuronal vesicle trafficking associated 2 [Source:HGNC Symbol;Acc:HGNC:24955]	3909	0.19963258504867554	-0.042434417	No	
