NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LMO4	LIM domain only 4 [Source:HGNC Symbol;Acc:HGNC:6644]	19	0.7828711867332458	0.020797623	Yes	
row_1	ZC3H18	zinc finger CCCH-type containing 18 [Source:HGNC Symbol;Acc:HGNC:25091]	154	0.6285170316696167	0.029041214	Yes	
row_2	FBXW11	F-box and WD repeat domain containing 11 [Source:HGNC Symbol;Acc:HGNC:13607]	187	0.6063424944877625	0.043918744	Yes	
row_3	ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]	300	0.554487943649292	0.051633958	Yes	
row_4	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:682]	305	0.5536888837814331	0.06701504	Yes	
row_5	USP47	ubiquitin specific peptidase 47 [Source:HGNC Symbol;Acc:HGNC:20076]	310	0.5522169470787048	0.08235447	Yes	
row_6	DACH1	dachshund family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:2663]	336	0.5459899306297302	0.09602274	Yes	
row_7	NME6	NME/NM23 nucleoside diphosphate kinase 6 [Source:HGNC Symbol;Acc:HGNC:20567]	340	0.5444137454032898	0.11121258	Yes	
row_8	KCMF1	potassium channel modulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:20589]	358	0.5393862724304199	0.12526353	Yes	
row_9	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta [Source:HGNC Symbol;Acc:HGNC:5960]	375	0.5339426398277283	0.13923164	Yes	
row_10	RAI14	retinoic acid induced 14 [Source:HGNC Symbol;Acc:HGNC:14873]	382	0.5323414206504822	0.15386635	Yes	
row_11	MAPK6	mitogen-activated protein kinase 6 [Source:HGNC Symbol;Acc:HGNC:6879]	384	0.5314785838127136	0.16883259	Yes	
row_12	SEC24D	SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]	480	0.5049997568130493	0.17635782	Yes	
row_13	LAMB3	laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]	489	0.5025117993354797	0.19000617	Yes	
row_14	BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	547	0.48603397607803345	0.1997	Yes	
row_15	FXR2	FMR1 autosomal homolog 2 [Source:HGNC Symbol;Acc:HGNC:4024]	623	0.4690261483192444	0.2076312	Yes	
row_16	ZFAND3	zinc finger AN1-type containing 3 [Source:HGNC Symbol;Acc:HGNC:18019]	691	0.4568607807159424	0.21578774	Yes	
row_17	GPSM1	G protein signaling modulator 1 [Source:HGNC Symbol;Acc:HGNC:17858]	799	0.43756648898124695	0.22055076	Yes	
row_18	DHX38	DEAH-box helicase 38 [Source:HGNC Symbol;Acc:HGNC:17211]	823	0.43348655104637146	0.2311783	Yes	
row_19	GRAMD1A	GRAM domain containing 1A [Source:HGNC Symbol;Acc:HGNC:29305]	836	0.431855171918869	0.24254274	Yes	
row_20	ARFGAP3	ADP ribosylation factor GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:661]	862	0.42786622047424316	0.25286886	Yes	
row_21	REV1	REV1 DNA directed polymerase [Source:HGNC Symbol;Acc:HGNC:14060]	987	0.41179585456848145	0.25569254	Yes	
row_22	CHTOP	chromatin target of PRMT1 [Source:HGNC Symbol;Acc:HGNC:24511]	1066	0.4003101587295532	0.26146597	Yes	
row_23	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	1126	0.39375928044319153	0.26840663	Yes	
row_24	RUSC2	RUN and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23625]	1140	0.3923039734363556	0.27858084	Yes	
row_25	ARG2	arginase 2 [Source:HGNC Symbol;Acc:HGNC:664]	1153	0.3909299373626709	0.28878736	Yes	
row_26	VCP	valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666]	1166	0.3892896771430969	0.2989475	Yes	
row_27	AGBL5	AGBL carboxypeptidase 5 [Source:HGNC Symbol;Acc:HGNC:26147]	1209	0.38383573293685913	0.30681762	Yes	
row_28	POFUT2	protein O-fucosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14683]	1318	0.36829090118408203	0.30954942	Yes	
row_29	CPD	carboxypeptidase D [Source:HGNC Symbol;Acc:HGNC:2301]	1343	0.36586809158325195	0.31819257	Yes	
row_30	GRPEL2	GrpE like 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21060]	1371	0.3612079620361328	0.32649034	Yes	
row_31	ORM1	orosomucoid 1 [Source:HGNC Symbol;Acc:HGNC:8498]	1468	0.3510688245296478	0.32958913	Yes	
row_32	RPS6KA2	ribosomal protein S6 kinase A2 [Source:HGNC Symbol;Acc:HGNC:10431]	1688	0.32709163427352905	0.32325318	Yes	
row_33	TBCA	tubulin folding cofactor A [Source:HGNC Symbol;Acc:HGNC:11579]	1695	0.3263739347457886	0.33206034	Yes	
row_34	FADD	Fas associated via death domain [Source:HGNC Symbol;Acc:HGNC:3573]	1864	0.3115018606185913	0.328914	Yes	
row_35	REPS1	RALBP1 associated Eps domain containing 1 [Source:HGNC Symbol;Acc:HGNC:15578]	1882	0.3095603585243225	0.33646235	Yes	
row_36	MAS1	MAS1 proto-oncogene, G protein-coupled receptor [Source:HGNC Symbol;Acc:HGNC:6899]	1903	0.3080354630947113	0.34375396	Yes	
row_37	RASA2	RAS p21 protein activator 2 [Source:HGNC Symbol;Acc:HGNC:9872]	1970	0.30249297618865967	0.34761408	Yes	
row_38	PKP4	plakophilin 4 [Source:HGNC Symbol;Acc:HGNC:9026]	1974	0.3022973835468292	0.35595357	Yes	
row_39	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	1986	0.30160558223724365	0.363704	Yes	
row_40	PALLD	palladin, cytoskeletal associated protein [Source:HGNC Symbol;Acc:HGNC:17068]	2061	0.29379141330718994	0.36674836	Yes	
row_41	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	2288	0.2753828167915344	0.3584511	Yes	
row_42	TRAF5	TNF receptor associated factor 5 [Source:HGNC Symbol;Acc:HGNC:12035]	2318	0.27361831068992615	0.36412823	Yes	
row_43	PUM3	pumilio RNA binding family member 3 [Source:HGNC Symbol;Acc:HGNC:29676]	2392	0.26843738555908203	0.36652645	Yes	
row_44	TBK1	TANK binding kinase 1 [Source:HGNC Symbol;Acc:HGNC:11584]	2395	0.2683299481868744	0.37397608	Yes	
row_45	CLIP1	CAP-Gly domain containing linker protein 1 [Source:HGNC Symbol;Acc:HGNC:10461]	2466	0.2629863917827606	0.37643364	Yes	
row_46	TMOD1	tropomodulin 1 [Source:HGNC Symbol;Acc:HGNC:11871]	2552	0.25786203145980835	0.37767836	Yes	
row_47	GNB1	G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396]	2555	0.25779086351394653	0.38482982	Yes	
row_48	NOTCH1	notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]	2651	0.25233790278434753	0.38520634	Yes	
row_49	TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor [Source:HGNC Symbol;Acc:HGNC:11556]	2707	0.2485133707523346	0.38832223	Yes	
row_50	NELL2	neural EGFL like 2 [Source:HGNC Symbol;Acc:HGNC:7751]	2762	0.24473056197166443	0.3914023	Yes	
row_51	TAGLN2	transgelin 2 [Source:HGNC Symbol;Acc:HGNC:11554]	2774	0.2442353069782257	0.3975295	Yes	
row_52	ASB6	ankyrin repeat and SOCS box containing 6 [Source:HGNC Symbol;Acc:HGNC:17181]	2784	0.24388206005096436	0.4037891	Yes	
row_53	PDE1A	phosphodiesterase 1A [Source:HGNC Symbol;Acc:HGNC:8774]	2807	0.24288910627365112	0.40909514	Yes	
row_54	GDI1	GDP dissociation inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:4226]	2828	0.24207837879657745	0.41452062	Yes	
row_55	SMAD9	SMAD family member 9 [Source:HGNC Symbol;Acc:HGNC:6774]	3209	0.22340288758277893	0.39378944	No	
row_56	DLGAP4	DLG associated protein 4 [Source:HGNC Symbol;Acc:HGNC:24476]	3224	0.22273209691047668	0.39909467	No	
row_57	DLC1	DLC1 Rho GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:2897]	3387	0.21652188897132874	0.39368814	No	
row_58	MECP2	methyl-CpG binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6990]	3875	0.2004426270723343	0.36469007	No	
