NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	46	0.7217183709144592	0.011620413	Yes	
row_1	FLT1	fms related receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:3763]	59	0.7014725208282471	0.025245253	Yes	
row_2	SLC3A2	solute carrier family 3 member 2 [Source:HGNC Symbol;Acc:HGNC:11026]	67	0.6952615976333618	0.039098114	Yes	
row_3	DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24013]	81	0.6816264986991882	0.052242048	Yes	
row_4	RAB22A	RAB22A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9764]	97	0.6675378680229187	0.06495267	Yes	
row_5	STK38L	serine/threonine kinase 38 like [Source:HGNC Symbol;Acc:HGNC:17848]	110	0.6581031680107117	0.07768229	Yes	
row_6	MED17	mediator complex subunit 17 [Source:HGNC Symbol;Acc:HGNC:2375]	114	0.654067873954773	0.09096981	Yes	
row_7	CEP170B	centrosomal protein 170B [Source:HGNC Symbol;Acc:HGNC:20362]	134	0.6389936804771423	0.10280625	Yes	
row_8	SFPQ	splicing factor proline and glutamine rich [Source:HGNC Symbol;Acc:HGNC:10774]	138	0.6362364888191223	0.115725696	Yes	
row_9	GPRC5A	G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]	142	0.6355069875717163	0.12863009	Yes	
row_10	NRIP3	nuclear receptor interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:1167]	195	0.5998173356056213	0.13730675	Yes	
row_11	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	218	0.5885762572288513	0.14788873	Yes	
row_12	MAMLD1	mastermind like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:2568]	263	0.5727270841598511	0.15657616	Yes	
row_13	EIF4E	eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:HGNC:3287]	264	0.5720542669296265	0.16838449	Yes	
row_14	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	275	0.5658634901046753	0.17935258	Yes	
row_15	LUC7L	LUC7 like [Source:HGNC Symbol;Acc:HGNC:6723]	313	0.5516369938850403	0.1881034	Yes	
row_16	HGS	hepatocyte growth factor-regulated tyrosine kinase substrate [Source:HGNC Symbol;Acc:HGNC:4897]	314	0.5515076518058777	0.1994876	Yes	
row_17	TAB2	TGF-beta activated kinase 1 (MAP3K7) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17075]	366	0.5369912981987	0.20693865	Yes	
row_18	LPIN1	lipin 1 [Source:HGNC Symbol;Acc:HGNC:13345]	379	0.533367395401001	0.21709347	Yes	
row_19	MAPK8	mitogen-activated protein kinase 8 [Source:HGNC Symbol;Acc:HGNC:6881]	385	0.5311881303787231	0.22770202	Yes	
row_20	OSGIN1	oxidative stress induced growth inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:30093]	458	0.5101509094238281	0.23310287	Yes	
row_21	TNFSF14	TNF superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11930]	463	0.5098514556884766	0.24334225	Yes	
row_22	FBXO11	F-box protein 11 [Source:HGNC Symbol;Acc:HGNC:13590]	501	0.49965906143188477	0.25102013	Yes	
row_23	SUPT6H	SPT6 homolog, histone chaperone and transcription elongation factor [Source:HGNC Symbol;Acc:HGNC:11470]	655	0.46332821249961853	0.24968359	Yes	
row_24	USP7	ubiquitin specific peptidase 7 [Source:HGNC Symbol;Acc:HGNC:12630]	704	0.4537774920463562	0.25563067	Yes	
row_25	AGFG1	ArfGAP with FG repeats 1 [Source:HGNC Symbol;Acc:HGNC:5175]	778	0.44029104709625244	0.25951827	Yes	
row_26	ZNF274	zinc finger protein 274 [Source:HGNC Symbol;Acc:HGNC:13068]	791	0.4385029077529907	0.2677149	Yes	
row_27	TNS4	tensin 4 [Source:HGNC Symbol;Acc:HGNC:24352]	796	0.4378214478492737	0.2764674	Yes	
row_28	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18080]	810	0.4356982111930847	0.2845349	Yes	
row_29	ZNF674	zinc finger protein 674 [Source:HGNC Symbol;Acc:HGNC:17625]	824	0.4333670735359192	0.29255426	Yes	
row_30	RBM3	RNA binding motif protein 3 [Source:HGNC Symbol;Acc:HGNC:9900]	911	0.4209173023700714	0.2951157	Yes	
row_31	ZNF335	zinc finger protein 335 [Source:HGNC Symbol;Acc:HGNC:15807]	990	0.41152241826057434	0.29805323	Yes	
row_32	PRKCD	protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]	1010	0.40879714488983154	0.30513793	Yes	
row_33	PRDM2	PR/SET domain 2 [Source:HGNC Symbol;Acc:HGNC:9347]	1013	0.4081885516643524	0.31342128	Yes	
row_34	ANXA5	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	1019	0.406928151845932	0.32146487	Yes	
row_35	CD82	CD82 molecule [Source:HGNC Symbol;Acc:HGNC:6210]	1040	0.40310272574424744	0.3283608	Yes	
row_36	BTG3	BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132]	1058	0.40097105503082275	0.33542645	Yes	
row_37	KDM5C	lysine demethylase 5C [Source:HGNC Symbol;Acc:HGNC:11114]	1116	0.3950375020503998	0.33951983	Yes	
row_38	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	1160	0.39005395770072937	0.34450775	Yes	
row_39	AUTS2	activator of transcription and developmental regulator AUTS2 [Source:HGNC Symbol;Acc:HGNC:14262]	1182	0.38776668906211853	0.3510159	Yes	
row_40	ENOSF1	enolase superfamily member 1 [Source:HGNC Symbol;Acc:HGNC:30365]	1193	0.3864179849624634	0.35827985	Yes	
row_41	MYH7B	myosin heavy chain 7B [Source:HGNC Symbol;Acc:HGNC:15906]	1214	0.3833349645137787	0.36476776	Yes	
row_42	NCS1	neuronal calcium sensor 1 [Source:HGNC Symbol;Acc:HGNC:3953]	1222	0.38243043422698975	0.37216315	Yes	
row_43	NPIPB15	nuclear pore complex interacting protein family member B15 [Source:HGNC Symbol;Acc:HGNC:34409]	1255	0.37652692198753357	0.37765557	Yes	
row_44	STX4	syntaxin 4 [Source:HGNC Symbol;Acc:HGNC:11439]	1274	0.3744964003562927	0.3841035	Yes	
row_45	RHEB	Ras homolog, mTORC1 binding [Source:HGNC Symbol;Acc:HGNC:10011]	1281	0.37371450662612915	0.39139023	Yes	
row_46	CORO1C	coronin 1C [Source:HGNC Symbol;Acc:HGNC:2254]	1316	0.36840543150901794	0.3965725	Yes	
row_47	FBXO28	F-box protein 28 [Source:HGNC Symbol;Acc:HGNC:29046]	1325	0.36768946051597595	0.40359238	Yes	
row_48	PPP1CB	protein phosphatase 1 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9282]	1354	0.36435166001319885	0.40911847	Yes	
row_49	KDM6B	lysine demethylase 6B [Source:HGNC Symbol;Acc:HGNC:29012]	1360	0.36316660046577454	0.41625872	Yes	
row_50	NR3C1	nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]	1363	0.36254358291625977	0.42359984	Yes	
row_51	ASCC1	activating signal cointegrator 1 complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24268]	1365	0.36208802461624146	0.43100283	Yes	
row_52	HS2ST1	heparan sulfate 2-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5193]	1536	0.3422992527484894	0.42595685	Yes	
row_53	LARP4B	La ribonucleoprotein 4B [Source:HGNC Symbol;Acc:HGNC:28987]	1560	0.34003353118896484	0.43133715	Yes	
row_54	CHRNA10	cholinergic receptor nicotinic alpha 10 subunit [Source:HGNC Symbol;Acc:HGNC:13800]	1570	0.33910658955574036	0.43769577	Yes	
row_55	DDX21	DExD-box helicase 21 [Source:HGNC Symbol;Acc:HGNC:2744]	1639	0.33211687207221985	0.43970665	Yes	
row_56	DLEU2	deleted in lymphocytic leukemia 2 [Source:HGNC Symbol;Acc:HGNC:13748]	1714	0.3249516189098358	0.44114214	Yes	
row_57	SH2B3	SH2B adaptor protein 3 [Source:HGNC Symbol;Acc:HGNC:29605]	1846	0.31328314542770386	0.43827578	Yes	
row_58	CHSY1	chondroitin sulfate synthase 1 [Source:HGNC Symbol;Acc:HGNC:17198]	1991	0.3006725311279297	0.43422294	Yes	
row_59	RAB7A	RAB7A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9788]	2014	0.29870569705963135	0.4388214	Yes	
row_60	ARF4	ADP ribosylation factor 4 [Source:HGNC Symbol;Acc:HGNC:655]	2072	0.29324570298194885	0.4408136	Yes	
