NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KLHL2	kelch like family member 2 [Source:HGNC Symbol;Acc:HGNC:6353]	79	0.6820167303085327	0.017744673	Yes	
row_1	FMN1	formin 1 [Source:HGNC Symbol;Acc:HGNC:3768]	109	0.6584533452987671	0.038237143	Yes	
row_2	LHFPL2	LHFPL tetraspan subfamily member 2 [Source:HGNC Symbol;Acc:HGNC:6588]	116	0.6528508067131042	0.06017297	Yes	
row_3	TRPS1	transcriptional repressor GATA binding 1 [Source:HGNC Symbol;Acc:HGNC:12340]	173	0.6184477210044861	0.07737545	Yes	
row_4	KLHL28	kelch like family member 28 [Source:HGNC Symbol;Acc:HGNC:19741]	182	0.6139039993286133	0.09783502	Yes	
row_5	ZFYVE1	zinc finger FYVE-type containing 1 [Source:HGNC Symbol;Acc:HGNC:13180]	211	0.5935320258140564	0.1161748	Yes	
row_6	E2F3	E2F transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3115]	277	0.5650530457496643	0.13090844	Yes	
row_7	TPST1	tyrosylprotein sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:12020]	411	0.5229324698448181	0.1393646	Yes	
row_8	ZNF438	zinc finger protein 438 [Source:HGNC Symbol;Acc:HGNC:21029]	416	0.5208738446235657	0.15692195	Yes	
row_9	FBXO30	F-box protein 30 [Source:HGNC Symbol;Acc:HGNC:15600]	462	0.5099213719367981	0.17118911	Yes	
row_10	SNX22	sorting nexin 22 [Source:HGNC Symbol;Acc:HGNC:16315]	554	0.4836947023868561	0.18128738	Yes	
row_11	RPS6KA3	ribosomal protein S6 kinase A3 [Source:HGNC Symbol;Acc:HGNC:10432]	628	0.4683160185813904	0.19213866	Yes	
row_12	PUM1	pumilio RNA binding family member 1 [Source:HGNC Symbol;Acc:HGNC:14957]	639	0.46687081456184387	0.20741962	Yes	
