NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC1A5	solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943]	219	0.5880521535873413	-0.00345469	No	
row_1	TBC1D2B	TBC1 domain family member 2B [Source:HGNC Symbol;Acc:HGNC:29183]	344	0.5430565476417542	-0.0010701977	No	
row_2	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	507	0.4985719919204712	-0.0023122728	No	
row_3	SIK3	SIK family kinase 3 [Source:HGNC Symbol;Acc:HGNC:29165]	615	0.4707919955253601	-2.0950809E-4	No	
row_4	VOPP1	VOPP1 WW domain binding protein [Source:HGNC Symbol;Acc:HGNC:34518]	1038	0.4035138785839081	-0.0219406	No	
row_5	PLEK	pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]	1202	0.38489830493927	-0.025602425	No	
row_6	STAT5A	signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]	1368	0.3619292080402374	-0.029881291	No	
row_7	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	1398	0.35855036973953247	-0.024539903	No	
row_8	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1833	0.31452319025993347	-0.04896455	No	
row_9	EDEM1	ER degradation enhancing alpha-mannosidase like protein 1 [Source:HGNC Symbol;Acc:HGNC:18967]	1975	0.3021637499332428	-0.052768156	No	
row_10	TGFBR2	transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773]	2271	0.27668142318725586	-0.0680708	No	
row_11	CD55	CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]	2376	0.2698001265525818	-0.06990678	No	
row_12	GGPS1	geranylgeranyl diphosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:4249]	2407	0.2673895061016083	-0.06652002	No	
row_13	GK	glycerol kinase [Source:HGNC Symbol;Acc:HGNC:4289]	2463	0.26328542828559875	-0.06499932	No	
row_14	TBC1D9	TBC1 domain family member 9 [Source:HGNC Symbol;Acc:HGNC:21710]	2506	0.26026204228401184	-0.06261483	No	
row_15	TNFAIP2	TNF alpha induced protein 2 [Source:HGNC Symbol;Acc:HGNC:11895]	2600	0.2552546560764313	-0.063967556	No	
row_16	CRYBG1	crystallin beta-gamma domain containing 1 [Source:HGNC Symbol;Acc:HGNC:356]	2772	0.24425803124904633	-0.07110501	No	
row_17	ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	2796	0.2432873249053955	-0.067717455	No	
row_18	RXYLT1	ribitol xylosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:13530]	2860	0.24072255194187164	-0.06723291	No	
row_19	FZD7	frizzled class receptor 7 [Source:HGNC Symbol;Acc:HGNC:4045]	2892	0.23939095437526703	-0.064495854	No	
row_20	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	3017	0.23338356614112854	-0.068509206	No	
row_21	FCHSD2	FCH and double SH3 domains 2 [Source:HGNC Symbol;Acc:HGNC:29114]	3283	0.22035083174705505	-0.082838126	No	
row_22	VRK2	VRK serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12719]	3292	0.22004790604114532	-0.07886194	No	
row_23	SLC35D2	solute carrier family 35 member D2 [Source:HGNC Symbol;Acc:HGNC:20799]	3592	0.20937944948673248	-0.095840044	No	
row_24	ALDH5A1	aldehyde dehydrogenase 5 family member A1 [Source:HGNC Symbol;Acc:HGNC:408]	3904	0.19969485700130463	-0.113873236	No	
row_25	N4BP2L2	NEDD4 binding protein 2 like 2 [Source:HGNC Symbol;Acc:HGNC:26916]	4532	0.17889593541622162	-0.15485127	No	
row_26	PLCG2	phospholipase C gamma 2 [Source:HGNC Symbol;Acc:HGNC:9066]	4955	0.1625293493270874	-0.18156111	No	
row_27	NPAT	nuclear protein, coactivator of histone transcription [Source:HGNC Symbol;Acc:HGNC:7896]	5165	0.15475872159004211	-0.19325514	No	
row_28	PTK2B	protein tyrosine kinase 2 beta [Source:HGNC Symbol;Acc:HGNC:9612]	5322	0.1480233371257782	-0.20131205	No	
row_29	ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4 [Source:HGNC Symbol;Acc:HGNC:14573]	5994	0.11427760869264603	-0.24676012	No	
row_30	IER2	immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]	6348	0.09661462903022766	-0.26991546	No	
row_31	POLR2A	RNA polymerase II subunit A [Source:HGNC Symbol;Acc:HGNC:9187]	6718	0.07842326164245605	-0.29458666	No	
row_32	DGKZ	diacylglycerol kinase zeta [Source:HGNC Symbol;Acc:HGNC:2857]	6866	0.07025245577096939	-0.30360907	No	
row_33	SASH1	SAM and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19182]	7074	0.05829166620969772	-0.3171536	No	
row_34	CKAP5	cytoskeleton associated protein 5 [Source:HGNC Symbol;Acc:HGNC:28959]	7154	0.054746370762586594	-0.3216513	No	
row_35	ANOS1	anosmin 1 [Source:HGNC Symbol;Acc:HGNC:6211]	7281	0.0485069714486599	-0.32962674	No	
row_36	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]	7541	0.033993709832429886	-0.34737828	No	
row_37	FLOT2	flotillin 2 [Source:HGNC Symbol;Acc:HGNC:3758]	7881	0.015089585445821285	-0.37122044	No	
row_38	SH2B2	SH2B adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:17381]	7914	0.013243825174868107	-0.37322682	No	
row_39	CSTF3	cleavage stimulation factor subunit 3 [Source:HGNC Symbol;Acc:HGNC:2485]	7977	0.009723798371851444	-0.37744346	No	
row_40	HCK	HCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4840]	7994	0.00902518630027771	-0.37839702	No	
row_41	GGH	gamma-glutamyl hydrolase [Source:HGNC Symbol;Acc:HGNC:4248]	8172	-0.0014873038744553924	-0.39097762	No	
row_42	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:HGNC:4944]	8179	-0.001836752169765532	-0.39136717	No	
row_43	DEAF1	DEAF1 transcription factor [Source:HGNC Symbol;Acc:HGNC:14677]	8243	-0.0059021045453846455	-0.395734	No	
row_44	CHI3L1	chitinase 3 like 1 [Source:HGNC Symbol;Acc:HGNC:1932]	8292	-0.008380468934774399	-0.3989809	No	
row_45	RPL37	ribosomal protein L37 [Source:HGNC Symbol;Acc:HGNC:10347]	8480	-0.01747010089457035	-0.4119438	No	
row_46	PRCP	prolylcarboxypeptidase [Source:HGNC Symbol;Acc:HGNC:9344]	8555	-0.021331211552023888	-0.4167756	No	
row_47	PRPF3	pre-mRNA processing factor 3 [Source:HGNC Symbol;Acc:HGNC:17348]	8559	-0.021670375019311905	-0.41654167	No	
row_48	FCER1G	Fc epsilon receptor Ig [Source:HGNC Symbol;Acc:HGNC:3611]	8591	-0.023621458560228348	-0.41826242	No	
row_49	CEP250	centrosomal protein 250 [Source:HGNC Symbol;Acc:HGNC:1859]	8669	-0.0273270383477211	-0.42318413	No	
row_50	WDR7	WD repeat domain 7 [Source:HGNC Symbol;Acc:HGNC:13490]	8948	-0.04304095730185509	-0.44210252	No	
row_51	ARF3	ADP ribosylation factor 3 [Source:HGNC Symbol;Acc:HGNC:654]	9135	-0.052633192390203476	-0.45426768	No	
row_52	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	9201	-0.05643167346715927	-0.4577331	No	
row_53	PTPRA	protein tyrosine phosphatase receptor type A [Source:HGNC Symbol;Acc:HGNC:9664]	9427	-0.06796116381883621	-0.47236037	No	
row_54	IFI27	interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]	9699	-0.08313531428575516	-0.48995167	No	
row_55	PHB2	prohibitin 2 [Source:HGNC Symbol;Acc:HGNC:30306]	9700	-0.08313572406768799	-0.48823407	No	
row_56	INSIG2	insulin induced gene 2 [Source:HGNC Symbol;Acc:HGNC:20452]	9790	-0.08757986128330231	-0.49276596	No	
row_57	ETHE1	ETHE1 persulfide dioxygenase [Source:HGNC Symbol;Acc:HGNC:23287]	9852	-0.0914711207151413	-0.49522245	No	
row_58	SLC20A1	solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]	9890	-0.09323366731405258	-0.49593252	No	
row_59	CEBPA	CCAAT enhancer binding protein alpha [Source:HGNC Symbol;Acc:HGNC:1833]	9959	-0.09770457446575165	-0.49875897	No	
row_60	CCR2	C-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:1603]	10028	-0.10151955485343933	-0.5015066	No	
row_61	S100A8	S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]	10090	-0.10500930994749069	-0.5036834	No	
row_62	CIC	capicua transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:14214]	10096	-0.10519328713417053	-0.50186634	No	
