NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	1	0.9333540797233582	0.01823493	Yes	
row_1	INPP1	inositol polyphosphate-1-phosphatase [Source:HGNC Symbol;Acc:HGNC:6071]	3	0.8832379579544067	0.03548691	Yes	
row_2	SERPINB8	serpin family B member 8 [Source:HGNC Symbol;Acc:HGNC:8952]	17	0.7853318452835083	0.04996276	Yes	
row_3	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	33	0.7488235235214233	0.06357991	Yes	
row_4	KANK1	KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:19309]	50	0.7150955200195312	0.07646422	Yes	
row_5	SLC3A2	solute carrier family 3 member 2 [Source:HGNC Symbol;Acc:HGNC:11026]	67	0.6952615976333618	0.08895952	Yes	
row_6	DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24013]	81	0.6816264986991882	0.10140136	Yes	
row_7	SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	84	0.6779939532279968	0.114556484	Yes	
row_8	SH3GL1	SH3 domain containing GRB2 like 1, endophilin A2 [Source:HGNC Symbol;Acc:HGNC:10830]	91	0.6701400876045227	0.12727228	Yes	
row_9	TXNRD1	thioredoxin reductase 1 [Source:HGNC Symbol;Acc:HGNC:12437]	144	0.6340793371200562	0.136	Yes	
row_10	NQO1	NAD(P)H quinone dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:2874]	200	0.5986523628234863	0.14381893	Yes	
row_11	DGKA	diacylglycerol kinase alpha [Source:HGNC Symbol;Acc:HGNC:2849]	214	0.5915232300758362	0.15449354	Yes	
row_12	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	244	0.5783593058586121	0.16376881	Yes	
row_13	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	249	0.5771719217300415	0.17480382	Yes	
row_14	DNMBP	dynamin binding protein [Source:HGNC Symbol;Acc:HGNC:30373]	265	0.5712419748306274	0.184938	Yes	
row_15	EMD	emerin [Source:HGNC Symbol;Acc:HGNC:3331]	285	0.5631877183914185	0.19462892	Yes	
row_16	ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]	300	0.554487943649292	0.20450582	Yes	
row_17	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	308	0.5526415109634399	0.21484575	Yes	
row_18	FABP5	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	373	0.5344348549842834	0.22076325	Yes	
row_19	MIR22HG	MIR22 host gene [Source:HGNC Symbol;Acc:HGNC:28219]	408	0.523906409740448	0.2286139	Yes	
row_20	UBE2H	ubiquitin conjugating enzyme E2 H [Source:HGNC Symbol;Acc:HGNC:12484]	423	0.5198616981506348	0.23781165	Yes	
row_21	GNAQ	G protein subunit alpha q [Source:HGNC Symbol;Acc:HGNC:4390]	430	0.5172644257545471	0.24752904	Yes	
row_22	FUBP1	far upstream element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4004]	435	0.5162381529808044	0.25736895	Yes	
row_23	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]	444	0.5142912864685059	0.26688537	Yes	
row_24	TNFSF14	TNF superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11930]	463	0.5098514556884766	0.2756015	Yes	
row_25	MAPKAPK2	MAPK activated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:6887]	505	0.4987385869026184	0.2824593	Yes	
row_26	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	512	0.49663251638412476	0.291772	Yes	
row_27	PRPF4	pre-mRNA processing factor 4 [Source:HGNC Symbol;Acc:HGNC:17349]	671	0.4605956971645355	0.28953704	Yes	
row_28	RAB35	RAB35, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9774]	685	0.45878866314888	0.29760826	Yes	
row_29	TOB2	transducer of ERBB2, 2 [Source:HGNC Symbol;Acc:HGNC:11980]	693	0.4563462436199188	0.3060595	Yes	
row_30	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	771	0.44148096442222595	0.3092267	Yes	
row_31	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	773	0.44113028049468994	0.31780744	Yes	
row_32	CXCL3	C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604]	777	0.4406870901584625	0.32623684	Yes	
row_33	BID	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]	779	0.44025570154190063	0.33480045	Yes	
row_34	TNFRSF11A	TNF receptor superfamily member 11a [Source:HGNC Symbol;Acc:HGNC:11908]	793	0.43829843401908875	0.34246978	Yes	
row_35	FERMT2	FERM domain containing kindlin 2 [Source:HGNC Symbol;Acc:HGNC:15767]	876	0.42548102140426636	0.34496656	Yes	
row_36	STK10	serine/threonine kinase 10 [Source:HGNC Symbol;Acc:HGNC:11388]	882	0.4243403673171997	0.3529327	Yes	
row_37	SH3BP5	SH3 domain binding protein 5 [Source:HGNC Symbol;Acc:HGNC:10827]	892	0.4225374460220337	0.3605782	Yes	
row_38	GNA15	G protein subunit alpha 15 [Source:HGNC Symbol;Acc:HGNC:4383]	928	0.418948233127594	0.36629894	Yes	
row_39	SLC36A1	solute carrier family 36 member 1 [Source:HGNC Symbol;Acc:HGNC:18761]	941	0.4176500737667084	0.37363464	Yes	
row_40	HMGA1	high mobility group AT-hook 1 [Source:HGNC Symbol;Acc:HGNC:5010]	959	0.41458579897880554	0.3805536	Yes	
row_41	VSIG4	V-set and immunoglobulin domain containing 4 [Source:HGNC Symbol;Acc:HGNC:17032]	976	0.41299179196357727	0.38751262	Yes	
row_42	PDXK	pyridoxal kinase [Source:HGNC Symbol;Acc:HGNC:8819]	989	0.41166743636131287	0.394731	Yes	
row_43	SEC62	SEC62 homolog, preprotein translocation factor [Source:HGNC Symbol;Acc:HGNC:11846]	1021	0.406531423330307	0.40049347	Yes	
row_44	CD163	CD163 molecule [Source:HGNC Symbol;Acc:HGNC:1631]	1025	0.40558910369873047	0.40823448	Yes	
row_45	CTSK	cathepsin K [Source:HGNC Symbol;Acc:HGNC:2536]	1060	0.40061163902282715	0.4136669	Yes	
row_46	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6866]	1090	0.3981000781059265	0.41940668	Yes	
row_47	PHLDB1	pleckstrin homology like domain family B member 1 [Source:HGNC Symbol;Acc:HGNC:23697]	1101	0.3968054950237274	0.42647618	Yes	
row_48	AHNAK	AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]	1102	0.39672696590423584	0.43425733	Yes	
row_49	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	1134	0.3928318917751312	0.43975115	Yes	
row_50	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	1160	0.39005395770072937	0.4456184	Yes	
row_51	TPD52L2	TPD52 like 2 [Source:HGNC Symbol;Acc:HGNC:12007]	1197	0.38601288199424744	0.45062184	Yes	
row_52	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	1246	0.3789713680744171	0.4546313	Yes	
row_53	ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]	1250	0.3776719868183136	0.46182477	Yes	
row_54	CTSL	cathepsin L [Source:HGNC Symbol;Acc:HGNC:2537]	1291	0.3723576068878174	0.46627513	Yes	
row_55	DLST	dihydrolipoamide S-succinyltransferase [Source:HGNC Symbol;Acc:HGNC:2911]	1301	0.37029463052749634	0.47289595	Yes	
row_56	PTOV1	PTOV1 extended AT-hook containing adaptor protein [Source:HGNC Symbol;Acc:HGNC:9632]	1340	0.36616867780685425	0.47736755	Yes	
row_57	ANPEP	alanyl aminopeptidase, membrane [Source:HGNC Symbol;Acc:HGNC:500]	1347	0.3653119206428528	0.48410463	Yes	
row_58	HTRA1	HtrA serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:9476]	1350	0.3649233281612396	0.49111938	Yes	
row_59	SLC16A3	solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924]	1447	0.35313379764556885	0.49119866	Yes	
row_60	CAMSAP1	calmodulin regulated spectrin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:19946]	1488	0.3489491939544678	0.49518988	Yes	
row_61	OLFML2B	olfactomedin like 2B [Source:HGNC Symbol;Acc:HGNC:24558]	1540	0.3420456051826477	0.49826115	Yes	
row_62	MRC1	mannose receptor C-type 1 [Source:HGNC Symbol;Acc:HGNC:7228]	1553	0.34079307317733765	0.5040894	Yes	
row_63	TP53BP2	tumor protein p53 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:12000]	1645	0.33147281408309937	0.50410044	Yes	
row_64	CPQ	carboxypeptidase Q [Source:HGNC Symbol;Acc:HGNC:16910]	1666	0.3292842209339142	0.5091324	Yes	
row_65	LMNA	lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636]	1674	0.32847142219543457	0.5150756	Yes	
row_66	RPS6KA2	ribosomal protein S6 kinase A2 [Source:HGNC Symbol;Acc:HGNC:10431]	1688	0.32709163427352905	0.5205638	Yes	
