NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase [Source:HGNC Symbol;Acc:HGNC:8127]	304	0.5537710189819336	-0.010057445	No	
row_1	DIAPH2	diaphanous related formin 2 [Source:HGNC Symbol;Acc:HGNC:2877]	393	0.5290462374687195	-0.005233576	No	
row_2	ILK	integrin linked kinase [Source:HGNC Symbol;Acc:HGNC:6040]	498	0.49998846650123596	-0.0021599971	No	
row_3	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	538	0.488974392414093	0.005316787	No	
row_4	XPOT	exportin for tRNA [Source:HGNC Symbol;Acc:HGNC:12826]	716	0.4516933858394623	0.0021726475	No	
row_5	VOPP1	VOPP1 WW domain binding protein [Source:HGNC Symbol;Acc:HGNC:34518]	1038	0.4035138785839081	-0.012248812	No	
row_6	USP13	ubiquitin specific peptidase 13 [Source:HGNC Symbol;Acc:HGNC:12611]	1603	0.3358892500400543	-0.04541382	No	
row_7	PRMT3	protein arginine methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:30163]	1690	0.32690784335136414	-0.044687662	No	
row_8	WDR37	WD repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:31406]	1717	0.32454514503479004	-0.0397333	No	
row_9	TBC1D22A	TBC1 domain family member 22A [Source:HGNC Symbol;Acc:HGNC:1309]	1754	0.32130980491638184	-0.03555977	No	
row_10	KLHL21	kelch like family member 21 [Source:HGNC Symbol;Acc:HGNC:29041]	2058	0.2940540313720703	-0.050994065	No	
row_11	GGPS1	geranylgeranyl diphosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:4249]	2407	0.2673895061016083	-0.07019603	No	
row_12	TBC1D9	TBC1 domain family member 9 [Source:HGNC Symbol;Acc:HGNC:21710]	2506	0.26026204228401184	-0.071723476	No	
row_13	ZNF384	zinc finger protein 384 [Source:HGNC Symbol;Acc:HGNC:11955]	2599	0.2553338408470154	-0.07292652	No	
row_14	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	2605	0.25505727529525757	-0.067932606	No	
row_15	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	3017	0.23338356614112854	-0.09233958	No	
row_16	ITGB3BP	integrin subunit beta 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6157]	3112	0.22843006253242493	-0.09424959	No	
row_17	MED12	mediator complex subunit 12 [Source:HGNC Symbol;Acc:HGNC:11957]	3329	0.21854525804519653	-0.105065085	No	
row_18	SNX19	sorting nexin 19 [Source:HGNC Symbol;Acc:HGNC:21532]	3367	0.2173043042421341	-0.1031446	No	
row_19	R3HDM2	R3H domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29167]	3704	0.20562110841274261	-0.122786745	No	
row_20	ALDH5A1	aldehyde dehydrogenase 5 family member A1 [Source:HGNC Symbol;Acc:HGNC:408]	3904	0.19969485700130463	-0.13278563	No	
row_21	PLCG2	phospholipase C gamma 2 [Source:HGNC Symbol;Acc:HGNC:9066]	4955	0.1625293493270874	-0.2042372	No	
row_22	RNF113A	ring finger protein 113A [Source:HGNC Symbol;Acc:HGNC:12974]	5102	0.15716880559921265	-0.21134946	No	
row_23	NPAT	nuclear protein, coactivator of histone transcription [Source:HGNC Symbol;Acc:HGNC:7896]	5165	0.15475872159004211	-0.21252342	No	
row_24	FH	fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]	5364	0.14540109038352966	-0.22358994	No	
row_25	MGAT1	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7044]	5517	0.13893258571624756	-0.23151253	No	
row_26	AKAP9	A-kinase anchoring protein 9 [Source:HGNC Symbol;Acc:HGNC:379]	5779	0.12607043981552124	-0.24747622	No	
row_27	IER2	immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]	6348	0.09661462903022766	-0.28594574	No	
row_28	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	6381	0.09513695538043976	-0.2862315	No	
row_29	FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	6393	0.09435365349054337	-0.28503647	No	
row_30	ZDHHC18	zinc finger DHHC-type palmitoyltransferase 18 [Source:HGNC Symbol;Acc:HGNC:20712]	6555	0.08624545484781265	-0.29470596	No	
row_31	VWA5A	von Willebrand factor A domain containing 5A [Source:HGNC Symbol;Acc:HGNC:6658]	6627	0.08314979076385498	-0.29802373	No	
row_32	RYK	receptor like tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:10481]	6807	0.07445171475410461	-0.30922395	No	
row_33	DGKZ	diacylglycerol kinase zeta [Source:HGNC Symbol;Acc:HGNC:2857]	6866	0.07025245577096939	-0.31188545	No	
row_34	CBFA2T2	CBFA2/RUNX1 partner transcriptional co-repressor 2 [Source:HGNC Symbol;Acc:HGNC:1536]	7122	0.05605592578649521	-0.32889006	No	
row_35	AFG3L2	AFG3 like matrix AAA peptidase subunit 2 [Source:HGNC Symbol;Acc:HGNC:315]	7364	0.043679770082235336	-0.34515616	No	
row_36	MYO1F	myosin IF [Source:HGNC Symbol;Acc:HGNC:7600]	7573	0.032000184059143066	-0.35931447	No	
row_37	TWF2	twinfilin actin binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9621]	7808	0.019405117258429527	-0.3755907	No	
