NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase [Source:HGNC Symbol;Acc:HGNC:8127]	304	0.5537710189819336	-0.010286033	No	
row_1	TBC1D2B	TBC1 domain family member 2B [Source:HGNC Symbol;Acc:HGNC:29183]	344	0.5430565476417542	-0.0019055037	No	
row_2	CELF1	CUGBP Elav-like family member 1 [Source:HGNC Symbol;Acc:HGNC:2549]	496	0.5000537633895874	-0.0023910282	No	
row_3	ILK	integrin linked kinase [Source:HGNC Symbol;Acc:HGNC:6040]	498	0.49998846650123596	0.007812719	No	
row_4	TERF2	telomeric repeat binding factor 2 [Source:HGNC Symbol;Acc:HGNC:11729]	742	0.4478372037410736	-3.027928E-4	No	
row_5	ZNF274	zinc finger protein 274 [Source:HGNC Symbol;Acc:HGNC:13068]	791	0.4385029077529907	0.0052876687	No	
row_6	STAT5A	signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]	1368	0.3619292080402374	-0.028326457	No	
row_7	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	1398	0.35855036973953247	-0.023024917	No	
row_8	PLPP3	phospholipid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:9229]	1619	0.3339231610298157	-0.03184219	No	
row_9	VPS13B	vacuolar protein sorting 13 homolog B [Source:HGNC Symbol;Acc:HGNC:2183]	1868	0.31077083945274353	-0.04313084	No	
row_10	TRIO	trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303]	1940	0.30452632904052734	-0.041932892	No	
row_11	KDM3B	lysine demethylase 3B [Source:HGNC Symbol;Acc:HGNC:1337]	2320	0.2733665406703949	-0.06332669	No	
row_12	TNFAIP2	TNF alpha induced protein 2 [Source:HGNC Symbol;Acc:HGNC:11895]	2600	0.2552546560764313	-0.07796562	No	
row_13	XPO6	exportin 6 [Source:HGNC Symbol;Acc:HGNC:19733]	2642	0.2530921399593353	-0.075686544	No	
row_14	VPS8	VPS8 subunit of CORVET complex [Source:HGNC Symbol;Acc:HGNC:29122]	2775	0.24420534074306488	-0.08007574	No	
row_15	PPFIBP2	PPFIA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9250]	3217	0.2230215221643448	-0.10692293	No	
row_16	SERBP1	SERPINE1 mRNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17860]	3455	0.21436196565628052	-0.11940885	No	
row_17	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	3758	0.20393197238445282	-0.13674171	No	
row_18	ZMIZ2	zinc finger MIZ-type containing 2 [Source:HGNC Symbol;Acc:HGNC:22229]	4002	0.19693036377429962	-0.15001349	No	
row_19	PLCG2	phospholipase C gamma 2 [Source:HGNC Symbol;Acc:HGNC:9066]	4955	0.1625293493270874	-0.2145232	No	
row_20	RNF113A	ring finger protein 113A [Source:HGNC Symbol;Acc:HGNC:12974]	5102	0.15716880559921265	-0.22169882	No	
row_21	PSTPIP1	proline-serine-threonine phosphatase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9580]	5153	0.1553381085395813	-0.22207008	No	
row_22	PTK2B	protein tyrosine kinase 2 beta [Source:HGNC Symbol;Acc:HGNC:9612]	5322	0.1480233371257782	-0.23100162	No	
row_23	MGAT1	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7044]	5517	0.13893258571624756	-0.24197301	No	
row_24	CCL18	C-C motif chemokine ligand 18 [Source:HGNC Symbol;Acc:HGNC:10616]	5916	0.11909160017967224	-0.26789138	No	
row_25	COG5	component of oligomeric golgi complex 5 [Source:HGNC Symbol;Acc:HGNC:14857]	5926	0.11859960108995438	-0.26609552	No	
row_26	FRAT2	FRAT regulator of WNT signaling pathway 2 [Source:HGNC Symbol;Acc:HGNC:16048]	6397	0.09424615651369095	-0.29765597	No	
row_27	FAM168A	family with sequence similarity 168 member A [Source:HGNC Symbol;Acc:HGNC:28999]	6515	0.08888524025678635	-0.30416802	No	
row_28	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase [Source:HGNC Symbol;Acc:HGNC:21396]	7166	0.05405919626355171	-0.34938306	No	
row_29	BBX	BBX high mobility group box domain containing [Source:HGNC Symbol;Acc:HGNC:14422]	7167	0.053989022970199585	-0.34827358	No	
row_30	MPO	myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]	7380	0.04285309091210365	-0.3625023	No	
row_31	SEPHS2	selenophosphate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:19686]	7425	0.04011249169707298	-0.3648139	No	
row_32	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]	7541	0.033993709832429886	-0.37231144	No	
row_33	TRAPPC12	trafficking protein particle complex subunit 12 [Source:HGNC Symbol;Acc:HGNC:24284]	7661	0.02725219540297985	-0.3802326	No	
row_34	ZMYND8	zinc finger MYND-type containing 8 [Source:HGNC Symbol;Acc:HGNC:9397]	7821	0.018685923889279366	-0.39118066	No	
row_35	AUH	AU RNA binding methylglutaconyl-CoA hydratase [Source:HGNC Symbol;Acc:HGNC:890]	8017	0.007776160724461079	-0.40491864	No	
row_36	ZRSR2	zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2 [Source:HGNC Symbol;Acc:HGNC:23019]	8042	0.006547112017869949	-0.40649462	No	
row_37	PLA2G4C	phospholipase A2 group IVC [Source:HGNC Symbol;Acc:HGNC:9037]	8094	0.0028979454655200243	-0.41006985	No	
row_38	GGH	gamma-glutamyl hydrolase [Source:HGNC Symbol;Acc:HGNC:4248]	8172	-0.0014873038744553924	-0.41552714	No	
row_39	CHI3L1	chitinase 3 like 1 [Source:HGNC Symbol;Acc:HGNC:1932]	8292	-0.008380468934774399	-0.42383614	No	
row_40	DXO	decapping exoribonuclease [Source:HGNC Symbol;Acc:HGNC:2992]	8355	-0.01167831290513277	-0.42801493	No	
row_41	ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16925]	8418	-0.013797597959637642	-0.43215016	No	
row_42	TMEM109	transmembrane protein 109 [Source:HGNC Symbol;Acc:HGNC:28771]	8609	-0.02446214109659195	-0.4451889	No	
row_43	PHF21A	PHD finger protein 21A [Source:HGNC Symbol;Acc:HGNC:24156]	8677	-0.027774285525083542	-0.44939327	No	
row_44	ATF6B	activating transcription factor 6 beta [Source:HGNC Symbol;Acc:HGNC:2349]	8725	-0.0304566640406847	-0.4521171	No	
row_45	GLS	glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]	8748	-0.03209477663040161	-0.4530255	No	
row_46	PEX14	peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:HGNC:8856]	8767	-0.03311663866043091	-0.4536278	No	
row_47	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase [Source:HGNC Symbol;Acc:HGNC:5005]	8936	-0.04218212887644768	-0.4647344	No	
row_48	WDR7	WD repeat domain 7 [Source:HGNC Symbol;Acc:HGNC:13490]	8948	-0.04304095730185509	-0.46463388	No	
row_49	LAMP1	lysosomal associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:6499]	9011	-0.046599846333265305	-0.468095	No	
row_50	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	9201	-0.05643167346715927	-0.48040548	No	
row_51	USP6NL	USP6 N-terminal like [Source:HGNC Symbol;Acc:HGNC:16858]	9230	-0.05808735266327858	-0.48120734	No	
row_52	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	9331	-0.06307768076658249	-0.48703814	No	
row_53	TFCP2	transcription factor CP2 [Source:HGNC Symbol;Acc:HGNC:11748]	9494	-0.0717959851026535	-0.49710858	No	
row_54	BBC3	BCL2 binding component 3 [Source:HGNC Symbol;Acc:HGNC:17868]	9549	-0.07449045777320862	-0.49942636	No	
row_55	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	9562	-0.07550479471683502	-0.49872994	No	
row_56	IFI27	interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]	9699	-0.08313531428575516	-0.5067143	No	
row_57	IFI44	interferon induced protein 44 [Source:HGNC Symbol;Acc:HGNC:16938]	9718	-0.08379925042390823	-0.50627506	No	
row_58	ERLIN1	ER lipid raft associated 1 [Source:HGNC Symbol;Acc:HGNC:16947]	9743	-0.08499462157487869	-0.5062389	No	
row_59	DTNB	dystrobrevin beta [Source:HGNC Symbol;Acc:HGNC:3058]	9750	-0.08546677976846695	-0.5049101	No	
row_60	SLC20A1	solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]	9890	-0.09323366731405258	-0.51290077	No	
row_61	SMPD1	sphingomyelin phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:11120]	10038	-0.10184076428413391	-0.5212847	No	
row_62	SLAMF1	signaling lymphocytic activation molecule family member 1 [Source:HGNC Symbol;Acc:HGNC:10903]	10041	-0.10197702050209045	-0.5193315	No	
row_63	UNG	uracil DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:12572]	10044	-0.10219603031873703	-0.5173739	No	
row_64	CKS1B	CDC28 protein kinase regulatory subunit 1B [Source:HGNC Symbol;Acc:HGNC:19083]	10071	-0.10380654782056808	-0.51709366	No	
row_65	XPC	XPC complex subunit, DNA damage recognition and repair factor [Source:HGNC Symbol;Acc:HGNC:12816]	10137	-0.10690021514892578	-0.5195294	No	
row_66	APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]	10178	-0.10951507836580276	-0.5201296	No	
row_67	PTPN2	protein tyrosine phosphatase non-receptor type 2 [Source:HGNC Symbol;Acc:HGNC:9650]	10272	-0.11534682661294937	-0.52438736	No	
row_68	TMEM131L	transmembrane 131 like [Source:HGNC Symbol;Acc:HGNC:29146]	10306	-0.1184275820851326	-0.5243056	No	
row_69	GALK2	galactokinase 2 [Source:HGNC Symbol;Acc:HGNC:4119]	10352	-0.12195736169815063	-0.5250065	No	
row_70	CREB5	cAMP responsive element binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16844]	10364	-0.12249726057052612	-0.52327305	No	
row_71	SLC1A3	solute carrier family 1 member 3 [Source:HGNC Symbol;Acc:HGNC:10941]	10429	-0.12657131254673004	-0.52523327	No	
row_72	FIG4	FIG4 phosphoinositide 5-phosphatase [Source:HGNC Symbol;Acc:HGNC:16873]	10553	-0.13496775925159454	-0.5312259	No	
row_73	ARHGAP5	Rho GTPase activating protein 5 [Source:HGNC Symbol;Acc:HGNC:675]	10569	-0.1356584131717682	-0.52950716	No	
row_74	CERS6	ceramide synthase 6 [Source:HGNC Symbol;Acc:HGNC:23826]	10578	-0.1362089067697525	-0.5272782	No	
row_75	DOK1	docking protein 1 [Source:HGNC Symbol;Acc:HGNC:2990]	10806	-0.15121345221996307	-0.5403491	No	
row_76	ITIH1	inter-alpha-trypsin inhibitor heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:6166]	10824	-0.1527804732322693	-0.538421	No	
row_77	TTLL1	TTL family tubulin polyglutamylase complex subunit L1 [Source:HGNC Symbol;Acc:HGNC:1312]	10915	-0.15869253873825073	-0.5415741	No	
row_78	NUCB1	nucleobindin 1 [Source:HGNC Symbol;Acc:HGNC:8043]	11003	-0.1641160398721695	-0.544402	No	
row_79	GM2A	ganglioside GM2 activator [Source:HGNC Symbol;Acc:HGNC:4367]	11007	-0.16424775123596191	-0.54124045	No	
row_80	CCRL2	C-C motif chemokine receptor like 2 [Source:HGNC Symbol;Acc:HGNC:1612]	11042	-0.16698291897773743	-0.54023206	No	
row_81	UVRAG	UV radiation resistance associated [Source:HGNC Symbol;Acc:HGNC:12640]	11107	-0.17125743627548218	-0.541274	No	
row_82	ZBTB11	zinc finger and BTB domain containing 11 [Source:HGNC Symbol;Acc:HGNC:16740]	11336	-0.18677859008312225	-0.5536853	Yes	
row_83	TADA3	transcriptional adaptor 3 [Source:HGNC Symbol;Acc:HGNC:19422]	11338	-0.18710260093212128	-0.54991156	Yes	
row_84	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5208]	11344	-0.18769170343875885	-0.54641074	Yes	
