NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERPINB8	serpin family B member 8 [Source:HGNC Symbol;Acc:HGNC:8952]	17	0.7853318452835083	0.015184142	Yes	
row_1	KLHL9	kelch like family member 9 [Source:HGNC Symbol;Acc:HGNC:18732]	28	0.7557767629623413	0.030250303	Yes	
row_2	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	46	0.7217183709144592	0.044106323	Yes	
row_3	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	108	0.658631443977356	0.05350818	Yes	
row_4	ATP2B1	ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]	133	0.6414486169815063	0.06518925	Yes	
row_5	GABPB1	GA binding protein transcription factor subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4074]	175	0.6164775490760803	0.07513694	Yes	
row_6	MINPP1	multiple inositol-polyphosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:7102]	205	0.5961052775382996	0.08551485	Yes	
row_7	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	218	0.5885762572288513	0.09694761	Yes	
row_8	SLC1A5	solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943]	219	0.5880521535873413	0.109224975	Yes	
row_9	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	244	0.5783593058586121	0.11958887	Yes	
row_10	PRNP	prion protein [Source:HGNC Symbol;Acc:HGNC:9449]	247	0.5774391293525696	0.13150206	Yes	
row_11	CYP1B1	cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597]	259	0.5751697421073914	0.14272621	Yes	
row_12	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	275	0.5658634901046753	0.15347087	Yes	
row_13	FHL2	four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]	279	0.5645095109939575	0.16504283	Yes	
row_14	SPRY2	sprouty RTK signaling antagonist 2 [Source:HGNC Symbol;Acc:HGNC:11270]	327	0.5480549335479736	0.17313421	Yes	
row_15	WDR1	WD repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12754]	347	0.5420579314231873	0.18309669	Yes	
row_16	SP3	Sp3 transcription factor [Source:HGNC Symbol;Acc:HGNC:11208]	371	0.5354443788528442	0.1926359	Yes	
row_17	SH2D2A	SH2 domain containing 2A [Source:HGNC Symbol;Acc:HGNC:10821]	387	0.5301346182823181	0.20263462	Yes	
row_18	FEM1B	fem-1 homolog B [Source:HGNC Symbol;Acc:HGNC:3649]	397	0.5281676650047302	0.21302004	Yes	
row_19	URB2	URB2 ribosome biogenesis homolog [Source:HGNC Symbol;Acc:HGNC:28967]	446	0.5141855478286743	0.22033301	Yes	
row_20	SACS	sacsin molecular chaperone [Source:HGNC Symbol;Acc:HGNC:10519]	449	0.5138681530952454	0.23091897	Yes	
row_21	TNFSF14	TNF superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11930]	463	0.5098514556884766	0.24063681	Yes	
row_22	CCT5	chaperonin containing TCP1 subunit 5 [Source:HGNC Symbol;Acc:HGNC:1618]	473	0.5067934989929199	0.250576	Yes	
row_23	ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	497	0.5000501871109009	0.25937623	Yes	
row_24	MKLN1	muskelin 1 [Source:HGNC Symbol;Acc:HGNC:7109]	508	0.4983166754245758	0.26906714	Yes	
row_25	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	512	0.49663251638412476	0.27922195	Yes	
row_26	FAM131A	family with sequence similarity 131 member A [Source:HGNC Symbol;Acc:HGNC:28308]	513	0.4960404932498932	0.2895783	Yes	
row_27	NUP188	nucleoporin 188 [Source:HGNC Symbol;Acc:HGNC:17859]	542	0.4869658648967743	0.2977489	Yes	
row_28	ATXN2	ataxin 2 [Source:HGNC Symbol;Acc:HGNC:10555]	651	0.4637317657470703	0.29973072	Yes	
row_29	SAFB2	scaffold attachment factor B2 [Source:HGNC Symbol;Acc:HGNC:21605]	798	0.43763047456741333	0.29845834	Yes	
row_30	FEZ2	fasciculation and elongation protein zeta 2 [Source:HGNC Symbol;Acc:HGNC:3660]	820	0.43413299322128296	0.30602494	Yes	
row_31	NAB1	NGFI-A binding protein 1 [Source:HGNC Symbol;Acc:HGNC:7626]	822	0.433687299489975	0.3150082	Yes	
row_32	PSMD7	proteasome 26S subunit, non-ATPase 7 [Source:HGNC Symbol;Acc:HGNC:9565]	825	0.4333161413669586	0.32391238	Yes	
