NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GTF2E1	general transcription factor IIE subunit 1 [Source:HGNC Symbol;Acc:HGNC:4650]	601	0.4747866690158844	-0.028763972	No	
row_1	IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	1162	0.3898533582687378	-0.05711465	No	
row_2	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	1638	0.3321993947029114	-0.08111728	No	
row_3	CAB39L	calcium binding protein 39 like [Source:HGNC Symbol;Acc:HGNC:20290]	2024	0.29789698123931885	-0.09972773	No	
row_4	CFAP36	cilia and flagella associated protein 36 [Source:HGNC Symbol;Acc:HGNC:30540]	2142	0.28586095571517944	-0.09962504	No	
row_5	POLR2D	RNA polymerase II subunit D [Source:HGNC Symbol;Acc:HGNC:9191]	2386	0.2688695192337036	-0.108988054	No	
row_6	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	2554	0.25781551003456116	-0.1132696	No	
row_7	CRYL1	crystallin lambda 1 [Source:HGNC Symbol;Acc:HGNC:18246]	2637	0.25340819358825684	-0.1116334	No	
row_8	WDR35	WD repeat domain 35 [Source:HGNC Symbol;Acc:HGNC:29250]	2912	0.23870107531547546	-0.12409138	No	
row_9	NEIL1	nei like DNA glycosylase 1 [Source:HGNC Symbol;Acc:HGNC:18448]	2975	0.23512345552444458	-0.121571235	No	
row_10	MED10	mediator complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:28760]	3009	0.23356041312217712	-0.11703384	No	
row_11	NEXMIF	neurite extension and migration factor [Source:HGNC Symbol;Acc:HGNC:29433]	3914	0.1992206871509552	-0.1754796	No	
row_12	PDZRN3	PDZ domain containing ring finger 3 [Source:HGNC Symbol;Acc:HGNC:17704]	3956	0.19816608726978302	-0.17255482	No	
row_13	ELMOD3	ELMO domain containing 3 [Source:HGNC Symbol;Acc:HGNC:26158]	4295	0.1872517317533493	-0.19108306	No	
row_14	TUBB2A	tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]	4541	0.1786354035139084	-0.20324844	No	
row_15	TBC1D19	TBC1 domain family member 19 [Source:HGNC Symbol;Acc:HGNC:25624]	4873	0.16633658111095428	-0.22189522	No	
row_16	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:26527]	4882	0.1660221517086029	-0.21757011	No	
row_17	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	5222	0.15247578918933868	-0.23719469	No	
row_18	MARCKS	myristoylated alanine rich protein kinase C substrate [Source:HGNC Symbol;Acc:HGNC:6759]	5225	0.15228724479675293	-0.23284759	No	
row_19	MFGE8	milk fat globule EGF and factor V/VIII domain containing [Source:HGNC Symbol;Acc:HGNC:7036]	5428	0.14274045825004578	-0.24301174	No	
row_20	DNAJC6	DnaJ heat shock protein family (Hsp40) member C6 [Source:HGNC Symbol;Acc:HGNC:15469]	5494	0.13990002870559692	-0.2435122	No	
row_21	RNF130	ring finger protein 130 [Source:HGNC Symbol;Acc:HGNC:18280]	5542	0.1377437561750412	-0.24279556	No	
row_22	EMP3	epithelial membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:3335]	5688	0.13008922338485718	-0.24927716	No	
row_23	LMNTD1	lamin tail domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26683]	5777	0.1260850429534912	-0.2518213	No	
row_24	FBXL12	F-box and leucine rich repeat protein 12 [Source:HGNC Symbol;Acc:HGNC:13611]	5954	0.11692219972610474	-0.2608967	No	
row_25	KDM8	lysine demethylase 8 [Source:HGNC Symbol;Acc:HGNC:25840]	6087	0.10969190299510956	-0.26705468	No	
row_26	RHBDD1	rhomboid domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23081]	6425	0.09337884187698364	-0.28827915	No	
row_27	UXT	ubiquitously expressed prefoldin like chaperone [Source:HGNC Symbol;Acc:HGNC:12641]	6436	0.09270666539669037	-0.28625765	No	
row_28	RABL3	RAB, member of RAS oncogene family like 3 [Source:HGNC Symbol;Acc:HGNC:18072]	6565	0.0858376994729042	-0.29283425	No	
row_29	MAP2K6	mitogen-activated protein kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6846]	6670	0.08093391358852386	-0.29784784	No	
row_30	ANP32A	acidic nuclear phosphoprotein 32 family member A [Source:HGNC Symbol;Acc:HGNC:13233]	6731	0.07778915762901306	-0.29982358	No	
row_31	DYNC2LI1	dynein cytoplasmic 2 light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:24595]	6753	0.0766230970621109	-0.29905888	No	
row_32	GRPEL1	GrpE like 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:19696]	6863	0.07032902538776398	-0.30474085	No	
row_33	TRDMT1	tRNA aspartic acid methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2977]	7002	0.06241395324468613	-0.31271946	No	
row_34	CENPQ	centromere protein Q [Source:HGNC Symbol;Acc:HGNC:21347]	7188	0.052920229732990265	-0.32432196	No	
row_35	MED30	mediator complex subunit 30 [Source:HGNC Symbol;Acc:HGNC:23032]	7208	0.0522318035364151	-0.324134	No	
row_36	MXI1	MAX interactor 1, dimerization protein [Source:HGNC Symbol;Acc:HGNC:7534]	7337	0.04528332129120827	-0.33190614	No	
row_37	RFC3	replication factor C subunit 3 [Source:HGNC Symbol;Acc:HGNC:9971]	7535	0.0343141108751297	-0.34491092	No	
row_38	SRL	sarcalumenin [Source:HGNC Symbol;Acc:HGNC:11295]	7583	0.03136029839515686	-0.34733045	No	
row_39	STX18	syntaxin 18 [Source:HGNC Symbol;Acc:HGNC:15942]	7619	0.029670698568224907	-0.34894598	No	
