NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERPINB8	serpin family B member 8 [Source:HGNC Symbol;Acc:HGNC:8952]	17	0.7853318452835083	0.014940974	Yes	
row_1	PTPN12	protein tyrosine phosphatase non-receptor type 12 [Source:HGNC Symbol;Acc:HGNC:9645]	18	0.7848383188247681	0.03108366	Yes	
row_2	MTG2	mitochondrial ribosome associated GTPase 2 [Source:HGNC Symbol;Acc:HGNC:16239]	80	0.6819705963134766	0.040762097	Yes	
row_3	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	86	0.6744727492332458	0.054278336	Yes	
row_4	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	103	0.6628048419952393	0.06677044	Yes	
row_5	C1orf122	chromosome 1 open reading frame 122 [Source:HGNC Symbol;Acc:HGNC:24789]	128	0.6455525755882263	0.07833741	Yes	
row_6	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	143	0.6345645785331726	0.09039123	Yes	
row_7	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	186	0.6080793142318726	0.0999043	Yes	
row_8	TSG101	tumor susceptibility 101 [Source:HGNC Symbol;Acc:HGNC:15971]	208	0.595241367816925	0.110650316	Yes	
row_9	ZFYVE1	zinc finger FYVE-type containing 1 [Source:HGNC Symbol;Acc:HGNC:13180]	211	0.5935320258140564	0.122715615	Yes	
row_10	STK17A	serine/threonine kinase 17a [Source:HGNC Symbol;Acc:HGNC:11395]	229	0.5836265087127686	0.13350788	Yes	
row_11	MAMLD1	mastermind like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:2568]	263	0.5727270841598511	0.14293538	Yes	
row_12	SOWAHC	sosondowah ankyrin repeat domain family member C [Source:HGNC Symbol;Acc:HGNC:26149]	307	0.5527022480964661	0.15123816	Yes	
row_13	PNPLA1	patatin like phospholipase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21246]	321	0.5492171049118042	0.16160783	Yes	
row_14	TUBB6	tubulin beta 6 class V [Source:HGNC Symbol;Acc:HGNC:20776]	324	0.5486265420913696	0.1727495	Yes	
row_15	USP9X	ubiquitin specific peptidase 9 X-linked [Source:HGNC Symbol;Acc:HGNC:12632]	490	0.5023925304412842	0.1713206	Yes	
row_16	AREL1	apoptosis resistant E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:20363]	506	0.4987107515335083	0.18050888	Yes	
row_17	PSMD11	proteasome 26S subunit, non-ATPase 11 [Source:HGNC Symbol;Acc:HGNC:9556]	526	0.49245336651802063	0.18928331	Yes	
row_18	TDP2	tyrosyl-DNA phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:17768]	534	0.4892043471336365	0.19884634	Yes	
row_19	TSC22D1	TSC22 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:16826]	581	0.47965291142463684	0.20543277	Yes	
row_20	BTBD7	BTB domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18269]	598	0.4750836491584778	0.2140638	Yes	
row_21	ITGB8	integrin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:6163]	637	0.46721741557121277	0.22096473	Yes	
row_22	CAMSAP2	calmodulin regulated spectrin associated protein family member 2 [Source:HGNC Symbol;Acc:HGNC:29188]	646	0.46481645107269287	0.22995487	Yes	
row_23	PSMC1	proteasome 26S subunit, ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9547]	657	0.4630979895591736	0.23876709	Yes	
row_24	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]	658	0.46309465169906616	0.24829209	Yes	
row_25	PSMD1	proteasome 26S subunit, non-ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9554]	706	0.45335888862609863	0.2542664	Yes	
row_26	EYA3	EYA transcriptional coactivator and phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:3521]	712	0.4525810778141022	0.26321873	Yes	
row_27	ANKRD12	ankyrin repeat domain 12 [Source:HGNC Symbol;Acc:HGNC:29135]	725	0.4510136842727661	0.27163982	Yes	
row_28	ZNF274	zinc finger protein 274 [Source:HGNC Symbol;Acc:HGNC:13068]	791	0.4385029077529907	0.27602544	Yes	
row_29	NPC1	NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]	808	0.435822993516922	0.28384894	Yes	
row_30	TRAF3	TNF receptor associated factor 3 [Source:HGNC Symbol;Acc:HGNC:12033]	814	0.43518316745758057	0.29244345	Yes	
row_31	MLLT6	MLLT6, PHD finger containing [Source:HGNC Symbol;Acc:HGNC:7138]	830	0.4323883652687073	0.30026758	Yes	
row_32	ARFGAP3	ADP ribosylation factor GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:661]	862	0.42786622047424316	0.30685815	Yes	
row_33	DGKH	diacylglycerol kinase eta [Source:HGNC Symbol;Acc:HGNC:2854]	866	0.4274532198905945	0.3154362	Yes	
row_34	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	920	0.4201081097126007	0.3202989	Yes	
row_35	DYNC1H1	dynein cytoplasmic 1 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2961]	949	0.41655394434928894	0.32687065	Yes	
row_36	MED13	mediator complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:22474]	969	0.4137251377105713	0.3340258	Yes	
row_37	PDXK	pyridoxal kinase [Source:HGNC Symbol;Acc:HGNC:8819]	989	0.41166743636131287	0.3411386	Yes	
row_38	BSDC1	BSD domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25501]	1023	0.4062564969062805	0.3471421	Yes	
row_39	CRIM1	cysteine rich transmembrane BMP regulator 1 [Source:HGNC Symbol;Acc:HGNC:2359]	1026	0.4054456651210785	0.3553388	Yes	
row_40	FAF2	Fas associated factor family member 2 [Source:HGNC Symbol;Acc:HGNC:24666]	1035	0.4039168953895569	0.36307636	Yes	
row_41	CD82	CD82 molecule [Source:HGNC Symbol;Acc:HGNC:6210]	1040	0.40310272574424744	0.3710823	Yes	
row_42	AMPD3	adenosine monophosphate deaminase 3 [Source:HGNC Symbol;Acc:HGNC:470]	1055	0.40110889077186584	0.37833437	Yes	
row_43	BTG3	BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132]	1058	0.40097105503082275	0.38643903	Yes	
row_44	HIVEP2	HIVEP zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4921]	1080	0.3990381956100464	0.39314952	Yes	
row_45	KIF1B	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	1127	0.3936988413333893	0.39796802	Yes	
row_46	PTGR1	prostaglandin reductase 1 [Source:HGNC Symbol;Acc:HGNC:18429]	1132	0.3930756747722626	0.4057677	Yes	
row_47	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	1134	0.3928318917751312	0.41377628	Yes	
