NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPARD	peroxisome proliferator activated receptor delta [Source:HGNC Symbol;Acc:HGNC:9235]	52	0.7128061056137085	0.012200337	Yes	
row_1	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	86	0.6744727492332458	0.024899155	Yes	
row_2	KEAP1	kelch like ECH associated protein 1 [Source:HGNC Symbol;Acc:HGNC:23177]	104	0.6623474955558777	0.038467497	Yes	
row_3	ZBTB45	zinc finger and BTB domain containing 45 [Source:HGNC Symbol;Acc:HGNC:23715]	162	0.6249889135360718	0.048351996	Yes	
row_4	LRP12	LDL receptor related protein 12 [Source:HGNC Symbol;Acc:HGNC:31708]	202	0.5973186492919922	0.058901656	Yes	
row_5	ZFYVE1	zinc finger FYVE-type containing 1 [Source:HGNC Symbol;Acc:HGNC:13180]	211	0.5935320258140564	0.071575746	Yes	
row_6	GCLM	glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312]	212	0.5929467082023621	0.084806815	Yes	
row_7	STK17A	serine/threonine kinase 17a [Source:HGNC Symbol;Acc:HGNC:11395]	229	0.5836265087127686	0.09668982	Yes	
row_8	CYP1B1	cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597]	259	0.5751697421073914	0.10745781	Yes	
row_9	TUBB6	tubulin beta 6 class V [Source:HGNC Symbol;Acc:HGNC:20776]	324	0.5486265420913696	0.11513956	Yes	
row_10	ZNF697	zinc finger protein 697 [Source:HGNC Symbol;Acc:HGNC:32034]	332	0.5463768839836121	0.12683268	Yes	
row_11	RUNX1	RUNX family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10471]	338	0.544888436794281	0.1386351	Yes	
row_12	SPAG9	sperm associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:14524]	425	0.5196748375892639	0.1441032	Yes	
row_13	SACS	sacsin molecular chaperone [Source:HGNC Symbol;Acc:HGNC:10519]	449	0.5138681530952454	0.15393081	Yes	
row_14	E2F6	E2F transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:3120]	464	0.5094103813171387	0.16430028	Yes	
row_15	SLC12A6	solute carrier family 12 member 6 [Source:HGNC Symbol;Acc:HGNC:10914]	482	0.5044912695884705	0.1743462	Yes	
row_16	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	488	0.5025601387023926	0.18520409	Yes	
row_17	AREL1	apoptosis resistant E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:20363]	506	0.4987107515335083	0.19512103	Yes	
row_18	PSMD11	proteasome 26S subunit, non-ATPase 11 [Source:HGNC Symbol;Acc:HGNC:9556]	526	0.49245336651802063	0.20475583	Yes	
row_19	TDP2	tyrosyl-DNA phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:17768]	534	0.4892043471336365	0.21517318	Yes	
row_20	TNIP1	TNFAIP3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16903]	595	0.47553160786628723	0.22150892	Yes	
row_21	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]	658	0.46309465169906616	0.22742462	Yes	
row_22	PSMD1	proteasome 26S subunit, non-ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9554]	706	0.45335888862609863	0.2341919	Yes	
row_23	RAPGEF1	Rap guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:4568]	710	0.4527713358402252	0.24408132	Yes	
row_24	EYA3	EYA transcriptional coactivator and phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:3521]	712	0.4525810778141022	0.254109	Yes	
row_25	CC2D1B	coiled-coil and C2 domain containing 1B [Source:HGNC Symbol;Acc:HGNC:29386]	745	0.4472588002681732	0.261809	Yes	
row_26	ZNF274	zinc finger protein 274 [Source:HGNC Symbol;Acc:HGNC:13068]	791	0.4385029077529907	0.2683873	Yes	
