NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERPINB8	serpin family B member 8 [Source:HGNC Symbol;Acc:HGNC:8952]	17	0.7853318452835083	0.014458227	Yes	
row_1	PNPLA8	patatin like phospholipase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28900]	20	0.7824455499649048	0.029928	Yes	
row_2	KLHL9	kelch like family member 9 [Source:HGNC Symbol;Acc:HGNC:18732]	28	0.7557767629623413	0.044509266	Yes	
row_3	RIT1	Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]	51	0.7140744924545288	0.0571893	Yes	
row_4	SLC26A2	solute carrier family 26 member 2 [Source:HGNC Symbol;Acc:HGNC:10994]	61	0.6993065476417542	0.07050125	Yes	
row_5	CSRNP2	cysteine and serine rich nuclear protein 2 [Source:HGNC Symbol;Acc:HGNC:16006]	78	0.6822901368141174	0.08297474	Yes	
row_6	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	86	0.6744727492332458	0.09593372	Yes	
row_7	ASPH	aspartate beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:757]	115	0.6535658240318298	0.10697876	Yes	
row_8	RNF145	ring finger protein 145 [Source:HGNC Symbol;Acc:HGNC:20853]	120	0.651310920715332	0.11968942	Yes	
row_9	TXNRD1	thioredoxin reductase 1 [Source:HGNC Symbol;Acc:HGNC:12437]	144	0.6340793371200562	0.13070202	Yes	
row_10	KLHL28	kelch like family member 28 [Source:HGNC Symbol;Acc:HGNC:19741]	182	0.6139039993286133	0.14031418	Yes	
row_11	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	186	0.6080793142318726	0.15223351	Yes	
row_12	TSG101	tumor susceptibility 101 [Source:HGNC Symbol;Acc:HGNC:15971]	208	0.595241367816925	0.1626137	Yes	
row_13	ZFYVE1	zinc finger FYVE-type containing 1 [Source:HGNC Symbol;Acc:HGNC:13180]	211	0.5935320258140564	0.17431405	Yes	
row_14	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	244	0.5783593058586121	0.18357337	Yes	
row_15	MAMLD1	mastermind like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:2568]	263	0.5727270841598511	0.19371817	Yes	
row_16	MMP19	matrix metallopeptidase 19 [Source:HGNC Symbol;Acc:HGNC:7165]	266	0.5711672306060791	0.20497225	Yes	
row_17	RRAGC	Ras related GTP binding C [Source:HGNC Symbol;Acc:HGNC:19902]	283	0.5636063814163208	0.21507761	Yes	
row_18	ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]	300	0.554487943649292	0.22500102	Yes	
row_19	TUBB6	tubulin beta 6 class V [Source:HGNC Symbol;Acc:HGNC:20776]	324	0.5486265420913696	0.23430856	Yes	
row_20	WDR1	WD repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12754]	347	0.5420579314231873	0.2435563	Yes	
row_21	TPST1	tyrosylprotein sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:12020]	411	0.5229324698448181	0.24950013	Yes	
row_22	HIPK2	homeodomain interacting protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:14402]	483	0.5042968988418579	0.2545019	Yes	
row_23	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	488	0.5025601387023926	0.2642445	Yes	
row_24	TDP2	tyrosyl-DNA phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:17768]	534	0.4892043471336365	0.2707983	Yes	
row_25	ZNF207	zinc finger protein 207 [Source:HGNC Symbol;Acc:HGNC:12998]	544	0.48678505420684814	0.27986977	Yes	
