NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNPO1	transportin 1 [Source:HGNC Symbol;Acc:HGNC:6401]	164	0.6243346333503723	0.0049925745	Yes	
row_1	AP1G1	adaptor related protein complex 1 subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:555]	167	0.621874213218689	0.021457084	Yes	
row_2	RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1 [Source:HGNC Symbol;Acc:HGNC:14436]	189	0.6035146117210388	0.036078125	Yes	
row_3	ROCK1	Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]	204	0.59688401222229	0.05102064	Yes	
row_4	IWS1	interacts with SUPT6H, CTD assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:25467]	210	0.5945907831192017	0.06654289	Yes	
row_5	GOT1	glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]	238	0.5794927477836609	0.08009512	Yes	
row_6	PHTF1	putative homeodomain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8939]	282	0.5638935565948486	0.092091255	Yes	
row_7	POLR2B	RNA polymerase II subunit B [Source:HGNC Symbol;Acc:HGNC:9188]	368	0.536047637462616	0.10035253	Yes	
row_8	FEM1B	fem-1 homolog B [Source:HGNC Symbol;Acc:HGNC:3649]	397	0.5281676650047302	0.11246292	Yes	
row_9	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:77]	451	0.5137861967086792	0.122408755	Yes	
row_10	LRMDA	leucine rich melanocyte differentiation associated [Source:HGNC Symbol;Acc:HGNC:23405]	479	0.5050407648086548	0.13397276	Yes	
row_11	POGZ	pogo transposable element derived with ZNF domain [Source:HGNC Symbol;Acc:HGNC:18801]	481	0.5046274065971375	0.14737746	Yes	
row_12	CSNK1A1	casein kinase 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2451]	491	0.5022215247154236	0.16014814	Yes	
row_13	RALGAPA1	Ral GTPase activating protein catalytic subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:17770]	493	0.5014162063598633	0.17346708	Yes	
row_14	TLK1	tousled like kinase 1 [Source:HGNC Symbol;Acc:HGNC:11841]	535	0.48915615677833557	0.18360981	Yes	
row_15	DLG1	discs large MAGUK scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:2900]	543	0.4868278205394745	0.19611186	Yes	
row_16	EFHC1	EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16406]	664	0.4617961645126343	0.19989757	Yes	
row_17	TMEM44	transmembrane protein 44 [Source:HGNC Symbol;Acc:HGNC:25120]	675	0.4601686894893646	0.21147403	Yes	
row_18	AGFG1	ArfGAP with FG repeats 1 [Source:HGNC Symbol;Acc:HGNC:5175]	778	0.44029104709625244	0.21596742	Yes	
row_19	CDK17	cyclin dependent kinase 17 [Source:HGNC Symbol;Acc:HGNC:8750]	860	0.4279978573322296	0.22162814	Yes	
row_20	ARFGAP3	ADP ribosylation factor GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:661]	862	0.42786622047424316	0.23298295	Yes	
row_21	BCLAF3	BCLAF1 and THRAP3 family member 3 [Source:HGNC Symbol;Acc:HGNC:27413]	870	0.4261152744293213	0.24386369	Yes	
row_22	DIDO1	death inducer-obliterator 1 [Source:HGNC Symbol;Acc:HGNC:2680]	984	0.4122050404548645	0.24682362	Yes	
row_23	FAM13B	family with sequence similarity 13 member B [Source:HGNC Symbol;Acc:HGNC:1335]	1002	0.410006582736969	0.256562	Yes	
row_24	SLC35G1	solute carrier family 35 member G1 [Source:HGNC Symbol;Acc:HGNC:26607]	1032	0.40444186329841614	0.26529709	Yes	
row_25	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	1129	0.39342832565307617	0.26896635	Yes	
row_26	HEPH	hephaestin [Source:HGNC Symbol;Acc:HGNC:4866]	1131	0.3933112919330597	0.27939838	Yes	
row_27	MARK3	microtubule affinity regulating kinase 3 [Source:HGNC Symbol;Acc:HGNC:6897]	1272	0.3745797872543335	0.2794306	Yes	
row_28	IBSP	integrin binding sialoprotein [Source:HGNC Symbol;Acc:HGNC:5341]	1287	0.3732351064682007	0.28840065	Yes	
row_29	TLE4	TLE family member 4, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11840]	1387	0.3599783182144165	0.29096296	Yes	
row_30	C5orf24	chromosome 5 open reading frame 24 [Source:HGNC Symbol;Acc:HGNC:26746]	1490	0.34872689843177795	0.2930112	Yes	
row_31	ARL15	ADP ribosylation factor like GTPase 15 [Source:HGNC Symbol;Acc:HGNC:25945]	1507	0.3461146950721741	0.30111453	Yes	
row_32	MLF1	myeloid leukemia factor 1 [Source:HGNC Symbol;Acc:HGNC:7125]	1531	0.3430263102054596	0.30863687	Yes	
row_33	PHF20L1	PHD finger protein 20 like 1 [Source:HGNC Symbol;Acc:HGNC:24280]	1579	0.33802130818367004	0.3143163	Yes	
row_34	ANKH	ANKH inorganic pyrophosphate transport regulator [Source:HGNC Symbol;Acc:HGNC:15492]	1583	0.33780723810195923	0.32312366	Yes	
row_35	SNX24	sorting nexin 24 [Source:HGNC Symbol;Acc:HGNC:21533]	1600	0.3362346589565277	0.3309632	Yes	
row_36	PPP1R3B	protein phosphatase 1 regulatory subunit 3B [Source:HGNC Symbol;Acc:HGNC:14942]	1647	0.3310956358909607	0.33652887	Yes	
row_37	RNF182	ring finger protein 182 [Source:HGNC Symbol;Acc:HGNC:28522]	1705	0.3257483243942261	0.34116834	Yes	
row_38	PLXNA2	plexin A2 [Source:HGNC Symbol;Acc:HGNC:9100]	1745	0.32198289036750793	0.34698918	Yes	
row_39	RBPJ	recombination signal binding protein for immunoglobulin kappa J region [Source:HGNC Symbol;Acc:HGNC:5724]	1900	0.3081706166267395	0.34425092	Yes	
row_40	CENPE	centromere protein E [Source:HGNC Symbol;Acc:HGNC:1856]	1943	0.3044034540653229	0.34938866	Yes	
row_41	KCTD10	potassium channel tetramerization domain containing 10 [Source:HGNC Symbol;Acc:HGNC:23236]	1976	0.30208462476730347	0.35517672	Yes	
row_42	TEX36	testis expressed 36 [Source:HGNC Symbol;Acc:HGNC:31653]	2177	0.28241974115371704	0.34847462	Yes	
row_43	DIAPH3	diaphanous related formin 3 [Source:HGNC Symbol;Acc:HGNC:15480]	2314	0.2738876938819885	0.3461028	Yes	
row_44	MAN1A1	mannosidase alpha class 1A member 1 [Source:HGNC Symbol;Acc:HGNC:6821]	2351	0.2714252769947052	0.3507872	Yes	
row_45	RANBP2	RAN binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9848]	2369	0.27017366886138916	0.35679135	Yes	
row_46	TACC1	transforming acidic coiled-coil containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11522]	2465	0.26300594210624695	0.35704896	Yes	
row_47	TOP1	DNA topoisomerase I [Source:HGNC Symbol;Acc:HGNC:11986]	2485	0.26151636242866516	0.36267948	Yes	
row_48	PROCA1	protein interacting with cyclin A1 [Source:HGNC Symbol;Acc:HGNC:28600]	2510	0.2601120173931122	0.3679164	Yes	
row_49	FXR1	FMR1 autosomal homolog 1 [Source:HGNC Symbol;Acc:HGNC:4023]	2561	0.25743567943573	0.37123016	Yes	
row_50	RAB1A	RAB1A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9758]	2830	0.24206791818141937	0.35860753	No	
row_51	SHPRH	SNF2 histone linker PHD RING helicase [Source:HGNC Symbol;Acc:HGNC:19336]	3035	0.23267590999603271	0.35029218	No	
row_52	SMIM15	small integral membrane protein 15 [Source:HGNC Symbol;Acc:HGNC:33861]	3043	0.23212188482284546	0.35599238	No	
row_53	ONECUT2	one cut homeobox 2 [Source:HGNC Symbol;Acc:HGNC:8139]	3494	0.21322503685951233	0.3296375	No	
row_54	STXBP5L	syntaxin binding protein 5L [Source:HGNC Symbol;Acc:HGNC:30757]	3516	0.21236324310302734	0.33381295	No	
row_55	SLC15A5	solute carrier family 15 member 5 [Source:HGNC Symbol;Acc:HGNC:33455]	3692	0.20595598220825195	0.32684946	No	
row_56	BEX1	brain expressed X-linked 1 [Source:HGNC Symbol;Acc:HGNC:1036]	3702	0.20567871630191803	0.33170104	No	
row_57	ENPP6	ectonucleotide pyrophosphatase/phosphodiesterase 6 [Source:HGNC Symbol;Acc:HGNC:23409]	3790	0.20308847725391388	0.33092833	No	
row_58	ZFX	zinc finger protein X-linked [Source:HGNC Symbol;Acc:HGNC:12869]	3877	0.20040903985500336	0.33015525	No	
row_59	LINGO2	leucine rich repeat and Ig domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21207]	4058	0.19505339860916138	0.32254452	No	
row_60	ZNF667	zinc finger protein 667 [Source:HGNC Symbol;Acc:HGNC:28854]	4198	0.1903940886259079	0.31772932	No	
row_61	PSMD14	proteasome 26S subunit, non-ATPase 14 [Source:HGNC Symbol;Acc:HGNC:16889]	4389	0.18441630899906158	0.30912232	No	
row_62	MOAP1	modulator of apoptosis 1 [Source:HGNC Symbol;Acc:HGNC:16658]	4396	0.18413691222667694	0.3136123	No	
row_63	WNT9A	Wnt family member 9A [Source:HGNC Symbol;Acc:HGNC:12778]	4470	0.18147744238376617	0.31325954	No	
row_64	NCOA1	nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:7668]	5202	0.15318234264850616	0.2652884	No	
row_65	TRAP1	TNF receptor associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16264]	5269	0.14998888969421387	0.2645933	No	
