NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SH2D2A	SH2 domain containing 2A [Source:HGNC Symbol;Acc:HGNC:10821]	387	0.5301346182823181	-0.014629651	No	
row_1	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	645	0.46516770124435425	-0.021586388	No	
row_2	BRD2	bromodomain containing 2 [Source:HGNC Symbol;Acc:HGNC:1103]	932	0.41869649291038513	-0.031741522	No	
row_3	RAB14	RAB14, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16524]	1054	0.40125128626823425	-0.03057247	No	
row_4	ESF1	ESF1 nucleolar pre-rRNA processing protein homolog [Source:HGNC Symbol;Acc:HGNC:15898]	1076	0.3994254171848297	-0.022326961	No	
row_5	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	1134	0.3928318917751312	-0.016805805	No	
row_6	PIAS1	protein inhibitor of activated STAT 1 [Source:HGNC Symbol;Acc:HGNC:2752]	1307	0.3692912757396698	-0.020047875	No	
row_7	ELF1	E74 like ETS transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3316]	1489	0.34888020157814026	-0.024428606	No	
row_8	KIF21A	kinesin family member 21A [Source:HGNC Symbol;Acc:HGNC:19349]	1844	0.3135455548763275	-0.04199036	No	
row_9	NF1	neurofibromin 1 [Source:HGNC Symbol;Acc:HGNC:7765]	2041	0.29627469182014465	-0.048722144	No	
row_10	TGS1	trimethylguanosine synthase 1 [Source:HGNC Symbol;Acc:HGNC:17843]	2298	0.27483341097831726	-0.060249414	No	
row_11	ATP6AP1	ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868]	2323	0.27305492758750916	-0.055299375	No	
row_12	SREBF1	sterol regulatory element binding transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11289]	2413	0.2667926251888275	-0.055130694	No	
row_13	NR3C2	nuclear receptor subfamily 3 group C member 2 [Source:HGNC Symbol;Acc:HGNC:7979]	2603	0.2551262080669403	-0.06236751	No	
row_14	PLEKHF1	pleckstrin homology and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20764]	2676	0.25058719515800476	-0.06138347	No	
row_15	CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]	2835	0.2419542521238327	-0.06673401	No	
