NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMP14	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]	239	0.5794568061828613	0.0017939726	No	
row_1	CCDC71	coiled-coil domain containing 71 [Source:HGNC Symbol;Acc:HGNC:25760]	475	0.5058958530426025	0.0014891573	No	
row_2	MMP25	matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:HGNC:14246]	993	0.4111926555633545	-0.021914711	No	
row_3	SMPD2	sphingomyelin phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:11121]	1106	0.39633315801620483	-0.017031644	No	
row_4	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	1271	0.37475621700286865	-0.016541243	No	
row_5	IBSP	integrin binding sialoprotein [Source:HGNC Symbol;Acc:HGNC:5341]	1287	0.3732351064682007	-0.0055162255	No	
row_6	HTRA1	HtrA serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:9476]	1350	0.3649233281612396	0.0019009989	No	
row_7	SIK2	salt inducible kinase 2 [Source:HGNC Symbol;Acc:HGNC:21680]	1830	0.3148692846298218	-0.021923903	No	
row_8	CCNJL	cyclin J like [Source:HGNC Symbol;Acc:HGNC:25876]	2264	0.2775034010410309	-0.04369172	No	
row_9	EP400	E1A binding protein p400 [Source:HGNC Symbol;Acc:HGNC:11958]	2310	0.27408161759376526	-0.038009647	No	
row_10	CEACAM4	CEA cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:1816]	2719	0.24778001010417938	-0.0589645	No	
row_11	BBS9	Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000]	2758	0.24507780373096466	-0.05372474	No	
row_12	DPF1	double PHD fingers 1 [Source:HGNC Symbol;Acc:HGNC:20225]	3092	0.22949519753456116	-0.06994444	No	
row_13	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:30628]	3395	0.21632474660873413	-0.08438877	No	
row_14	NRCAM	neuronal cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:7994]	3567	0.21042445302009583	-0.08971893	No	
row_15	PDAP1	PDGFA associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14634]	3844	0.20160678029060364	-0.10279317	No	
row_16	GABRB2	gamma-aminobutyric acid type A receptor subunit beta2 [Source:HGNC Symbol;Acc:HGNC:4082]	3929	0.19884170591831207	-0.10231869	No	
row_17	OCA2	OCA2 melanosomal transmembrane protein [Source:HGNC Symbol;Acc:HGNC:8101]	3942	0.19851548969745636	-0.09674041	No	
row_18	GABRB1	gamma-aminobutyric acid type A receptor subunit beta1 [Source:HGNC Symbol;Acc:HGNC:4081]	3971	0.19763697683811188	-0.09232711	No	
row_19	PPP2R2A	protein phosphatase 2 regulatory subunit Balpha [Source:HGNC Symbol;Acc:HGNC:9304]	4617	0.17617346346378326	-0.13243635	No	
row_20	PRDM16	PR/SET domain 16 [Source:HGNC Symbol;Acc:HGNC:14000]	4933	0.1635534018278122	-0.14951357	No	
row_21	SFI1	SFI1 centrin binding protein [Source:HGNC Symbol;Acc:HGNC:29064]	4982	0.1618003398180008	-0.14768182	No	
row_22	ZNF212	zinc finger protein 212 [Source:HGNC Symbol;Acc:HGNC:13004]	5096	0.15751488506793976	-0.150606	No	
row_23	S1PR1	sphingosine-1-phosphate receptor 1 [Source:HGNC Symbol;Acc:HGNC:3165]	5314	0.1484101563692093	-0.16121256	No	
row_24	MMP15	matrix metallopeptidase 15 [Source:HGNC Symbol;Acc:HGNC:7161]	5571	0.13634797930717468	-0.17498013	No	
row_25	TBX4	T-box transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11603]	5815	0.12389213591814041	-0.18822777	No	
row_26	NMB	neuromedin B [Source:HGNC Symbol;Acc:HGNC:7842]	5840	0.12267512083053589	-0.18595864	No	
row_27	SIRT3	sirtuin 3 [Source:HGNC Symbol;Acc:HGNC:14931]	5942	0.11768601089715958	-0.18932065	No	
row_28	CHD4	chromodomain helicase DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1919]	6109	0.10889776051044464	-0.1975845	No	
row_29	OXA1L	OXA1L mitochondrial inner membrane protein [Source:HGNC Symbol;Acc:HGNC:8526]	6273	0.10055845975875854	-0.20590536	No	
row_30	ZNF428	zinc finger protein 428 [Source:HGNC Symbol;Acc:HGNC:20804]	6294	0.09979335963726044	-0.20409334	No	
row_31	APLP2	amyloid beta precursor like protein 2 [Source:HGNC Symbol;Acc:HGNC:598]	6433	0.09287622570991516	-0.21088725	No	
row_32	PTPRS	protein tyrosine phosphatase receptor type S [Source:HGNC Symbol;Acc:HGNC:9681]	6588	0.08507569879293442	-0.21907037	No	
row_33	COL4A1	collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]	6640	0.0825691670179367	-0.22001831	No	
row_34	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	6676	0.08048433065414429	-0.21989727	No	
row_35	ABCC3	ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:54]	6934	0.06585000455379486	-0.23601957	No	
row_36	RPL18	ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:10310]	7096	0.057245366275310516	-0.24560146	No	
row_37	TRIM21	tripartite motif containing 21 [Source:HGNC Symbol;Acc:HGNC:11312]	7230	0.05111447349190712	-0.25339302	No	
row_38	NUAK1	NUAK family kinase 1 [Source:HGNC Symbol;Acc:HGNC:14311]	7589	0.03089854121208191	-0.27782187	No	
