NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZBTB1	zinc finger and BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20259]	351	0.5410813689231873	-0.014942779	No	
row_1	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6865]	390	0.5292980670928955	-0.0078095803	No	
row_2	SH3GLB1	SH3 domain containing GRB2 like, endophilin B1 [Source:HGNC Symbol;Acc:HGNC:10833]	747	0.4468020498752594	-0.024861215	No	
row_3	SART3	spliceosome associated factor 3, U4/U6 recycling protein [Source:HGNC Symbol;Acc:HGNC:16860]	865	0.4275241792201996	-0.025247231	No	
row_4	PCYT1A	phosphate cytidylyltransferase 1A, choline [Source:HGNC Symbol;Acc:HGNC:8754]	966	0.41398072242736816	-0.024674114	No	
row_5	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	1015	0.4079003930091858	-0.020510066	No	
row_6	GOLGA5	golgin A5 [Source:HGNC Symbol;Acc:HGNC:4428]	1168	0.3890969157218933	-0.02410352	No	
row_7	PIGG	phosphatidylinositol glycan anchor biosynthesis class G [Source:HGNC Symbol;Acc:HGNC:25985]	1458	0.35202527046203613	-0.03814469	No	
row_8	PANX1	pannexin 1 [Source:HGNC Symbol;Acc:HGNC:8599]	1694	0.32639268040657043	-0.048815954	No	
row_9	ACSL4	acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]	1715	0.32490044832229614	-0.044200476	No	
row_10	ZNF200	zinc finger protein 200 [Source:HGNC Symbol;Acc:HGNC:12993]	1788	0.318428635597229	-0.04340928	No	
row_11	CD160	CD160 molecule [Source:HGNC Symbol;Acc:HGNC:17013]	1919	0.3065717816352844	-0.04696986	No	
row_12	TBX20	T-box transcription factor 20 [Source:HGNC Symbol;Acc:HGNC:11598]	1978	0.3019310235977173	-0.045488145	No	
row_13	KPNA3	karyopherin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6396]	2030	0.29705601930618286	-0.043598447	No	
row_14	GATA4	GATA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:4173]	2409	0.2671416103839874	-0.06555713	No	
row_15	SEC14L1	SEC14 like lipid binding 1 [Source:HGNC Symbol;Acc:HGNC:10698]	2444	0.2641954720020294	-0.063067414	No	
row_16	GK	glycerol kinase [Source:HGNC Symbol;Acc:HGNC:4289]	2463	0.26328542828559875	-0.059454937	No	
row_17	PPP3CC	protein phosphatase 3 catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9316]	2511	0.2598899304866791	-0.057971254	No	
row_18	CNTLN	centlein [Source:HGNC Symbol;Acc:HGNC:23432]	2526	0.259147047996521	-0.05415079	No	
row_19	ABI3BP	ABI family member 3 binding protein [Source:HGNC Symbol;Acc:HGNC:17265]	2730	0.2470511645078659	-0.06401769	No	
row_20	RIMKLA	ribosomal modification protein rimK like family member A [Source:HGNC Symbol;Acc:HGNC:28725]	3229	0.22253482043743134	-0.09535326	No	
row_21	PKHD1	PKHD1 ciliary IPT domain containing fibrocystin/polyductin [Source:HGNC Symbol;Acc:HGNC:9016]	3542	0.2115195393562317	-0.1136448	No	
row_22	ERBB4	erb-b2 receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3432]	3566	0.2104259580373764	-0.11137116	No	
row_23	BAZ1A	bromodomain adjacent to zinc finger domain 1A [Source:HGNC Symbol;Acc:HGNC:960]	3638	0.2077844738960266	-0.112565674	No	
row_24	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	3758	0.20393197238445282	-0.11725085	No	
row_25	BEAN1	brain expressed associated with NEDD4 1 [Source:HGNC Symbol;Acc:HGNC:24160]	3934	0.1986614167690277	-0.1260229	No	
row_26	MYH11	myosin heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:7569]	4099	0.19370052218437195	-0.13410364	No	
row_27	DNAJB12	DnaJ heat shock protein family (Hsp40) member B12 [Source:HGNC Symbol;Acc:HGNC:14891]	4234	0.18936759233474731	-0.14012803	No	
row_28	KDM6A	lysine demethylase 6A [Source:HGNC Symbol;Acc:HGNC:12637]	4468	0.18154045939445496	-0.15334973	No	
row_29	PPP2R2A	protein phosphatase 2 regulatory subunit Balpha [Source:HGNC Symbol;Acc:HGNC:9304]	4617	0.17617346346378326	-0.16061662	No	
row_30	RAPGEF2	Rap guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:16854]	4779	0.16996964812278748	-0.16892484	No	
row_31	NCOA1	nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:7668]	5202	0.15318234264850616	-0.19613622	No	
row_32	SELENOK	selenoprotein K [Source:HGNC Symbol;Acc:HGNC:30394]	5518	0.1388983130455017	-0.21599153	No	
row_33	NPHP4	nephrocystin 4 [Source:HGNC Symbol;Acc:HGNC:19104]	5524	0.13866038620471954	-0.2137699	No	
row_34	IL17RA	interleukin 17 receptor A [Source:HGNC Symbol;Acc:HGNC:5985]	5929	0.1185566633939743	-0.24034284	No	
row_35	CDK12	cyclin dependent kinase 12 [Source:HGNC Symbol;Acc:HGNC:24224]	5938	0.11815179139375687	-0.23871619	No	
row_36	GRIPAP1	GRIP1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18706]	6202	0.10448544472455978	-0.25550726	No	
row_37	STAT3	signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]	6502	0.08939497172832489	-0.27514318	No	
row_38	AGBL2	AGBL carboxypeptidase 2 [Source:HGNC Symbol;Acc:HGNC:26296]	6509	0.08910658955574036	-0.273914	No	
row_39	ZNF572	zinc finger protein 572 [Source:HGNC Symbol;Acc:HGNC:26758]	6784	0.07519549131393433	-0.29203317	No	
row_40	TRIM21	tripartite motif containing 21 [Source:HGNC Symbol;Acc:HGNC:11312]	7230	0.05111447349190712	-0.3227803	No	
row_41	TMEM131	transmembrane protein 131 [Source:HGNC Symbol;Acc:HGNC:30366]	7302	0.04697286710143089	-0.3269644	No	
row_42	DTNBP1	dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]	7504	0.035761188715696335	-0.34061685	No	
row_43	ZNFX1	zinc finger NFX1-type containing 1 [Source:HGNC Symbol;Acc:HGNC:29271]	7554	0.03287244215607643	-0.34349602	No	
row_44	TVP23A	trans-golgi network vesicle protein 23 homolog A [Source:HGNC Symbol;Acc:HGNC:20398]	7592	0.030736643821001053	-0.3455601	No	
row_45	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	8095	0.002822162350639701	-0.3812652	No	
row_46	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	8159	-7.404875359497964E-4	-0.3857389	No	
row_47	ADGRE5	adhesion G protein-coupled receptor E5 [Source:HGNC Symbol;Acc:HGNC:1711]	8521	-0.01948610134422779	-0.41109073	No	
row_48	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	8571	-0.022189421579241753	-0.4141685	No	
row_49	TRPM2	transient receptor potential cation channel subfamily M member 2 [Source:HGNC Symbol;Acc:HGNC:12339]	8580	-0.022672485560178757	-0.41431686	No	
row_50	RNF115	ring finger protein 115 [Source:HGNC Symbol;Acc:HGNC:18154]	9102	-0.050675444304943085	-0.45048568	No	
row_51	FPR1	formyl peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:3826]	9191	-0.055822961032390594	-0.45571616	No	
row_52	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	9201	-0.05643167346715927	-0.45530814	No	
row_53	IFIT5	interferon induced protein with tetratricopeptide repeats 5 [Source:HGNC Symbol;Acc:HGNC:13328]	9217	-0.05728128179907799	-0.4553117	No	
row_54	HK3	hexokinase 3 [Source:HGNC Symbol;Acc:HGNC:4925]	9300	-0.06162766367197037	-0.46000686	No	
row_55	MEFV	MEFV innate immunity regulator, pyrin [Source:HGNC Symbol;Acc:HGNC:6998]	9302	-0.06168995797634125	-0.45893124	No	
row_56	VPS13C	vacuolar protein sorting 13 homolog C [Source:HGNC Symbol;Acc:HGNC:23594]	9317	-0.06229039654135704	-0.45877045	No	
row_57	IFI27	interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]	9699	-0.08313531428575516	-0.48436362	No	
row_58	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	9747	-0.08524293452501297	-0.48612672	No	
row_59	SQOR	sulfide quinone oxidoreductase [Source:HGNC Symbol;Acc:HGNC:20390]	10103	-0.1053071916103363	-0.5094557	No	
row_60	ASCL2	achaete-scute family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:739]	10182	-0.10973756015300751	-0.5129716	No	
row_61	RASGRF1	Ras protein specific guanine nucleotide releasing factor 1 [Source:HGNC Symbol;Acc:HGNC:9875]	10227	-0.11254449933767319	-0.5140134	No	
row_62	OASL	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	10366	-0.12269233167171478	-0.5215623	No	
