NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HAVCR2	hepatitis A virus cellular receptor 2 [Source:HGNC Symbol;Acc:HGNC:18437]	75	0.6844147443771362	0.009400674	No	
row_1	ASPH	aspartate beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:757]	115	0.6535658240318298	0.020703936	No	
row_2	ARHGAP18	Rho GTPase activating protein 18 [Source:HGNC Symbol;Acc:HGNC:21035]	153	0.629207193851471	0.03162489	No	
row_3	UBE2E2	ubiquitin conjugating enzyme E2 E2 [Source:HGNC Symbol;Acc:HGNC:12478]	409	0.5236523151397705	0.0247241	No	
row_4	PMM2	phosphomannomutase 2 [Source:HGNC Symbol;Acc:HGNC:9115]	422	0.5199452042579651	0.03507333	No	
row_5	EGR2	early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]	696	0.45588481426239014	0.025428426	No	
row_6	TERF2	telomeric repeat binding factor 2 [Source:HGNC Symbol;Acc:HGNC:11729]	742	0.4478372037410736	0.031870253	No	
row_7	DENND4C	DENN domain containing 4C [Source:HGNC Symbol;Acc:HGNC:26079]	775	0.44084349274635315	0.03908848	No	
row_8	IL1RAP	interleukin 1 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5995]	889	0.4231671988964081	0.040149137	No	
row_9	PTER	phosphotriesterase related [Source:HGNC Symbol;Acc:HGNC:9590]	1143	0.39216139912605286	0.030557297	No	
row_10	NDP	norrin cystine knot growth factor NDP [Source:HGNC Symbol;Acc:HGNC:7678]	1290	0.37290504574775696	0.02818134	No	
row_11	KCNN4	potassium calcium-activated channel subfamily N member 4 [Source:HGNC Symbol;Acc:HGNC:6293]	1296	0.37156108021736145	0.035832047	No	
row_12	DDX18	DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741]	1681	0.3278087079524994	0.015510921	No	
row_13	ASTE1	asteroid homolog 1 [Source:HGNC Symbol;Acc:HGNC:25021]	1719	0.3244380056858063	0.01986398	No	
row_14	SLC7A8	solute carrier family 7 member 8 [Source:HGNC Symbol;Acc:HGNC:11066]	2193	0.28135818243026733	-0.007805343	No	
row_15	FAM210A	family with sequence similarity 210 member A [Source:HGNC Symbol;Acc:HGNC:28346]	2228	0.27942490577697754	-0.0042083855	No	
row_16	CMTM2	CKLF like MARVEL transmembrane domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19173]	2255	0.27808573842048645	-6.975559E-5	No	
row_17	PRKD3	protein kinase D3 [Source:HGNC Symbol;Acc:HGNC:9408]	2812	0.24280156195163727	-0.03448926	No	
row_18	VWA8	von Willebrand factor A domain containing 8 [Source:HGNC Symbol;Acc:HGNC:29071]	2880	0.23972471058368683	-0.0341013	No	
row_19	JCAD	junctional cadherin 5 associated [Source:HGNC Symbol;Acc:HGNC:29283]	3061	0.23131658136844635	-0.041953307	No	
row_20	SLC43A3	solute carrier family 43 member 3 [Source:HGNC Symbol;Acc:HGNC:17466]	3341	0.21819566190242767	-0.057148404	No	
row_21	MYT1L	myelin transcription factor 1 like [Source:HGNC Symbol;Acc:HGNC:7623]	3753	0.20412379503250122	-0.08206054	No	
row_22	RRP12	ribosomal RNA processing 12 homolog [Source:HGNC Symbol;Acc:HGNC:29100]	3985	0.1972353458404541	-0.09428415	No	
