NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STK38L	serine/threonine kinase 38 like [Source:HGNC Symbol;Acc:HGNC:17848]	110	0.6581031680107117	0.010272061	No	
row_1	MBD1	methyl-CpG binding domain protein 1 [Source:HGNC Symbol;Acc:HGNC:6916]	226	0.585391640663147	0.018187525	No	
row_2	MOSMO	modulator of smoothened [Source:HGNC Symbol;Acc:HGNC:27087]	757	0.44456687569618225	-0.0073277936	No	
row_3	CHMP4B	charged multivesicular body protein 4B [Source:HGNC Symbol;Acc:HGNC:16171]	1061	0.4005283713340759	-0.017887795	No	
row_4	DDX6	DEAD-box helicase 6 [Source:HGNC Symbol;Acc:HGNC:2747]	1070	0.39987605810165405	-0.007455846	No	
row_5	TAF2	TATA-box binding protein associated factor 2 [Source:HGNC Symbol;Acc:HGNC:11536]	1240	0.37986379861831665	-0.009040909	No	
row_6	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	1410	0.3573465645313263	-0.0112454835	No	
row_7	FAM3C	FAM3 metabolism regulating signaling molecule C [Source:HGNC Symbol;Acc:HGNC:18664]	1449	0.35300204157829285	-0.004239769	No	
row_8	ORC1	origin recognition complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:8487]	1517	0.34451305866241455	4.670099E-4	No	
row_9	MTMR14	myotubularin related protein 14 [Source:HGNC Symbol;Acc:HGNC:26190]	1585	0.33771979808807373	0.0049868873	No	
row_10	MAP3K20	mitogen-activated protein kinase kinase kinase 20 [Source:HGNC Symbol;Acc:HGNC:17797]	1608	0.3350062966346741	0.012637009	No	
row_11	TUBB4B	tubulin beta 4B class IVb [Source:HGNC Symbol;Acc:HGNC:20771]	1629	0.33294862508773804	0.020372957	No	
row_12	AKAP12	A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]	1749	0.32186681032180786	0.020753235	No	
row_13	TYMS	thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441]	1896	0.30875375866889954	0.018849796	No	
