NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CEBPG	CCAAT enhancer binding protein gamma [Source:HGNC Symbol;Acc:HGNC:1837]	7	0.8365949988365173	0.019199805	No	
row_1	ME1	malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983]	65	0.6974945068359375	0.031564668	No	
row_2	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	186	0.6080793142318726	0.037338927	No	
row_3	PRKCD	protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]	1010	0.40879714488983154	-0.011628877	No	
row_4	STX3	syntaxin 3 [Source:HGNC Symbol;Acc:HGNC:11438]	1444	0.35365667939186096	-0.034129087	No	
row_5	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	1586	0.3376236855983734	-0.036217965	No	
row_6	PHLDA2	pleckstrin homology like domain family A member 2 [Source:HGNC Symbol;Acc:HGNC:12385]	1836	0.3142301142215729	-0.046546683	No	
row_7	TES	testin LIM domain protein [Source:HGNC Symbol;Acc:HGNC:14620]	1931	0.3055132329463959	-0.046045475	No	
row_8	PUM3	pumilio RNA binding family member 3 [Source:HGNC Symbol;Acc:HGNC:29676]	2392	0.26843738555908203	-0.07247448	No	
row_9	GSAP	gamma-secretase activating protein [Source:HGNC Symbol;Acc:HGNC:28042]	2558	0.25767162442207336	-0.07815456	No	
row_10	SEMA6A	semaphorin 6A [Source:HGNC Symbol;Acc:HGNC:10738]	2682	0.2502305805683136	-0.081019655	No	
row_11	KCNE1	potassium voltage-gated channel subfamily E regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:6240]	2745	0.2458905577659607	-0.07964408	No	
row_12	TCP11L1	t-complex 11 like 1 [Source:HGNC Symbol;Acc:HGNC:25655]	2804	0.2429148405790329	-0.07805378	No	
row_13	CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]	2835	0.2419542521238327	-0.07449265	No	
row_14	INVS	inversin [Source:HGNC Symbol;Acc:HGNC:17870]	3208	0.2234053611755371	-0.095716834	No	
row_15	PAX2	paired box 2 [Source:HGNC Symbol;Acc:HGNC:8616]	3274	0.2208397537469864	-0.095144674	No	
row_16	CNTNAP2	contactin associated protein 2 [Source:HGNC Symbol;Acc:HGNC:13830]	3645	0.20754490792751312	-0.11659992	No	
row_17	GRIK3	glutamate ionotropic receptor kainate type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4581]	4052	0.1952701061964035	-0.14090718	No	
row_18	MEIS2	Meis homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7001]	4134	0.1926228553056717	-0.14213853	No	
row_19	MPDZ	multiple PDZ domain crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:7208]	4335	0.18624795973300934	-0.15199213	No	
row_20	GP5	glycoprotein V platelet [Source:HGNC Symbol;Acc:HGNC:4443]	4522	0.17949964106082916	-0.1610079	No	
row_21	TXNRD2	thioredoxin reductase 2 [Source:HGNC Symbol;Acc:HGNC:18155]	4661	0.17475323379039764	-0.16671808	No	
row_22	NAB2	NGFI-A binding protein 2 [Source:HGNC Symbol;Acc:HGNC:7627]	5016	0.1604079306125641	-0.18814407	No	
row_23	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	6133	0.10823816061019897	-0.26504877	No	
row_24	RIPOR2	RHO family interacting cell polarization regulator 2 [Source:HGNC Symbol;Acc:HGNC:13872]	6168	0.10672512650489807	-0.26495647	No	
row_25	SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:15985]	6237	0.10216324776411057	-0.26739222	No	
row_26	EIF3I	eukaryotic translation initiation factor 3 subunit I [Source:HGNC Symbol;Acc:HGNC:3272]	6327	0.09760034829378128	-0.27143046	No	
row_27	IER2	immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]	6348	0.09661462903022766	-0.27057952	No	
row_28	SP1	Sp1 transcription factor [Source:HGNC Symbol;Acc:HGNC:11205]	6368	0.09571582823991776	-0.2696785	No	
row_29	GNAL	G protein subunit alpha L [Source:HGNC Symbol;Acc:HGNC:4388]	6399	0.09420716762542725	-0.2695962	No	
row_30	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	6402	0.09419504553079605	-0.2675207	No	
row_31	THOC2	THO complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19073]	6570	0.08563246577978134	-0.27739394	No	
row_32	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	6676	0.08048433065414429	-0.2829743	No	
row_33	DGKG	diacylglycerol kinase gamma [Source:HGNC Symbol;Acc:HGNC:2853]	7007	0.06220197677612305	-0.30500397	No	
row_34	SPTA1	spectrin alpha, erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11272]	7149	0.054810069501399994	-0.31375188	No	
row_35	EXOSC7	exosome component 7 [Source:HGNC Symbol;Acc:HGNC:28112]	7165	0.05406910553574562	-0.3135467	No	
row_36	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1 [Source:HGNC Symbol;Acc:HGNC:11153]	7575	0.031764306128025055	-0.3419174	No	
row_37	FLOT2	flotillin 2 [Source:HGNC Symbol;Acc:HGNC:3758]	7881	0.015089585445821285	-0.36327648	No	
row_38	TSC2	TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363]	8011	0.00815741065889597	-0.3722685	No	
row_39	FKBP1B	FKBP prolyl isomerase 1B [Source:HGNC Symbol;Acc:HGNC:3712]	8037	0.0066801682114601135	-0.3738911	No	
row_40	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:HGNC:4944]	8179	-0.001836752169765532	-0.38388628	No	
row_41	FKBP8	FKBP prolyl isomerase 8 [Source:HGNC Symbol;Acc:HGNC:3724]	8205	-0.0033644705545157194	-0.38558692	No	
row_42	POLDIP3	DNA polymerase delta interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:23782]	8256	-0.0064646657556295395	-0.38899446	No	
row_43	CHI3L1	chitinase 3 like 1 [Source:HGNC Symbol;Acc:HGNC:1932]	8292	-0.008380468934774399	-0.39128894	No	
