NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	64	0.6980346441268921	0.012409536	Yes	
row_1	PRDM4	PR/SET domain 4 [Source:HGNC Symbol;Acc:HGNC:9348]	74	0.6895511150360107	0.028530506	Yes	
row_2	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	108	0.658631443977356	0.04219034	Yes	
row_3	PTRH2	peptidyl-tRNA hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:24265]	139	0.6360489726066589	0.055514913	Yes	
row_4	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	143	0.6345645785331726	0.07072662	Yes	
row_5	PUM2	pumilio RNA binding family member 2 [Source:HGNC Symbol;Acc:HGNC:14958]	193	0.601688027381897	0.081862554	Yes	
row_6	MTF1	metal regulatory transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7428]	194	0.6006016731262207	0.096462354	Yes	
row_7	GIGYF2	GRB10 interacting GYF protein 2 [Source:HGNC Symbol;Acc:HGNC:11960]	224	0.5855309367179871	0.108630136	Yes	
row_8	DNMBP	dynamin binding protein [Source:HGNC Symbol;Acc:HGNC:30373]	265	0.5712419748306274	0.119667046	Yes	
row_9	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	308	0.5526415109634399	0.13010934	Yes	
row_10	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	329	0.5470459461212158	0.14198267	Yes	
row_11	POLR2B	RNA polymerase II subunit B [Source:HGNC Symbol;Acc:HGNC:9188]	368	0.536047637462616	0.15230651	Yes	
row_12	WDFY3	WD repeat and FYVE domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20751]	374	0.5342840552330017	0.16493808	Yes	
row_13	DHX15	DEAH-box helicase 15 [Source:HGNC Symbol;Acc:HGNC:2738]	395	0.5289701223373413	0.176372	Yes	
row_14	KCNJ15	potassium inwardly rectifying channel subfamily J member 15 [Source:HGNC Symbol;Acc:HGNC:6261]	431	0.5170915722846985	0.18644874	Yes	
row_15	XRCC4	X-ray repair cross complementing 4 [Source:HGNC Symbol;Acc:HGNC:12831]	447	0.5139931440353394	0.19787475	Yes	
row_16	TNFSF14	TNF superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11930]	463	0.5098514556884766	0.2092001	Yes	
row_17	USP9X	ubiquitin specific peptidase 9 X-linked [Source:HGNC Symbol;Acc:HGNC:12632]	490	0.5023925304412842	0.21956058	Yes	
row_18	MKLN1	muskelin 1 [Source:HGNC Symbol;Acc:HGNC:7109]	508	0.4983166754245758	0.23046307	Yes	
row_19	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	512	0.49663251638412476	0.24232183	Yes	
row_20	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]	658	0.46309465169906616	0.24325065	Yes	
row_21	EGR2	early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]	696	0.45588481426239014	0.25169706	Yes	
row_22	ANKRD12	ankyrin repeat domain 12 [Source:HGNC Symbol;Acc:HGNC:29135]	725	0.4510136842727661	0.26066616	Yes	
row_23	AFTPH	aftiphilin [Source:HGNC Symbol;Acc:HGNC:25951]	750	0.445720911026001	0.2697915	Yes	
row_24	B4GALT5	beta-1,4-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:928]	916	0.42039451003074646	0.26825774	Yes	
row_25	MON2	MON2 homolog, regulator of endosome-to-Golgi trafficking [Source:HGNC Symbol;Acc:HGNC:29177]	994	0.4111124873161316	0.2727666	Yes	
row_26	CHTOP	chromatin target of PRMT1 [Source:HGNC Symbol;Acc:HGNC:24511]	1066	0.4003101587295532	0.27744025	Yes	
row_27	TNFAIP1	TNF alpha induced protein 1 [Source:HGNC Symbol;Acc:HGNC:11894]	1183	0.3876403868198395	0.27860057	Yes	
row_28	MFAP3	microfibril associated protein 3 [Source:HGNC Symbol;Acc:HGNC:7034]	1210	0.38376742601394653	0.28607744	Yes	
row_29	RHEB	Ras homolog, mTORC1 binding [Source:HGNC Symbol;Acc:HGNC:10011]	1281	0.37371450662612915	0.29017583	Yes	
row_30	PIK3R4	phosphoinositide-3-kinase regulatory subunit 4 [Source:HGNC Symbol;Acc:HGNC:8982]	1282	0.3736952543258667	0.29925984	Yes	
row_31	PDE8A	phosphodiesterase 8A [Source:HGNC Symbol;Acc:HGNC:8793]	1286	0.37344855070114136	0.30812415	Yes	
row_32	NSUN3	NOP2/Sun RNA methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:26208]	1430	0.3552079498767853	0.30657288	Yes	
row_33	ELF1	E74 like ETS transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3316]	1489	0.34888020157814026	0.31092232	Yes	
row_34	C3AR1	complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]	1501	0.3474750220775604	0.31858543	Yes	
